PLAYER_ID,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
201587,Nicolas Batum,LAC,56,31,25,963.0,10,0,1,0.0,2,2,100.0,2,20.0,7,70.0,2,20.0,1,10.0,1,10.0
203999,Nikola Jokić,DEN,53,36,17,1910.0,242,63,116,54.300000000000004,28,38,73.7,156,64.5,77,31.8,20,8.3,15,6.2,19,7.9
1631107,Nikola Jović,MIA,46,21,25,1156.0,198,35,74,47.3,17,21,81.0,88,44.4,89,44.9,30,15.2,17,8.6,11,5.6000000000000005
202696,Nikola Vučević,CHI,56,21,35,1799.0,226,56,111,50.5,16,18,88.9,132,58.4,82,36.3,9,4.0,14,6.2,9,4.0
1641730,Noah Clowney,BKN,37,9,28,853.0,72,7,30,23.3,11,13,84.6,26,36.1,21,29.2,3,4.2,10,13.900000000000002,7,9.700000000000001
1626181,Norman Powell,LAC,45,27,18,1511.0,452,133,256,52.0,63,70,90.0,334,73.9,122,27.0,34,7.5,24,5.3,36,8.0
1628384,OG Anunoby,NYK,52,33,19,1882.0,264,43,105,41.0,37,46,80.4,125,47.3,118,44.7,24,9.1,14,5.3,23,8.7
1630167,Obi Toppin,IND,54,31,23,1044.0,109,33,49,67.30000000000001,8,10,80.0,76,69.69999999999999,43,39.4,13,11.899999999999999,8,7.3,5,4.6
1630534,Ochai Agbaji,TOR,53,15,38,1456.0,122,28,54,51.9,5,8,62.5,62,50.8,53,43.4,14,11.5,6,4.9,4,3.3000000000000003
1641765,Olivier-Maxence Prosper,DAL,49,27,22,529.0,100,17,43,39.5,19,24,79.2,54,54.0,39,39.0,9,9.0,4,4.0,12,12.0
1630168,Onyeka Okongwu,ATL,52,23,29,1346.0,47,10,32,31.3,7,8,87.5,28,59.599999999999994,9,19.1,4,8.5,1,2.1,4,8.5
1631115,Orlando Robinson,TOR,24,11,13,279.0,11,3,8,37.5,0,0,0.0,6,54.50000000000001,2,18.2,0,0.0,0,0.0,0,0.0
1631131,Oscar Tshiebwe,UTA,4,1,3,54.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1642345,Oso Ighodaro,PHX,42,18,24,606.0,33,6,12,50.0,3,6,50.0,15,45.5,14,42.4,1,3.0,1,3.0,3,9.1
1631172,Ousmane Dieng,OKC,29,23,6,324.0,37,5,12,41.699999999999996,5,6,83.3,15,40.5,18,48.6,5,13.5,3,8.1,3,8.1
1629023,P.J. Washington,DAL,46,27,19,1499.0,312,63,162,38.9,40,50,80.0,171,54.800000000000004,82,26.3,18,5.800000000000001,30,9.6,26,8.3
