PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Scoot Henderson,POR,66,30,36,1759.0,81,221,36.7,46.0,133.0,34.599999999999994,47.099999999999994,208,1630703,1610612757
Scottie Barnes,TOR,60,25,35,1995.0,133,343,38.800000000000004,19.0,83.0,22.900000000000002,41.5,285,1630567,1610612761
Scotty Pippen Jr.,MEM,72,43,29,1499.0,19,64,29.7,4.0,25.0,16.0,32.800000000000004,42,1630590,1610612763
Seth Curry,CHA,62,16,46,927.0,52,115,45.2,16.0,37.0,43.2,52.2,120,203552,1610612766
Shaedon Sharpe,POR,67,29,38,2075.0,159,424,37.5,65.0,218.0,29.799999999999997,45.2,383,1631101,1610612757
Shai Gilgeous-Alexander,OKC,71,60,11,2433.0,367,828,44.3,115.0,331.0,34.699999999999996,51.300000000000004,849,1628983,1610612760
Shake Milton,LAL,53,27,26,786.0,32,72,44.4,8.0,24.0,33.300000000000004,50.0,72,1629003,1610612747
Sidy Cissoko,POR,20,10,10,61.0,0,2,0.0,0.0,1.0,0.0,0.0,0,1631321,1610612757
Simone Fontecchio,DET,68,36,32,1157.0,17,56,30.4,7.0,29.0,24.099999999999998,36.6,41,1631323,1610612765
Skal Labissiere,SAC,4,2,2,12.0,0,0,,0.0,0.0,,,0,1627746,1610612758
Spencer Dinwiddie,DAL,73,36,37,1944.0,103,264,39.0,55.0,163.0,33.7,49.4,261,203915,1610612742
Spencer Jones,DEN,19,13,6,101.0,2,3,66.7,0.0,0.0,,66.7,4,1642461,1610612743
Stanley Umude,MIL,20,13,7,65.0,0,5,0.0,0.0,0.0,,0.0,0,1630649,1610612749
Stephen Curry,GSW,62,36,26,1989.0,192,474,40.5,133.0,356.0,37.4,54.50000000000001,517,201939,1610612744
Stephon Castle,SAS,73,30,43,1895.0,58,216,26.900000000000002,21.0,91.0,23.1,31.7,137,1642264,1610612759
Steven Adams,HOU,54,36,18,721.0,1,1,100.0,0.0,0.0,,100.0,2,203500,1610612745
Svi Mykhailiuk,UTA,31,5,26,601.0,28,103,27.200000000000003,19.0,80.0,23.799999999999997,36.4,75,1629004,1610612762
T.J. McConnell,IND,71,42,29,1265.0,86,190,45.300000000000004,5.0,17.0,29.4,46.6,177,204456,1610612754
Taj Gibson,CHA,30,9,21,334.0,0,1,0.0,0.0,0.0,,0.0,0,201959,1610612766
Talen Horton-Tucker,CHI,50,20,30,554.0,10,36,27.800000000000004,7.0,26.0,26.900000000000002,37.5,27,1629659,1610612741
Tari Eason,HOU,51,33,18,1292.0,18,58,31.0,1.0,10.0,10.0,31.900000000000002,37,1631106,1610612745
Taurean Prince,MIL,73,39,34,1960.0,20,77,26.0,12.0,53.0,22.6,33.800000000000004,52,1627752,1610612749
Taylor Hendricks,UTA,3,0,3,75.0,1,4,25.0,1.0,1.0,100.0,37.5,3,1641707,1610612762
Tazé Moore,POR,2,0,2,20.0,0,2,0.0,0.0,1.0,0.0,0.0,0,1631386,1610612757
Terance Mann,ATL,59,33,26,1226.0,37,100,37.0,11.0,42.0,26.200000000000003,42.5,85,1629611,1610612737
Terrence Shannon Jr.,MIN,31,20,11,335.0,5,15,33.300000000000004,2.0,5.0,40.0,40.0,12,1630545,1610612750
Terry Rozier,MIA,60,25,35,1575.0,70,218,32.1,35.0,136.0,25.7,40.1,175,1626179,1610612748
Terry Taylor,SAC,3,1,2,6.0,0,0,,,,,,0,1630678,1610612758
Thomas Bryant,IND,58,37,21,850.0,4,12,33.300000000000004,1.0,8.0,12.5,37.5,9,1628418,1610612754
Tidjane Salaün,CHA,52,11,41,1019.0,14,54,25.900000000000002,12.0,42.0,28.599999999999998,37.0,40,1642275,1610612766
Tim Hardaway Jr.,DET,70,39,31,1944.0,55,158,34.8,24.0,69.0,34.8,42.4,134,203501,1610612765
Tobias Harris,DET,69,39,30,2216.0,86,221,38.9,4.0,26.0,15.4,39.800000000000004,176,202699,1610612765
Tony Bradley,IND,9,7,2,49.0,0,0,,0.0,0.0,,,0,1628396,1610612754
Torrey Craig,BOS,21,13,8,219.0,4,6,66.7,3.0,4.0,75.0,91.7,11,1628470,1610612738
Tosan Evbuomwan,BKN,22,7,15,516.0,17,35,48.6,3.0,5.0,60.0,52.900000000000006,37,1641787,1610612751
