PLAYER,TEAM,GP,W,L,MIN,Touches,ElbowTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
Trayce Jackson-Davis,GSW,49,25,24,886.0,1690,100,20,41,48.8,11,18,61.1,54,54.0,47,47.0,13,27.700000000000003,2,2.0,9,9.0,1631218,1610612744
Tre Jones,CHI,35,14,21,567.0,1203,14,3,3,100.0,0,0,0.0,6,42.9,9,64.3,1,11.1,2,14.299999999999999,0,0.0,1630200,1610612741
Tre Mann,CHA,13,6,7,319.0,656,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,1630544,1610612766
Trendon Watford,BKN,23,12,11,414.0,961,6,0,2,0.0,0,0,0.0,0,0.0,4,66.7,1,25.0,0,0.0,0,0.0,1630570,1610612751
Trentyn Flowers,LAC,2,0,2,16.0,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642280,1610612746
Trevelin Queen,ORL,26,11,15,373.0,507,8,0,2,0.0,4,4,100.0,4,50.0,4,50.0,1,25.0,0,0.0,2,25.0,1630243,1610612753
Trey Alexander,DEN,18,12,6,79.0,130,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,1641725,1610612743
Trey Jemison III,LAL,25,10,15,243.0,330,22,3,8,37.5,0,0,0.0,6,27.3,11,50.0,1,9.1,2,9.1,0,0.0,1641998,1610612747
Trey Lyles,SAC,46,23,23,847.0,1295,39,6,12,50.0,4,4,100.0,16,41.0,23,59.0,6,26.1,0,0.0,2,5.1,1626168,1610612758
Trey Murphy III,NOP,42,11,31,1500.0,2487,30,10,14,71.39999999999999,6,6,100.0,26,86.7,6,20.0,2,33.300000000000004,4,13.3,3,10.0,1630530,1610612740
Tristan Thompson,CLE,31,26,5,232.0,399,20,4,9,44.4,1,6,16.7,9,45.0,7,35.0,2,28.599999999999998,1,5.0,2,10.0,202684,1610612739
