Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
Austin Rivers,MIN,50,24,26,1006,255,1175,688,59,3.0,2.37,0.217,4,0,7,1.0,0.0,0.571
Ayo Dosunmu,CHI,65,30,35,1766,578,2973,1133,172,3.48,3.17,0.194,15,0,46,0.933,0.0,1.0
Bam Adebayo,MIA,66,35,31,2316,1387,4168,2439,198,2.85,1.59,0.333,467,178,517,0.687,0.629,0.888
Ben Simmons,BKN,42,24,18,1105,291,2577,903,147,3.42,2.35,0.113,96,45,169,0.344,0.444,0.846
Bennedict Mathurin,IND,67,30,37,1860,1115,2748,1877,114,2.48,1.69,0.406,79,7,119,0.873,0.286,0.992
Bismack Biyombo,PHX,50,26,24,671,180,1111,651,29,1.58,0.49,0.162,122,44,220,0.352,0.386,0.641
Blake Griffin,BOS,32,20,12,455,144,664,403,18,1.64,0.62,0.217,38,14,70,0.632,0.571,0.786
Blake Wesley,SAS,23,5,18,387,121,751,263,61,4.84,4.46,0.161,7,0,17,0.429,0.0,0.588
Boban Marjanovic,HOU,24,3,21,116,80,156,105,6,2.16,0.93,0.513,17,35,35,0.882,1.0,1.429
Bobby Portis,MIL,58,39,19,1500,797,2892,1456,86,1.77,0.73,0.276,87,181,253,0.632,0.635,0.905
Bogdan Bogdanovic,ATL,43,21,22,1225,606,1789,1095,82,2.75,1.97,0.339,28,4,23,0.5,0.5,0.609
Bojan Bogdanovic,DET,58,15,43,1858,1248,2701,1913,134,2.97,2.15,0.462,44,60,49,0.955,0.483,0.816
Bol Bol,ORL,64,25,39,1405,595,1485,827,57,2.32,1.57,0.401,27,10,125,1.148,0.6,1.44
Bones Hyland,LAC,47,30,17,891,543,2133,907,171,4.8,4.11,0.255,10,0,18,0.6,0.0,0.556
Bradley Beal,WAS,47,24,23,1576,1102,3188,1832,240,4.52,4.07,0.346,89,29,75,0.652,0.414,0.973
Brandon Boston Jr.,LAC,21,8,13,247,143,427,243,21,2.94,2.6,0.335,2,3,10,1.0,0.667,0.5
Brandon Clarke,MEM,56,32,24,1090,558,1594,998,40,1.52,0.65,0.35,240,9,305,0.554,0.444,1.095
Brandon Ingram,NOP,32,14,18,1051,733,2061,1203,137,4.0,3.02,0.356,61,51,26,0.885,0.725,0.846
Braxton Key,DET,3,0,3,9,4,10,4,0,1.56,1.0,0.4,0,0,0,0.0,0.0,0.0
Brook Lopez,MIL,68,49,19,2087,1052,2351,1603,56,1.42,0.42,0.447,172,125,386,0.512,0.992,1.096
Bruce Brown,DEN,68,46,22,1917,753,3474,1683,195,3.37,2.72,0.217,56,4,125,0.929,1.0,0.896
Bruno Fernando,ATL,34,10,24,371,130,663,390,16,1.4,0.49,0.196,49,6,122,0.347,0.667,0.828
Bryce McGowens,CHA,35,11,24,513,127,512,321,19,2.27,1.35,0.248,2,0,17,0.0,0.0,0.765
Bryn Forbes,MIN,25,9,16,268,89,297,223,10,2.06,1.31,0.3,1,0,3,0.0,0.0,1.0
Buddy Boeheim,DET,4,1,3,52,14,50,32,1,1.23,0.44,0.28,0,0,1,0.0,0.0,2.0
Buddy Hield,IND,69,31,38,2188,1181,4104,2385,140,2.04,1.36,0.288,28,0,60,0.679,0.0,0.8
CJ McCollum,NOP,62,29,33,2173,1309,4648,2040,339,4.37,3.9,0.282,53,3,36,0.679,0.0,0.667
Cade Cunningham,DET,12,3,9,400,239,939,298,84,5.37,4.99,0.255,4,5,11,1.0,0.6,0.909
Caleb Houstan,ORL,40,14,26,602,153,505,295,11,1.35,0.4,0.303,3,0,27,0.0,0.0,0.741
Caleb Martin,MIA,60,32,28,1784,611,2339,1329,95,2.43,1.54,0.261,38,4,139,0.842,0.0,0.676
Cam Reddish,POR,34,13,21,853,347,995,628,51,3.07,2.13,0.349,21,0,27,0.762,0.0,1.074
Cam Thomas,BKN,50,28,22,833,531,1462,682,118,4.82,4.27,0.363,18,0,12,1.0,0.0,1.333
Cameron Johnson,BKN,30,19,11,825,460,1126,708,39,2.1,1.47,0.409,17,0,31,0.588,0.0,1.065
Cameron Payne,PHX,37,20,17,801,408,1959,690,165,5.04,4.43,0.208,2,0,9,0.0,0.0,0.889
Caris LeVert,CLE,66,39,27,1987,784,3175,1873,191,3.6,3.02,0.247,41,3,71,0.488,0.0,0.479
Carlik Jones,CHI,1,0,1,22,1,35,18,2,3.85,3.31,0.029,0,0,1,0.0,0.0,0.0
Cedi Osman,CLE,67,41,26,1384,593,1959,1353,77,2.36,1.56,0.303,26,2,52,0.769,0.0,0.827
Charles Bassey,SAS,35,9,26,508,199,871,496,22,1.49,0.42,0.228,66,13,165,0.424,0.769,0.976
Chima Moneke,SAC,2,1,1,8,2,13,10,0,1.12,0.54,0.154,1,0,3,0.0,0.0,0.667
Chimezie Metu,SAC,55,34,21,605,278,883,515,25,1.69,0.72,0.315,73,16,164,0.452,0.625,1.098
Chris Boucher,TOR,63,31,32,1258,598,1478,789,41,1.67,0.59,0.405,30,4,257,0.867,0.0,1.054
Chris Duarte,IND,45,19,26,892,362,1332,864,49,2.2,1.55,0.272,12,0,23,0.833,0.0,0.87
Chris Paul,PHX,48,25,23,1540,647,3577,1280,340,5.7,4.9,0.181,14,11,14,0.071,0.364,0.357
Chris Silva,DAL,1,1,0,3,2,4,1,0,2.21,1.0,0.5,0,1,0,0.0,2.0,0.0
Christian Braun,DEN,63,42,21,910,267,1024,614,36,2.1,1.21,0.261,19,0,56,0.684,0.0,0.643
Christian Koloko,TOR,47,22,25,664,158,701,455,14,1.19,0.27,0.225,41,2,152,0.415,0.0,0.842
Christian Wood,DAL,57,30,27,1515,985,2677,1506,100,2.25,1.02,0.368,123,122,243,0.675,0.754,1.029
Chuma Okeke,ORL,22,6,16,413,104,489,239,16,2.02,1.22,0.213,3,1,16,0.667,1.0,0.438
Clint Capela,ATL,53,28,25,1414,634,1947,954,42,1.3,0.26,0.326,130,28,550,0.492,0.571,1.024
Coby White,CHI,59,27,32,1327,513,2090,1042,110,3.15,2.47,0.245,2,0,11,1.0,0.0,0.636
Cody Martin,CHA,7,2,5,134,35,150,93,6,2.56,1.66,0.233,1,0,8,0.0,0.0,0.5
Cody Zeller,MIA,10,4,6,130,47,195,124,6,1.74,0.69,0.241,19,0,32,0.526,0.0,0.625
Cole Anthony,ORL,49,22,27,1241,602,2605,911,208,4.79,4.19,0.231,18,0,44,0.722,0.0,0.864
Cole Swider,LAL,6,1,5,40,9,55,30,1,1.57,0.62,0.164,0,0,2,0.0,0.0,0.0
Collin Sexton,UTA,47,24,23,1129,670,2168,908,176,4.86,4.33,0.309,19,0,58,0.526,0.0,0.862
Corey Kispert,WAS,61,28,33,1675,600,1869,1134,45,1.45,0.58,0.321,27,1,64,0.889,0.0,0.844
Cory Joseph,DET,51,11,40,912,303,1914,666,163,5.11,5.27,0.158,5,2,11,0.4,0.0,0.727
D'Angelo Russell,LAL,62,32,30,2010,1117,5031,2173,341,4.07,3.41,0.222,35,10,48,0.829,0.8,0.75
Daishen Nix,HOU,47,12,35,784,205,1777,721,134,4.52,4.36,0.115,5,0,13,1.2,0.0,0.692
Dalano Banton,TOR,27,14,13,251,120,562,259,36,3.81,2.89,0.214,4,0,20,1.0,0.0,1.3
Dalen Terry,CHI,27,13,14,136,47,199,103,8,2.54,1.86,0.236,2,0,10,0.0,0.0,0.4
Damian Jones,UTA,30,9,21,295,87,309,178,7,1.33,0.31,0.282,25,2,71,0.16,1.0,0.972
Damian Lillard,POR,55,26,29,1997,1774,4845,2070,415,5.14,4.56,0.366,23,7,34,0.652,1.0,0.529
Damion Lee,PHX,68,37,31,1427,572,1986,1193,77,2.33,1.6,0.288,21,0,34,0.571,0.0,0.647
Daniel Gafford,WAS,67,30,37,1327,571,1871,1029,46,1.49,0.34,0.305,136,26,349,0.64,0.692,1.175
Daniel Theis,IND,7,1,6,109,49,166,126,4,1.51,0.39,0.295,15,1,24,0.8,0.0,0.917
Danny Green,CLE,8,4,4,84,25,118,67,3,1.64,0.82,0.212,1,0,2,0.0,0.0,0.0
Danuel House Jr.,PHI,44,30,14,616,188,694,368,25,2.12,1.24,0.271,6,0,18,1.167,0.0,1.278
Dario Saric,OKC,50,24,26,720,327,1195,712,35,1.75,0.87,0.274,41,30,99,0.683,0.667,0.879
Darius Bazley,PHX,38,18,20,572,201,886,422,30,2.01,1.15,0.227,31,7,75,0.71,0.429,0.733
Darius Days,HOU,4,0,4,25,15,43,22,1,1.19,0.14,0.349,0,0,0,0.0,0.0,0.0
Darius Garland,CLE,61,34,27,2144,1336,4695,1794,448,5.73,5.41,0.285,34,2,30,0.588,1.0,0.6
David Duke Jr.,BKN,18,7,11,173,62,233,118,14,3.66,3.12,0.266,1,0,9,0.0,0.0,0.889
David Roddy,MEM,56,34,22,947,370,1091,679,36,1.99,1.13,0.339,23,3,47,0.522,1.667,1.191
Davion Mitchell,SAC,67,40,27,1203,379,2295,820,174,4.54,4.44,0.165,9,0,28,0.444,0.0,0.75
Davis Bertans,DAL,38,18,20,410,161,495,300,10,1.16,0.37,0.325,8,0,12,0.5,0.0,0.5
Davon Reed,LAL,40,26,14,337,87,621,304,29,2.76,2.05,0.14,5,3,14,0.0,0.0,0.286
Day'Ron Sharpe,BKN,36,16,20,402,148,648,383,19,1.74,0.66,0.228,48,13,126,0.458,0.231,0.77
De'Aaron Fox,SAC,61,38,23,2082,1563,4873,1500,412,5.08,4.73,0.321,22,6,40,0.636,0.667,0.975
De'Andre Hunter,ATL,59,32,27,1890,923,2272,1410,85,2.23,1.39,0.406,51,30,70,0.922,1.0,0.929
De'Anthony Melton,PHI,65,44,21,1810,658,3161,1581,141,2.67,1.92,0.208,37,0,75,0.486,0.0,0.413
DeAndre Jordan,DEN,35,22,13,499,169,653,379,14,1.3,0.23,0.259,83,7,131,0.084,0.571,1.137
DeMar DeRozan,CHI,61,29,32,2212,1529,3690,2265,281,4.57,3.67,0.414,91,167,33,0.703,0.82,0.697
Dean Wade,CLE,38,26,12,772,177,866,497,24,1.68,0.51,0.204,11,1,23,0.364,0.0,0.913
Deandre Ayton,PHX,60,29,31,1822,1101,3175,1720,87,1.65,0.48,0.347,329,251,679,0.818,0.717,1.0
Dejounte Murray,ATL,64,32,32,2328,1320,4641,1848,376,4.86,4.4,0.284,35,7,71,0.343,0.429,0.789
Delon Wright,WAS,40,23,17,970,275,1851,721,154,4.99,4.49,0.149,13,0,51,0.615,0.0,0.51
Deni Avdija,WAS,67,31,36,1737,585,2836,1379,129,2.73,1.97,0.206,50,6,134,0.62,0.333,0.694
Dennis Schroder,LAL,57,30,27,1715,712,3117,1309,246,4.73,4.14,0.228,13,0,16,0.462,0.0,0.5
Dennis Smith Jr.,CHA,49,16,33,1252,432,2538,1072,179,4.22,3.85,0.17,17,2,48,0.765,1.0,0.771
Deonte Burton,SAC,2,1,1,7,0,4,3,0,1.1,0.25,0.0,0,0,0,0.0,0.0,0.0
Dereon Seabron,NOP,5,2,3,12,4,14,8,1,3.24,2.57,0.286,0,0,1,0.0,0.0,2.0
Derrick Jones Jr.,CHI,50,20,30,699,240,920,488,20,1.28,0.38,0.261,33,3,110,0.818,0.667,0.9
Derrick Rose,NYK,27,12,15,338,152,725,289,51,4.25,3.86,0.21,6,0,11,0.667,0.0,1.0
Derrick White,BOS,70,48,22,1958,843,3279,1405,220,4.03,3.41,0.257,41,3,80,0.585,0.0,0.688
Desmond Bane,MEM,46,28,18,1427,969,2855,1556,138,2.91,2.1,0.339,33,0,40,1.091,0.0,1.0
Devin Booker,PHX,42,26,16,1445,1168,2680,1552,218,4.87,4.21,0.436,44,53,64,0.75,0.792,0.844
Devin Vassell,SAS,34,11,23,1055,624,1799,1115,102,3.41,2.49,0.347,19,0,20,1.211,0.0,0.85
Devon Dotson,WAS,6,1,5,53,3,98,54,7,4.11,3.65,0.031,3,0,3,0.0,0.0,0.0
Devonte' Graham,SAS,66,30,36,1178,482,2252,1076,131,3.48,2.82,0.214,10,0,11,0.4,0.0,0.545
Dewayne Dedmon,PHI,31,18,13,355,175,601,328,17,1.68,0.45,0.291,49,16,91,0.898,0.75,0.89
Dillon Brooks,MEM,62,38,24,1882,882,2559,1680,116,2.71,1.83,0.345,27,12,48,0.667,0.667,0.917
Domantas Sabonis,SAC,66,40,26,2288,1252,5479,3182,221,2.43,1.4,0.229,567,296,637,0.61,0.47,0.856
Dominick Barlow,SAS,16,2,14,186,54,208,134,6,1.57,0.66,0.26,25,2,43,0.4,1.0,0.674
Donovan Mitchell,CLE,60,38,22,2139,1649,4121,1928,343,5.0,4.5,0.4,48,2,63,0.917,1.0,0.889
Donte DiVincenzo,GSW,59,33,26,1571,538,2899,1390,132,2.73,2.17,0.186,40,1,89,0.325,0.0,0.607
Dorian Finney-Smith,BKN,55,26,29,1730,469,2126,1237,55,1.56,0.67,0.221,31,1,112,0.355,0.0,0.768
Doug McDermott,SAS,58,18,40,1198,578,1624,1172,45,1.67,0.8,0.356,15,1,51,1.0,2.0,0.98
Draymond Green,GSW,61,32,29,1922,510,4436,2427,137,1.85,0.91,0.115,165,78,179,0.461,0.103,0.637
Drew Eubanks,POR,67,29,38,1317,403,1772,966,47,1.6,0.45,0.227,159,19,270,0.623,0.526,0.874
Dru Smith,BKN,10,4,6,124,42,227,82,17,4.41,4.41,0.185,3,0,4,1.333,0.0,0.5
Duane Washington Jr.,NYK,31,17,14,394,244,929,378,77,5.0,4.68,0.263,2,0,2,0.0,0.0,0.0
Duncan Robinson,MIA,34,16,18,575,222,806,565,23,1.72,0.8,0.275,7,0,15,1.0,0.0,1.133
Dwight Powell,DAL,65,34,31,1297,450,1671,931,44,1.57,0.54,0.269,133,7,388,0.406,0.857,0.959
Dylan Windler,CLE,1,1,0,4,2,13,10,0,1.2,0.23,0.154,0,0,0,0.0,0.0,0.0
Dyson Daniels,NOP,47,24,23,899,192,1417,675,75,3.15,2.39,0.135,6,1,39,0.333,0.0,0.769
Edmond Sumner,BKN,47,28,19,681,351,1157,537,76,3.95,3.47,0.303,12,0,29,0.667,0.0,1.069
Eric Gordon,LAC,58,18,40,1696,732,2305,1383,138,3.58,3.01,0.318,13,1,23,0.462,2.0,1.304
Eugene Omoruyi,DET,30,10,20,415,179,507,325,13,1.53,0.76,0.353,19,2,72,0.684,2.0,0.958
Evan Fournier,NYK,23,13,10,414,157,542,385,22,2.46,1.83,0.29,1,0,4,0.0,0.0,1.0
Evan Mobley,CLE,70,42,28,2396,1127,4140,2170,134,1.94,0.75,0.272,304,139,588,0.625,0.576,0.944
Facundo Campazzo,DAL,8,2,6,52,10,119,59,7,3.57,3.26,0.084,0,0,1,0.0,0.0,0.0
Frank Jackson,UTA,1,0,1,5,0,10,2,1,3.46,3.2,0.0,0,0,1,0.0,0.0,0.0
Frank Kaminsky,HOU,33,12,21,212,80,433,271,13,1.75,0.68,0.185,8,6,25,0.25,1.0,0.72
Frank Ntilikina,DAL,42,19,23,489,95,661,302,34,3.05,2.5,0.144,2,1,7,0.0,0.0,0.286
Franz Wagner,ORL,68,27,41,2231,1273,3635,2202,224,3.69,3.08,0.35,46,24,132,0.739,0.708,0.97
Fred VanVleet,TOR,57,27,30,2110,1105,4839,2122,364,4.52,4.13,0.228,10,1,13,0.6,1.0,0.923
Furkan Korkmaz,PHI,27,19,8,264,103,398,272,18,2.73,2.11,0.259,6,1,9,1.0,0.0,1.333
Gabe Vincent,MIA,57,31,26,1501,541,2501,1171,162,3.89,3.22,0.216,11,2,25,0.545,1.0,0.72
Garrett Temple,NOP,20,12,8,142,42,186,113,6,1.93,1.25,0.226,2,0,5,0.0,0.0,0.4
Garrison Mathews,ATL,48,13,35,610,219,663,428,15,1.33,0.41,0.33,4,0,6,0.0,0.0,1.167
Gary Harris,ORL,38,16,22,948,321,849,629,30,2.12,1.55,0.378,4,0,22,1.0,0.0,0.864
Gary Payton II,GSW,15,8,7,255,61,345,187,10,1.67,0.72,0.177,10,2,27,0.2,1.0,0.741
Gary Trent Jr.,TOR,60,28,32,1956,1056,2357,1838,96,2.45,1.88,0.448,24,0,39,1.125,0.0,1.026
George Hill,IND,39,25,14,725,189,1283,499,95,4.44,3.95,0.147,12,0,23,0.417,0.0,0.478
Georges Niang,PHI,65,44,21,1253,547,1887,1013,42,1.34,0.45,0.29,5,1,25,0.4,0.0,1.24
Giannis Antetokounmpo,MIL,54,41,13,1758,1703,4293,2009,291,4.07,2.99,0.397,229,244,286,0.563,0.451,1.101
Goga Bitadze,ORL,26,8,18,263,97,401,262,10,1.49,0.54,0.242,18,8,78,0.5,0.375,0.769
Goran Dragic,MIL,50,22,28,773,323,1722,674,120,4.19,3.65,0.188,6,4,10,1.0,0.75,0.8
Gordon Hayward,CHA,45,17,28,1426,646,2178,1579,103,2.84,1.86,0.297,73,20,89,0.534,0.3,0.764
Gorgui Dieng,SAS,23,2,21,229,71,425,300,13,1.84,0.63,0.167,17,8,30,0.118,0.0,0.6
Grant Williams,BOS,67,46,21,1792,547,2050,1104,60,1.77,0.75,0.267,39,6,110,0.359,0.333,0.7
Grayson Allen,MIL,64,47,17,1784,687,2314,1536,92,2.39,1.44,0.297,20,0,57,0.6,0.0,0.561
Greg Brown III,POR,16,10,6,93,28,85,54,3,2.31,1.33,0.329,1,0,5,2.0,0.0,0.8
Hamidou Diallo,DET,55,12,43,974,505,1528,755,60,2.34,1.67,0.33,60,7,108,1.15,0.0,1.204
Harrison Barnes,SAC,68,41,27,2242,1026,3237,2059,117,2.17,1.11,0.317,48,49,125,0.833,0.98,1.016
Haywood Highsmith,MIA,46,24,22,869,216,973,562,28,1.7,0.91,0.222,29,2,92,0.241,0.0,0.511
Herbert Jones,NOP,53,22,31,1540,514,2275,1242,79,2.09,1.05,0.226,47,4,114,0.511,0.75,0.754
Immanuel Quickley,NYK,70,41,29,1993,957,3436,1689,253,4.42,3.81,0.279,19,1,31,0.474,0.0,0.548
Isaac Okoro,CLE,72,44,28,1567,471,1441,929,46,1.91,1.01,0.327,25,1,85,0.56,2.0,0.894
Isaiah Hartenstein,NYK,71,41,30,1391,343,2047,968,47,1.36,0.25,0.168,123,12,358,0.382,0.75,0.673
Isaiah Jackson,IND,51,20,31,796,348,1117,713,25,1.36,0.4,0.312,91,15,263,0.549,0.733,0.935
Isaiah Joe,OKC,61,31,30,1091,546,1406,874,47,2.0,1.32,0.388,21,0,20,0.571,0.0,0.75
Isaiah Livers,DET,45,10,35,1008,282,1144,712,36,1.89,0.88,0.247,13,2,23,0.769,2.0,0.696
Isaiah Mobley,CLE,9,6,3,30,11,52,24,2,2.21,1.02,0.212,0,1,2,0.0,2.0,2.0
Isaiah Roby,SAS,41,9,32,464,168,770,424,26,1.99,0.99,0.218,21,7,37,0.619,0.714,0.811
Isaiah Stewart,DET,49,12,37,1384,560,1923,1088,54,1.7,0.71,0.291,74,38,231,0.784,0.421,0.805
Isaiah Todd,WAS,4,2,2,13,2,17,10,1,1.81,0.59,0.118,0,0,0,0.0,0.0,0.0
Ish Smith,DEN,35,21,14,322,91,759,289,64,5.03,4.88,0.12,5,0,9,0.0,0.0,0.444
Ish Wainright,PHX,51,27,24,778,221,796,519,20,1.5,0.7,0.278,2,0,36,0.0,0.0,0.667
Ivica Zubac,LAC,64,36,28,1865,664,2689,1313,67,1.5,0.45,0.247,244,116,561,0.553,0.836,0.909
JD Davison,BOS,7,6,1,18,6,30,14,2,4.06,3.23,0.2,1,0,1,2.0,0.0,2.0
JT Thor,CHA,58,17,41,677,158,890,445,22,1.5,0.54,0.178,15,2,49,0.133,0.0,0.755
Ja Morant,MEM,53,34,19,1721,1436,4190,1420,413,5.91,5.14,0.343,25,8,78,0.52,0.0,0.923
JaMychal Green,GSW,50,26,24,721,331,1151,717,25,1.28,0.33,0.288,54,23,151,0.556,0.217,0.967
JaVale McGee,DAL,37,18,19,296,151,426,231,11,1.5,0.47,0.354,38,14,114,0.658,0.571,0.912
Jabari Smith Jr.,HOU,66,16,50,2012,824,3040,1535,98,1.93,0.99,0.271,81,54,162,0.679,0.537,1.068
Jabari Walker,POR,45,20,25,393,122,448,249,13,1.77,0.75,0.272,16,5,59,1.188,0.4,0.847
Jack White,DEN,16,12,4,51,19,79,43,2,1.71,0.76,0.241,2,0,9,0.0,0.0,0.444
Jaden Hardy,DAL,36,17,19,505,288,829,418,54,3.92,3.59,0.347,7,0,7,0.0,0.0,0.571
Jaden Ivey,DET,61,15,46,1839,940,3402,1327,277,4.89,4.57,0.276,48,3,91,0.625,0.0,0.681
Jaden McDaniels,MIN,67,34,33,2055,784,2594,1534,81,1.86,1.16,0.302,42,16,169,0.571,0.5,0.923
Jaden Springer,PHI,8,8,0,29,17,34,21,2,3.96,2.88,0.5,1,0,6,0.0,0.0,1.333
Jae Crowder,MIL,11,9,2,206,66,300,143,7,1.37,0.39,0.22,2,1,10,0.0,0.0,0.8
Jae'Sean Tate,HOU,29,6,23,634,269,1203,632,71,3.55,2.6,0.224,20,37,66,0.4,0.649,0.727
Jake LaRavia,MEM,32,21,11,388,99,469,267,14,1.74,0.87,0.211,5,2,18,1.0,1.0,0.389
Jakob Poeltl,TOR,58,18,40,1541,739,3130,1814,87,1.66,0.53,0.236,403,116,484,0.469,0.681,0.862
Jalen Brunson,NYK,62,36,26,2166,1474,5222,1814,526,6.04,5.68,0.282,11,58,20,0.455,0.586,0.5
Jalen Duren,DET,55,15,40,1370,477,1923,895,51,1.59,0.5,0.248,99,51,434,0.525,0.569,0.896
Jalen Green,HOU,63,15,48,2130,1362,4125,2145,301,4.38,3.88,0.33,26,1,57,0.538,0.0,0.93
Jalen Johnson,ATL,64,32,32,925,331,1348,543,45,2.01,0.94,0.246,32,6,79,0.688,0.5,0.861
Jalen McDaniels,PHI,69,25,44,1701,674,2572,1375,88,2.05,1.22,0.262,30,5,122,0.8,0.0,1.18
Jalen Smith,IND,57,28,29,1049,521,1684,1003,40,1.41,0.46,0.309,74,23,220,0.716,0.478,0.955
Jalen Suggs,ORL,44,17,27,1046,430,1978,823,122,3.71,3.04,0.217,12,4,67,0.75,1.0,0.627
Jalen Williams,OKC,63,31,32,1879,856,2864,1393,158,3.31,2.82,0.299,50,0,139,1.08,0.0,1.036
Jamal Cain,MIA,15,8,7,186,66,181,105,4,1.4,0.59,0.365,2,0,37,0.0,0.0,1.135
Jamal Murray,DEN,55,37,18,1806,1098,3902,1875,312,4.79,4.18,0.281,62,37,72,0.726,0.649,0.847
Jamaree Bouyea,WAS,5,2,3,71,15,118,48,9,4.37,3.7,0.127,0,0,0,0.0,0.0,0.0
James Bouknight,CHA,26,5,21,354,111,471,298,23,2.89,2.13,0.236,2,0,6,1.0,0.0,0.333
James Harden,PHI,51,35,16,1880,1117,4794,1731,441,5.52,4.76,0.233,15,19,33,0.467,0.789,0.485
James Johnson,IND,14,6,8,124,35,166,87,8,3.02,2.73,0.211,5,2,5,0.4,0.0,0.6
James Wiseman,DET,33,10,23,575,302,986,451,23,1.42,0.33,0.306,52,46,171,1.038,0.652,1.123
Jared Butler,OKC,2,1,1,19,5,34,11,3,4.61,4.38,0.147,0,0,0,0.0,0.0,0.0
Jared Rhoden,DET,6,1,5,51,15,51,30,2,1.98,1.2,0.294,0,0,5,0.0,0.0,1.2
Jaren Jackson Jr.,MEM,51,31,20,1417,867,1996,1153,65,1.95,0.96,0.434,68,128,201,0.721,0.789,1.164
Jarred Vanderbilt,LAL,66,34,32,1614,544,2192,1218,78,2.15,1.27,0.248,125,0,346,0.528,0.0,0.829
Jarrett Allen,CLE,62,39,23,2048,890,2698,1590,69,1.53,0.32,0.33,344,63,699,0.541,0.603,0.99
Jarrett Culver,ATL,10,5,5,137,44,205,109,7,2.12,1.14,0.215,1,0,12,0.0,0.0,1.0
Jason Preston,LAC,13,3,10,122,41,308,100,24,4.64,4.29,0.133,1,0,2,2.0,0.0,1.0
Javonte Green,CHI,28,11,17,449,164,664,333,14,1.24,0.43,0.247,14,0,51,1.071,0.0,1.294
Jaxson Hayes,NOP,42,18,24,593,231,719,464,18,1.47,0.59,0.321,38,7,112,0.895,0.286,1.027
