PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Duncan Robinson,MIA,13,9,4,159,18,6,11,54.5,6,11,54.5,81.8
Dwight Powell,DAL,18,9,9,249,0,0,0,-,0,0,-,-
Elfrid Payton,PHX,2,0,2,8,0,0,1,0.0,-,-,-,0.0
Eric Paschall,UTA,4,1,3,24,0,0,0,-,0,0,-,-
Facundo Campazzo,DEN,4,1,3,13,0,0,1,0.0,0,1,0.0,0.0
Frank Ntilikina,DAL,12,5,7,125,0,0,2,0.0,0,2,0.0,0.0
Fred VanVleet,TOR,4,1,3,140,23,9,26,34.6,5,17,29.4,44.2
Furkan Korkmaz,PHI,9,3,6,61,7,3,8,37.5,1,3,33.3,43.8
Gabe Vincent,MIA,18,11,7,423,52,21,58,36.2,10,34,29.4,44.8
Garrett Temple,NOP,1,1,0,2,0,0,0,-,-,-,-,-
Gary Payton II,GSW,12,9,3,203,0,0,1,0.0,0,1,0.0,0.0
Gary Trent Jr.,TOR,6,2,4,199,32,15,38,39.5,2,11,18.2,42.1
George Hill,MIL,5,2,3,76,0,0,0,-,0,0,-,-
Georges Niang,PHI,12,6,6,198,6,2,5,40.0,2,4,50.0,60.0
Giannis Antetokounmpo,MIL,12,7,5,448,57,25,84,29.8,7,30,23.3,33.9
Goran Dragic,BKN,4,0,4,79,10,5,11,45.5,0,3,0.0,45.5
Gorgui Dieng,ATL,2,0,2,10,0,0,0,-,0,0,-,-
Grant Williams,BOS,24,14,10,654,15,6,18,33.3,3,12,25.0,41.7
Grayson Allen,MIL,12,7,5,305,12,5,20,25.0,2,15,13.3,30.0
Greg Monroe,MIN,2,0,2,7,0,0,0,-,-,-,-,-
Hassan Whiteside,UTA,6,2,4,65,0,0,0,-,-,-,-,-
Haywood Highsmith,MIA,8,4,4,31,0,0,1,0.0,0,1,0.0,0.0
Herbert Jones,NOP,6,2,4,226,3,1,2,50.0,1,2,50.0,75.0
Isaac Bonga,TOR,1,0,1,3,0,0,0,-,-,-,-,-
Isaiah Joe,PHI,7,2,5,15,3,1,3,33.3,1,2,50.0,50.0
Ish Wainright,PHX,7,2,5,26,0,0,0,-,0,0,-,-
Ja Morant,MEM,9,5,4,338,52,19,53,35.8,14,34,41.2,49.1
JaMychal Green,DEN,5,1,4,69,0,0,0,-,0,0,-,-
JaVale McGee,PHX,12,7,5,133,0,0,1,0.0,0,0,-,0.0
Jaden McDaniels,MIN,6,2,4,130,4,2,4,50.0,0,0,-,50.0
Jaden Springer,PHI,5,1,4,13,0,0,2,0.0,0,0,-,0.0
Jae Crowder,PHX,13,7,6,383,29,12,31,38.7,5,15,33.3,46.8
Jalen Brunson,DAL,18,9,9,629,95,43,115,37.4,9,32,28.1,41.3
Jalen Johnson,ATL,2,0,2,9,0,0,2,0.0,0,0,-,0.0
James Harden,PHI,12,6,6,479,78,27,77,35.1,24,62,38.7,50.6
Jared Butler,UTA,1,0,1,5,0,0,1,0.0,-,-,-,0.0
Jaren Jackson Jr.,MEM,12,6,6,332,17,6,17,35.3,5,10,50.0,50.0
Jarred Vanderbilt,MIN,6,2,4,129,0,0,0,-,-,-,-,-
Jarrett Culver,MEM,3,2,1,22,0,0,3,0.0,0,0,-,0.0
Javonte Green,CHI,5,1,4,72,0,0,0,-,0,0,-,-
Jaxson Hayes,NOP,6,2,4,83,0,0,1,0.0,0,0,-,0.0
Jaylen Brown,BOS,24,14,10,920,127,54,126,42.9,19,44,43.2,50.4
Jaylen Nowell,MIN,1,0,1,12,0,0,3,0.0,0,1,0.0,0.0
Jayson Tatum,BOS,24,14,10,983,163,63,192,32.8,37,112,33.0,42.4
Jeff Green,DEN,5,1,4,113,2,1,4,25.0,0,1,0.0,25.0
Jevon Carter,MIL,11,6,5,126,10,5,8,62.5,0,1,0.0,62.5
Jimmy Butler,MIA,17,10,7,629,100,45,114,39.5,10,27,37.0,43.9
Joel Embiid,PHI,10,6,4,385,55,26,64,40.6,3,13,23.1,43.0
John Collins,ATL,5,1,4,122,2,1,2,50.0,0,0,-,50.0
John Konchar,MEM,8,5,3,56,0,0,1,0.0,0,1,0.0,0.0
Jonas Valanciunas,NOP,6,2,4,175,6,3,5,60.0,0,0,-,60.0
Jonathan Kuminga,GSW,16,10,6,138,9,4,14,28.6,1,3,33.3,32.1
Jordan Clarkson,UTA,6,2,4,170,28,13,23,56.5,2,10,20.0,60.9
Jordan McLaughlin,MIN,5,2,3,83,2,1,3,33.3,0,2,0.0,33.3
Jordan Nwora,MIL,8,4,4,20,2,1,5,20.0,0,2,0.0,20.0
Jordan Poole,GSW,22,16,6,605,96,36,98,36.7,24,71,33.8,49.0
Jose Alvarado,NOP,6,2,4,117,2,1,4,25.0,0,1,0.0,25.0
Josh Green,DAL,16,8,8,121,2,1,2,50.0,0,0,-,50.0
Josh Okogie,MIN,1,0,1,2,0,0,0,-,-,-,-,-
Jrue Holiday,MIL,12,7,5,463,88,37,119,31.1,14,52,26.9,37.0
Juan Toscano-Anderson,GSW,14,9,5,49,0,0,2,0.0,0,1,0.0,0.0
Juancho Hernangomez,UTA,6,2,4,56,3,1,1,100,1,1,100,150.0
Juwan Morgan,BOS,9,6,3,15,0,0,1,0.0,0,1,0.0,0.0
Karl-Anthony Towns,MIN,6,2,4,222,17,7,17,41.2,3,5,60.0,50.0
Kessler Edwards,BKN,2,0,2,7,0,0,0,-,-,-,-,-
Kevin Durant,BKN,4,0,4,176,44,20,55,36.4,4,14,28.6,40.0
Kevin Huerter,ATL,5,1,4,154,19,8,20,40.0,3,9,33.3,47.5
Kevin Knox II,ATL,2,0,2,9,8,3,4,75.0,2,3,66.7,100
Kevon Looney,GSW,22,16,6,448,2,1,1,100,-,-,-,100
Khem Birch,TOR,6,2,4,63,0,0,1,0.0,0,0,-,0.0
Khris Middleton,MIL,2,1,1,71,7,3,11,27.3,1,5,20.0,31.8
Klay Thompson,GSW,22,16,6,792,128,55,136,40.4,18,56,32.1,47.1
Kyle Anderson,MEM,12,6,6,221,10,5,12,41.7,0,1,0.0,41.7
Kyle Lowry,MIA,10,4,6,295,31,12,43,27.9,7,27,25.9,36.0
Kyrie Irving,BKN,4,0,4,170,32,13,37,35.1,6,16,37.5,43.2
Landry Shamet,PHX,12,6,6,192,14,6,18,33.3,2,6,33.3,38.9
Larry Nance Jr.,NOP,6,2,4,130,2,1,2,50.0,0,0,-,50.0
Luca Vildoza,MIL,7,3,4,17,0,0,3,0.0,0,3,0.0,0.0
Luka Doncic,DAL,15,7,8,552,197,75,195,38.5,47,129,36.4,50.5
Luke Kornet,BOS,9,4,5,19,0,0,0,-,0,0,-,-
Malachi Flynn,TOR,6,2,4,36,0,0,5,0.0,0,1,0.0,0.0
Malik Beasley,MIN,6,2,4,119,0,0,3,0.0,0,2,0.0,0.0
Malik Fitts,BOS,9,6,3,16,0,0,1,0.0,0,0,-,0.0
Marcus Smart,BOS,21,12,9,760,59,23,57,40.4,13,34,38.2,51.8
Markieff Morris,MIA,1,0,1,3,0,0,0,-,-,-,-,-
Marquese Chriss,DAL,8,4,4,30,0,0,0,-,0,0,-,-
Matisse Thybulle,PHI,9,4,5,137,0,0,0,-,0,0,-,-
Max Strus,MIA,18,11,7,523,21,7,37,18.9,7,34,20.6,28.4
Maxi Kleber,DAL,18,9,9,457,11,5,10,50.0,1,5,20.0,55.0
Mikal Bridges,PHX,13,7,6,500,24,11,34,32.4,2,3,66.7,35.3
Mike Conley,UTA,6,2,4,174,29,12,28,42.9,5,15,33.3,51.8
Monte Morris,DEN,5,1,4,156,17,8,16,50.0,1,2,50.0,53.1
Moses Moody,GSW,13,9,4,105,4,2,5,40.0,0,1,0.0,40.0
Naji Marshall,NOP,6,2,4,56,2,1,1,100,-,-,-,100
Naz Reid,MIN,5,2,3,54,0,0,0,-,0,0,-,-
Nemanja Bjelica,GSW,15,10,5,150,2,1,2,50.0,0,0,-,50.0
Nic Claxton,BKN,4,0,4,98,0,0,0,-,-,-,-,-
Nickeil Alexander-Walker,UTA,1,0,1,5,0,0,0,-,-,-,-,-
Nik Stauskas,BOS,13,8,5,24,3,1,7,14.3,1,5,20.0,21.4
Nikola Jokic,DEN,5,1,4,171,6,3,3,100,0,0,-,100
Nikola Vucevic,CHI,5,1,4,181,4,2,2,100,0,0,-,100
O.G. Anunoby,TOR,6,2,4,217,18,7,25,28.0,4,15,26.7,36.0
Omer Yurtseven,MIA,9,5,4,38,0,0,0,-,0,0,-,-
Onyeka Okongwu,ATL,5,1,4,108,0,0,0,-,-,-,-,-
Otto Porter Jr.,GSW,19,14,5,371,9,4,7,57.1,1,2,50.0,64.3
P.J. Tucker,MIA,18,11,7,509,8,4,9,44.4,0,2,0.0,44.4
Pascal Siakam,TOR,6,2,4,260,40,20,51,39.2,0,5,0.0,39.2
Pat Connaughton,MIL,12,7,5,318,0,0,5,0.0,0,3,0.0,0.0
Patrick Beverley,MIN,6,2,4,194,6,2,9,22.2,2,9,22.2,33.3
Patrick Williams,CHI,5,1,4,153,16,8,16,50.0,0,2,0.0,50.0
Patty Mills,BKN,4,0,4,72,7,3,5,60.0,1,2,50.0,70.0
Paul Millsap,PHI,1,0,1,6,0,0,0,-,-,-,-,-
Paul Reed,PHI,12,6,6,140,0,0,1,0.0,0,0,-,0.0
Payton Pritchard,BOS,24,14,10,309,35,14,39,35.9,7,26,26.9,44.9
Precious Achiuwa,TOR,6,2,4,167,0,0,8,0.0,0,3,0.0,0.0
Rayjon Tucker,MIL,8,4,4,19,0,0,1,0.0,0,0,-,0.0
Reggie Bullock,DAL,18,9,9,707,8,3,9,33.3,2,6,33.3,44.4
Robert Williams III,BOS,17,9,8,394,0,0,2,0.0,0,1,0.0,0.0
Royce O'Neale,UTA,6,2,4,188,6,2,3,66.7,2,2,100,100
Rudy Gobert,UTA,6,2,4,197,0,0,0,-,-,-,-,-
Sam Hauser,BOS,7,3,4,15,0,0,2,0.0,0,1,0.0,0.0
Scottie Barnes,TOR,4,2,2,133,11,5,12,41.7,1,2,50.0,45.8
Serge Ibaka,MIL,6,4,2,22,0,0,0,-,0,0,-,-
Seth Curry,BKN,4,0,4,132,24,10,16,62.5,4,7,57.1,75.0
Shake Milton,PHI,12,6,6,158,12,5,11,45.5,2,3,66.7,54.5
Skylar Mays,ATL,2,0,2,9,0,0,0,-,-,-,-,-
Spencer Dinwiddie,DAL,18,9,9,501,80,30,84,35.7,20,56,35.7,47.6
Stephen Curry,GSW,22,16,6,764,241,91,211,43.1,59,144,41.0,57.1
Sterling Brown,DAL,9,5,4,26,0,0,2,0.0,0,2,0.0,0.0
Steven Adams,MEM,7,2,5,114,2,1,3,33.3,-,-,-,33.3
Svi Mykhailiuk,TOR,3,2,1,5,0,0,0,-,0,0,-,-
Taurean Prince,MIN,5,2,3,65,0,0,3,0.0,0,2,0.0,0.0
Thaddeus Young,TOR,6,2,4,87,2,1,2,50.0,0,0,-,50.0
Thanasis Antetokounmpo,MIL,8,4,4,20,0,0,0,-,-,-,-,-
Timothe Luwawu-Cabarrot,ATL,4,0,4,22,0,0,1,0.0,0,1,0.0,0.0
Tobias Harris,PHI,12,6,6,466,42,19,39,48.7,4,8,50.0,53.8
Tony Bradley,CHI,2,0,2,8,0,0,0,-,-,-,-,-
Torrey Craig,PHX,9,5,4,69,0,0,1,0.0,0,0,-,0.0
Trae Young,ATL,5,1,4,186,25,11,44,25.0,3,29,10.3,28.4
Trey Burke,DAL,10,6,4,37,17,7,12,58.3,3,6,50.0,70.8
Trey Murphy III,NOP,6,2,4,120,0,0,1,0.0,0,0,-,0.0
Tristan Thompson,CHI,5,1,4,38,0,0,0,-,-,-,-,-
Troy Brown Jr.,CHI,3,0,3,37,2,1,7,14.3,0,3,0.0,14.3
Tyler Herro,MIA,15,10,5,381,79,36,94,38.3,7,35,20.0,42.0
Tyrese Maxey,PHI,12,6,6,485,58,25,71,35.2,8,27,29.6,40.8
Tyus Jones,MEM,12,6,6,262,29,12,42,28.6,5,12,41.7,34.5
Victor Oladipo,MIA,15,9,6,368,43,18,57,31.6,7,27,25.9,37.7
Vlatko Cancar,DEN,2,0,2,9,3,1,1,100,1,1,100,150.0
Wesley Matthews,MIL,12,7,5,345,3,1,3,33.3,1,3,33.3,50.0
Will Barton,DEN,5,1,4,172,2,1,13,7.7,0,3,0.0,7.7
Willy Hernangomez,NOP,1,1,0,2,0,0,0,-,0,0,-,-
Xavier Tillman,MEM,9,6,3,139,0,0,1,0.0,0,0,-,0.0
Yuta Watanabe,TOR,4,2,2,10,0,0,2,0.0,0,0,-,0.0
Zach LaVine,CHI,4,1,3,153,11,5,24,20.8,1,11,9.1,22.9
Zeke Nnaji,DEN,2,0,2,9,0,0,0,-,0,0,-,-
Ziaire Williams,MEM,10,5,5,168,7,3,6,50.0,1,2,50.0,58.3
