PLAYER,TEAM,GP,W,L,MIN,Touches,PaintTouches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
Cameron Johnson,PHX,13,7,6,320,365,14,7,10,70.0,0,0,0.0,15,107.1,3,21.4,1,7.1,1,7.1,0,0.0
Cameron Payne,PHX,13,7,6,172,368,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Charles Bassey,PHI,3,0,3,12,17,4,1,2,50.0,0,0,0.0,2,50.0,2,50.0,1,25.0,0,0.0,0,0.0
Chris Boucher,TOR,6,2,4,130,131,23,15,17,88.2,6,6,100.0,36,156.5,1,4.3,0,0.0,1,4.3,3,13.0
Chris Paul,PHX,13,7,6,448,925,4,1,2,50.0,0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0
Clint Capela,ATL,2,0,2,40,50,8,1,4,25.0,0,0,0.0,2,25.0,2,25.0,0,0.0,2,25.0,0,0.0
Coby White,CHI,5,1,4,98,170,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
D'Angelo Russell,MIN,6,2,4,196,429,3,0,2,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Dalano Banton,TOR,4,2,2,8,22,2,2,2,100.0,0,0,0.0,6,300.0,0,0.0,0,0.0,0,0.0,0,0.0
Damion Lee,GSW,16,11,5,124,168,6,4,4,100.0,0,0,0.0,8,133.3,1,16.7,0,0.0,1,16.7,0,0.0
Daniel Theis,BOS,16,10,6,200,249,46,22,28,78.6,3,4,75.0,47,102.2,11,23.9,1,2.2,4,8.7,2,4.3
Danilo Gallinari,ATL,5,1,4,112,163,8,5,6,83.3,2,2,100.0,13,162.5,0,0.0,0,0.0,1,12.5,1,12.5
Danny Green,PHI,12,6,6,319,346,12,2,8,25.0,0,0,0.0,4,33.3,2,16.7,1,8.3,1,8.3,0,0.0
Danuel House Jr.,UTA,6,2,4,112,107,2,1,1,100.0,1,2,50.0,3,150.0,0,0.0,0,0.0,0,0.0,1,50.0
Davis Bertans,DAL,18,9,9,192,232,5,1,1,100.0,0,0,0.0,2,40.0,3,60.0,2,40.0,1,20.0,0,0.0
Day'Ron Sharpe,BKN,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
De'Andre Hunter,ATL,5,1,4,175,243,11,4,6,66.7,2,2,100.0,10,90.9,3,27.3,0,0.0,0,0.0,1,9.1
De'Anthony Melton,MEM,10,4,6,170,324,5,2,2,100.0,0,0,0.0,4,80.0,2,40.0,0,0.0,1,20.0,0,0.0
DeAndre Jordan,PHI,3,1,2,31,26,6,5,5,100.0,0,0,0.0,10,166.7,0,0.0,0,0.0,1,16.7,0,0.0
DeMar DeRozan,CHI,5,1,4,203,364,3,0,1,0.0,2,2,100.0,2,66.7,1,33.3,0,0.0,0,0.0,1,33.3
DeMarcus Cousins,DEN,5,1,4,57,129,12,4,6,66.7,1,2,50.0,9,75.0,3,25.0,0,0.0,1,8.3,1,8.3
Deandre Ayton,PHX,13,7,6,397,579,121,64,91,70.3,11,16,68.8,142,117.4,10,8.3,0,0.0,5,4.1,7,5.8
Delon Wright,ATL,5,1,4,137,223,10,7,9,77.8,0,1,0.0,14,140.0,1,10.0,1,10.0,0,0.0,1,10.0
Derrick Jones Jr.,CHI,5,1,4,59,82,8,2,3,66.7,0,0,0.0,4,50.0,4,50.0,0,0.0,1,12.5,0,0.0
Derrick White,BOS,23,13,10,585,1026,14,1,1,100.0,3,4,75.0,6,42.9,9,64.3,1,7.1,0,0.0,2,14.3
Desmond Bane,MEM,12,6,6,428,725,6,2,3,66.7,0,0,0.0,5,83.3,3,50.0,1,16.7,0,0.0,0,0.0
Devin Booker,PHX,10,5,5,366,552,13,4,7,57.1,3,4,75.0,11,84.6,2,15.4,0,0.0,2,15.4,2,15.4
Devonte' Graham,NOP,6,2,4,60,116,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dewayne Dedmon,MIA,14,10,4,138,191,33,13,24,54.2,4,6,66.7,31,93.9,5,15.2,0,0.0,1,3.0,2,6.1
Dillon Brooks,MEM,11,6,5,335,456,7,2,5,40.0,1,2,50.0,5,71.4,1,14.3,1,14.3,0,0.0,1,14.3
Donovan Mitchell,UTA,6,2,4,230,449,10,3,5,60.0,3,4,75.0,11,110.0,3,30.0,1,10.0,0,0.0,2,20.0
Dorian Finney-Smith,DAL,18,9,9,688,796,50,13,20,65.0,8,10,80.0,34,68.0,21,42.0,2,4.0,2,4.0,5,10.0
Draymond Green,GSW,22,16,6,703,1551,69,26,38,68.4,3,8,37.5,56,81.2,26,37.7,4,5.8,1,1.4,4,5.8
Duncan Robinson,MIA,13,9,4,159,202,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Dwight Powell,DAL,18,9,9,249,273,54,20,29,69.0,6,11,54.5,45,83.3,14,25.9,1,1.9,3,5.6,4,7.4
Elfrid Payton,PHX,2,0,2,8,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eric Paschall,UTA,4,1,3,24,17,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Facundo Campazzo,DEN,4,1,3,13,30,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Frank Ntilikina,DAL,12,5,7,125,163,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Fred VanVleet,TOR,4,1,3,140,280,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Furkan Korkmaz,PHI,9,3,6,61,83,4,1,2,50.0,0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Gabe Vincent,MIA,18,11,7,423,728,4,0,1,0.0,0,0,0.0,0,0.0,3,75.0,2,50.0,0,0.0,0,0.0
Garrett Temple,NOP,1,1,0,2,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gary Payton II,GSW,12,9,3,203,242,36,13,19,68.4,5,6,83.3,31,86.1,10,27.8,1,2.8,0,0.0,3,8.3
Gary Trent Jr.,TOR,6,2,4,199,202,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
George Hill,MIL,5,2,3,76,70,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Georges Niang,PHI,12,6,6,198,313,5,2,2,100.0,0,0,0.0,4,80.0,2,40.0,0,0.0,1,20.0,0,0.0
Giannis Antetokounmpo,MIL,12,7,5,448,1066,59,27,38,71.1,5,10,50.0,59,100.0,7,11.9,2,3.4,4,6.8,5,8.5
Goran Dragic,BKN,4,0,4,79,146,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Gorgui Dieng,ATL,2,0,2,10,21,1,1,1,100.0,0,0,0.0,3,300.0,0,0.0,0,0.0,0,0.0,0,0.0
Grant Williams,BOS,24,14,10,654,690,51,11,23,47.8,10,14,71.4,33,64.7,19,37.3,1,2.0,2,3.9,6,11.8
Grayson Allen,MIL,12,7,5,305,313,4,1,2,50.0,1,2,50.0,3,75.0,1,25.0,0,0.0,0,0.0,1,25.0
Greg Monroe,MIN,2,0,2,7,12,3,2,3,66.7,0,0,0.0,4,133.3,0,0.0,0,0.0,0,0.0,0,0.0
Hassan Whiteside,UTA,6,2,4,65,48,14,5,12,41.7,1,2,50.0,11,78.6,1,7.1,0,0.0,0,0.0,1,7.1
Haywood Highsmith,MIA,8,4,4,31,33,4,0,1,0.0,0,0,0.0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0
Herbert Jones,NOP,6,2,4,226,267,9,3,4,75.0,2,4,50.0,8,88.9,2,22.2,0,0.0,1,11.1,2,22.2
Isaac Bonga,TOR,1,0,1,3,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Isaiah Joe,PHI,7,2,5,15,17,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ish Wainright,PHX,7,2,5,26,30,6,1,3,33.3,0,0,0.0,2,33.3,2,33.3,0,0.0,1,16.7,0,0.0
Ja Morant,MEM,9,5,4,338,851,16,6,11,54.5,3,4,75.0,15,93.8,2,12.5,0,0.0,1,6.3,2,12.5
JaMychal Green,DEN,5,1,4,69,69,13,5,10,50.0,4,4,100.0,15,115.4,0,0.0,0,0.0,0,0.0,2,15.4
JaVale McGee,PHX,12,7,5,133,197,51,27,35,77.1,1,2,50.0,56,109.8,6,11.8,0,0.0,3,5.9,1,2.0
Jaden McDaniels,MIN,6,2,4,130,178,13,6,6,100.0,4,4,100.0,16,123.1,4,30.8,0,0.0,1,7.7,2,15.4
Jaden Springer,PHI,5,1,4,13,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jae Crowder,PHX,13,7,6,383,654,10,4,5,80.0,2,4,50.0,10,100.0,2,20.0,0,0.0,1,10.0,2,20.0
Jalen Brunson,DAL,18,9,9,629,1204,14,3,7,42.9,2,2,100.0,8,57.1,6,42.9,0,0.0,0,0.0,1,7.1
Jalen Johnson,ATL,2,0,2,9,8,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
James Harden,PHI,12,6,6,479,1007,9,2,2,100.0,2,2,100.0,4,44.4,4,44.4,2,22.2,2,22.2,1,11.1
Jared Butler,UTA,1,0,1,5,9,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jaren Jackson Jr.,MEM,12,6,6,332,449,43,12,23,52.2,5,8,62.5,30,69.8,9,20.9,3,7.0,2,4.7,4,9.3
Jarred Vanderbilt,MIN,6,2,4,129,172,34,7,17,41.2,3,4,75.0,17,50.0,13,38.2,2,5.9,2,5.9,2,5.9
Jarrett Culver,MEM,3,2,1,22,38,4,1,2,50.0,0,0,0.0,2,50.0,2,50.0,1,25.0,0,0.0,0,0.0
Javonte Green,CHI,5,1,4,72,99,8,1,6,16.7,0,0,0.0,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0
Jaxson Hayes,NOP,6,2,4,83,87,17,9,12,75.0,2,2,100.0,21,123.5,3,17.6,0,0.0,0,0.0,1,5.9
Jaylen Brown,BOS,24,14,10,920,1539,40,15,25,60.0,0,2,0.0,30,75.0,11,27.5,0,0.0,1,2.5,1,2.5
Jaylen Nowell,MIN,1,0,1,12,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jayson Tatum,BOS,24,14,10,983,1988,57,20,37,54.1,8,12,66.7,49,86.0,10,17.5,2,3.5,2,3.5,6,10.5
Jeff Green,DEN,5,1,4,113,110,11,2,4,50.0,0,0,0.0,5,45.5,6,54.5,0,0.0,1,9.1,0,0.0
Jevon Carter,MIL,11,6,5,126,163,6,0,2,0.0,0,0,0.0,0,0.0,4,66.7,1,16.7,0,0.0,0,0.0
Jimmy Butler,MIA,17,10,7,629,1206,78,28,41,68.3,13,18,72.2,73,93.6,21,26.9,7,9.0,5,6.4,7,9.0
Joel Embiid,PHI,10,6,4,385,637,65,28,35,80.0,14,16,87.5,75,115.4,11,16.9,1,1.5,6,9.2,8,12.3
John Collins,ATL,5,1,4,122,193,24,10,15,66.7,2,4,50.0,24,100.0,4,16.7,2,8.3,0,0.0,2,8.3
John Konchar,MEM,8,5,3,56,82,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
Jonas Valanciunas,NOP,6,2,4,175,363,49,19,36,52.8,5,6,83.3,45,91.8,6,12.2,1,2.0,3,6.1,3,6.1
Jonathan Kuminga,GSW,16,10,6,138,185,21,9,16,56.3,6,6,100.0,24,114.3,2,9.5,0,0.0,0,0.0,2,9.5
Jordan Clarkson,UTA,6,2,4,170,221,5,3,3,100.0,0,0,0.0,6,120.0,1,20.0,0,0.0,0,0.0,0,0.0
Jordan McLaughlin,MIN,5,2,3,83,188,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Jordan Nwora,MIL,8,4,4,20,29,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jordan Poole,GSW,22,16,6,605,1175,8,5,5,100.0,0,0,0.0,11,137.5,3,37.5,0,0.0,0,0.0,0,0.0
Jose Alvarado,NOP,6,2,4,117,200,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0
Josh Green,DAL,16,8,8,121,138,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Josh Okogie,MIN,1,0,1,2,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jrue Holiday,MIL,12,7,5,463,1007,25,6,15,40.0,0,0,0.0,12,48.0,7,28.0,2,8.0,3,12.0,0,0.0
Juan Toscano-Anderson,GSW,14,9,5,49,115,4,1,1,100.0,0,0,0.0,2,50.0,2,50.0,0,0.0,1,25.0,0,0.0
Juancho Hernangomez,UTA,6,2,4,56,76,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Juwan Morgan,BOS,9,6,3,15,11,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Karl-Anthony Towns,MIN,6,2,4,222,366,32,7,14,50.0,8,10,80.0,23,71.9,7,21.9,2,6.3,3,9.4,5,15.6
Kessler Edwards,BKN,2,0,2,7,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kevin Durant,BKN,4,0,4,176,336,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Kevin Huerter,ATL,5,1,4,154,266,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0
Kevin Knox II,ATL,2,0,2,9,27,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kevon Looney,GSW,22,16,6,448,665,118,41,58,70.7,7,10,70.0,90,76.3,44,37.3,13,11.0,5,4.2,5,4.2
Khem Birch,TOR,6,2,4,63,66,9,4,6,66.7,0,0,0.0,8,88.9,2,22.2,1,11.1,1,11.1,0,0.0
Khris Middleton,MIL,2,1,1,71,140,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Klay Thompson,GSW,22,16,6,792,1008,22,13,16,81.3,4,4,100.0,30,136.4,4,18.2,0,0.0,0,0.0,2,9.1
Kyle Anderson,MEM,12,6,6,221,361,18,7,9,77.8,1,2,50.0,15,83.3,7,38.9,2,11.1,1,5.6,1,5.6
Kyle Lowry,MIA,10,4,6,295,680,6,1,1,100.0,0,0,0.0,2,33.3,3,50.0,1,16.7,2,33.3,0,0.0
Kyrie Irving,BKN,4,0,4,170,370,6,1,1,100.0,2,2,100.0,4,66.7,2,33.3,1,16.7,2,33.3,1,16.7
Landry Shamet,PHX,12,6,6,192,217,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Larry Nance Jr.,NOP,6,2,4,130,217,26,12,17,70.6,4,4,100.0,28,107.7,7,26.9,3,11.5,0,0.0,2,7.7
Luca Vildoza,MIL,7,3,4,17,41,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Luka Doncic,DAL,15,7,8,552,1372,12,3,6,50.0,2,2,100.0,8,66.7,4,33.3,1,8.3,0,0.0,1,8.3
Luke Kornet,BOS,9,4,5,19,22,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Malachi Flynn,TOR,6,2,4,36,53,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Malik Beasley,MIN,6,2,4,119,149,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0
Malik Fitts,BOS,9,6,3,16,16,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Marcus Smart,BOS,21,12,9,760,1639,34,13,22,59.1,2,4,50.0,28,82.4,9,26.5,1,2.9,0,0.0,2,5.9
Markieff Morris,MIA,2,1,1,3,5,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Marquese Chriss,DAL,8,4,4,30,29,6,2,4,50.0,1,2,50.0,5,83.3,1,16.7,0,0.0,0,0.0,0,0.0
Matisse Thybulle,PHI,9,4,5,137,97,7,4,5,80.0,0,2,0.0,9,128.6,1,14.3,0,0.0,0,0.0,1,14.3
Max Strus,MIA,18,11,7,523,749,19,10,11,90.9,0,0,0.0,20,105.3,6,31.6,1,5.3,1,5.3,0,0.0
Maxi Kleber,DAL,18,9,9,457,678,32,12,15,80.0,6,7,85.7,30,93.8,12,37.5,1,3.1,2,6.3,2,6.3
Mikal Bridges,PHX,13,7,6,500,546,33,14,20,70.0,4,4,100.0,32,97.0,8,24.2,1,3.0,2,6.1,1,3.0
Mike Conley,UTA,6,2,4,174,355,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Monte Morris,DEN,5,1,4,156,360,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moses Moody,GSW,13,9,4,105,83,5,1,2,50.0,2,2,100.0,4,80.0,2,40.0,1,20.0,0,0.0,1,20.0
Naji Marshall,NOP,6,2,4,56,79,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Naz Reid,MIN,5,2,3,54,97,10,4,7,57.1,4,4,100.0,13,130.0,0,0.0,0,0.0,0,0.0,2,20.0
Nemanja Bjelica,GSW,15,10,5,150,287,22,9,12,75.0,2,2,100.0,20,90.9,8,36.4,3,13.6,1,4.5,1,4.5
Nic Claxton,BKN,4,0,4,98,123,32,16,21,76.2,1,4,25.0,33,103.1,7,21.9,2,6.3,0,0.0,2,6.3
Nickeil Alexander-Walker,UTA,1,0,1,5,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nik Stauskas,BOS,13,8,5,24,52,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nikola Jokic,DEN,5,1,4,171,541,46,18,28,64.3,4,6,66.7,40,87.0,10,21.7,1,2.2,4,8.7,3,6.5
Nikola Vucevic,CHI,5,1,4,181,377,31,9,17,52.9,1,2,50.0,20,64.5,13,41.9,1,3.2,0,0.0,1,3.2
O.G. Anunoby,TOR,6,2,4,217,272,21,5,7,71.4,0,0,0.0,10,47.6,10,47.6,2,9.5,2,9.5,0,0.0
Omer Yurtseven,MIA,9,5,4,38,48,9,7,9,77.8,0,0,0.0,14,155.6,0,0.0,0,0.0,0,0.0,0,0.0
Onyeka Okongwu,ATL,5,1,4,108,93,18,5,9,55.6,6,8,75.0,17,94.4,3,16.7,0,0.0,1,5.6,4,22.2
Otto Porter Jr.,GSW,19,14,5,371,538,30,8,11,72.7,4,4,100.0,20,66.7,13,43.3,3,10.0,0,0.0,2,6.7
P.J. Tucker,MIA,18,11,7,509,602,47,13,22,59.1,0,2,0.0,26,55.3,23,48.9,2,4.3,0,0.0,1,2.1
Pascal Siakam,TOR,6,2,4,260,556,15,5,10,50.0,2,2,100.0,12,80.0,3,20.0,0,0.0,1,6.7,1,6.7
Pat Connaughton,MIL,12,7,5,318,362,3,3,3,100.0,0,0,0.0,6,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Patrick Beverley,MIN,6,2,4,194,349,6,3,3,100.0,0,0,0.0,6,100.0,2,33.3,1,16.7,1,16.7,0,0.0
Patrick Williams,CHI,5,1,4,153,219,9,4,6,66.7,0,0,0.0,9,100.0,3,33.3,1,11.1,0,0.0,0,0.0
Patty Mills,BKN,4,0,4,72,49,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Paul Millsap,PHI,1,0,1,6,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Paul Reed,PHI,12,6,6,140,168,36,10,19,52.6,1,2,50.0,22,61.1,9,25.0,3,8.3,6,16.7,0,0.0
Payton Pritchard,BOS,24,14,10,309,514,12,4,5,80.0,0,0,0.0,8,66.7,7,58.3,2,16.7,0,0.0,0,0.0
Precious Achiuwa,TOR,6,2,4,167,193,25,10,16,62.5,1,4,25.0,21,84.0,4,16.0,1,4.0,2,8.0,2,8.0
Rayjon Tucker,MIL,8,4,4,19,20,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Reggie Bullock,DAL,18,9,9,707,744,11,3,7,42.9,0,0,0.0,6,54.5,3,27.3,0,0.0,0,0.0,0,0.0
Robert Williams III,BOS,17,9,8,394,422,104,46,67,68.7,17,18,94.4,111,106.7,21,20.2,2,1.9,4,3.8,8,7.7
Royce O'Neale,UTA,6,2,4,188,317,6,1,1,100.0,0,0,0.0,2,33.3,5,83.3,1,16.7,0,0.0,0,0.0
Rudy Gobert,UTA,6,2,4,197,165,65,20,30,66.7,20,30,66.7,62,95.4,9,13.8,0,0.0,4,6.2,12,18.5
Sam Hauser,BOS,7,3,4,15,19,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Scottie Barnes,TOR,4,2,2,133,271,14,4,4,100.0,4,4,100.0,13,92.9,7,50.0,1,7.1,1,7.1,2,14.3
Serge Ibaka,MIL,6,4,2,22,43,5,3,5,60.0,0,0,0.0,6,120.0,0,0.0,0,0.0,0,0.0,0,0.0
Seth Curry,BKN,4,0,4,132,146,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Shake Milton,PHI,12,6,6,158,245,7,0,3,0.0,1,2,50.0,1,14.3,2,28.6,2,28.6,0,0.0,0,0.0
Skylar Mays,ATL,2,0,2,9,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Spencer Dinwiddie,DAL,18,9,9,501,841,8,1,2,50.0,1,2,50.0,3,37.5,4,50.0,0,0.0,1,12.5,1,12.5
Stephen Curry,GSW,22,16,6,764,1629,15,5,9,55.6,2,2,100.0,13,86.7,5,33.3,1,6.7,0,0.0,1,6.7
Sterling Brown,DAL,9,5,4,26,48,2,2,2,100.0,0,0,0.0,5,250.0,0,0.0,0,0.0,0,0.0,0,0.0
Steven Adams,MEM,7,2,5,114,174,21,5,12,41.7,4,6,66.7,14,66.7,5,23.8,1,4.8,0,0.0,2,9.5
Svi Mykhailiuk,TOR,3,2,1,5,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taurean Prince,MIN,5,2,3,65,89,4,1,2,50.0,2,2,100.0,4,100.0,1,25.0,0,0.0,0,0.0,1,25.0
Thaddeus Young,TOR,6,2,4,87,125,12,5,6,83.3,0,0,0.0,10,83.3,4,33.3,1,8.3,1,8.3,0,0.0
