PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
David Roddy,MEM,22,20,16,40.6,25,58,43.1,44.0,35.0,24,50,48.0,5.6,1,8,12.5
Eric Gordon,PHX,34,19,19,25.7,33,57,57.9,57.9,24.3,33,54,61.1,1.4,0,3,0.0
Lonnie Walker IV,BKN,24,17,17,31.7,26,57,45.6,50.0,23.3,21,42,50.0,8.3,5,15,33.3
Kyle Anderson,MIN,30,20,18,50.0,25,56,44.6,44.6,48.2,25,54,46.3,1.8,0,2,0.0
Jabari Walker,POR,21,19,19,45.8,33,55,60.0,60.0,42.5,33,51,64.7,3.3,0,4,0.0
Jaden Ivey,DET,21,17,17,39.9,31,55,56.4,56.4,37.7,31,52,59.6,2.2,0,3,0.0
Josh Richardson,MIA,30,18,17,36.4,27,55,49.1,50.0,30.5,26,46,56.5,6.0,1,9,11.1
James Harden,LAC,34,15,15,35.5,25,55,45.5,49.1,23.9,21,37,56.8,11.6,4,18,22.2
Derrick White,BOS,29,17,16,31.8,25,54,46.3,49.1,24.1,22,41,53.7,7.6,3,13,23.1
Tre Jones,SAS,23,17,16,43.4,25,53,47.2,47.2,42.6,25,52,48.1,0.8,0,1,0.0
De'Anthony Melton,PHI,25,20,18,25.5,24,53,45.3,50.0,21.2,19,44,43.2,4.3,5,9,55.6
Malik Monk,SAC,25,18,16,27.5,23,53,43.4,46.2,22.3,20,43,46.5,5.2,3,10,30.0
Gary Trent Jr.,TOR,24,17,16,31.0,20,53,37.7,39.6,25.7,18,44,40.9,5.3,2,9,22.2
Day'Ron Sharpe,BKN,22,20,19,57.1,32,52,61.5,61.5,57.1,32,52,61.5,0.0,0,0,-
Drew Eubanks,PHX,26,20,18,58.4,32,52,61.5,61.5,58.4,32,52,61.5,0.0,0,0,-
Dereck Lively II,DAL,19,18,16,53.1,39,51,76.5,76.5,53.1,39,51,76.5,0.0,0,0,-
