PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Gary Payton II,GSW,2,47,6,2,5,40.0,2,5,40.0,60.0
Georges Niang,PHI,4,62,6,2,5,40.0,2,5,40.0,60.0
Giannis Antetokounmpo,MIL,1,11,0,0,0,-,-,-,-,-
Goran Dragic,MIL,2,7,0,0,0,-,0,0,-,-
Grant Williams,BOS,1,18,9,3,3,100,3,3,100,150.0
Grayson Allen,MIL,3,90,27,9,17,52.9,9,17,52.9,79.4
Harrison Barnes,SAC,3,105,6,2,9,22.2,2,9,22.2,33.3
Haywood Highsmith,MIA,2,16,0,0,1,0.0,0,1,0.0,0.0
Immanuel Quickley,NYK,3,70,6,2,6,33.3,2,5,40.0,50.0
Isaac Okoro,CLE,3,38,3,1,5,20.0,1,5,20.0,30.0
Isaiah Hartenstein,NYK,3,66,4,2,3,66.7,-,-,-,66.7
Ish Smith,DEN,1,4,0,0,0,-,-,-,-,-
Ish Wainright,PHX,2,7,0,0,2,0.0,0,2,0.0,0.0
Ivica Zubac,LAC,4,106,0,0,0,-,-,-,-,-
Ja Morant,MEM,2,72,9,3,5,60.0,3,5,60.0,90.0
JaMychal Green,GSW,2,11,0,0,2,0.0,0,2,0.0,0.0
Jaden Springer,PHI,1,2,0,0,0,-,-,-,-,-
Jae Crowder,MIL,3,41,2,1,7,14.3,0,6,0.0,14.3
Jalen Brunson,NYK,3,104,0,0,2,0.0,0,2,0.0,0.0
Jalen Johnson,ATL,3,31,8,3,9,33.3,2,6,33.3,44.4
Jalen McDaniels,PHI,4,66,3,1,3,33.3,1,3,33.3,50.0
Jamal Murray,DEN,3,110,9,3,8,37.5,3,8,37.5,56.3
James Harden,PHI,4,144,12,4,8,50.0,4,8,50.0,75.0
Jaren Jackson Jr.,MEM,3,109,12,4,10,40.0,4,9,44.4,60.0
Jarred Vanderbilt,LAL,3,66,2,1,4,25.0,0,3,0.0,25.0
Jarrett Allen,CLE,3,115,2,1,1,100,-,-,-,100
Jason Preston,LAC,1,1,0,0,0,-,-,-,-,-
Jaylen Brown,BOS,3,106,9,4,12,33.3,1,6,16.7,37.5
Jaylen Nowell,MIN,3,50,6,2,5,40.0,2,4,50.0,60.0
Jayson Tatum,BOS,3,120,17,6,14,42.9,5,12,41.7,60.7
Jeff Green,DEN,3,76,3,1,8,12.5,1,7,14.3,18.8
Jevon Carter,MIL,3,49,3,1,6,16.7,1,6,16.7,25.0
Jimmy Butler,MIA,3,99,3,1,1,100,1,1,100,150.0
Jock Landale,PHX,1,8,0,0,1,0.0,-,-,-,0.0
Joe Harris,BKN,4,44,3,1,11,9.1,1,11,9.1,13.6
Joe Ingles,MIL,3,63,21,7,14,50.0,7,14,50.0,75.0
Joel Embiid,PHI,3,108,7,3,8,37.5,1,5,20.0,43.8
John Collins,ATL,3,79,11,4,14,28.6,3,13,23.1,39.3
John Konchar,MEM,3,24,0,0,2,0.0,0,2,0.0,0.0
Jonathan Kuminga,GSW,3,27,0,0,3,0.0,0,3,0.0,0.0
Jordan McLaughlin,MIN,1,10,0,0,1,0.0,0,1,0.0,0.0
Jordan Poole,GSW,3,65,3,1,8,12.5,1,8,12.5,18.8
Josh Hart,NYK,3,88,9,3,4,75.0,3,4,75.0,112.5
Josh Minott,MIN,1,6,0,0,1,0.0,0,1,0.0,0.0
Josh Okogie,PHX,4,67,3,1,5,20.0,1,5,20.0,30.0
Jrue Holiday,MIL,3,104,12,4,8,50.0,4,8,50.0,75.0
Julius Randle,NYK,3,100,18,6,17,35.3,6,17,35.3,52.9
Karl-Anthony Towns,MIN,3,105,15,5,16,31.3,5,14,35.7,46.9
Kawhi Leonard,LAC,2,80,11,4,6,66.7,3,4,75.0,91.7
Keegan Murray,SAC,3,54,3,1,8,12.5,1,8,12.5,18.8
Kenneth Lofton Jr.,MEM,2,1,0,0,0,-,-,-,-,-
Kentavious Caldwell-Pope,DEN,3,99,20,7,12,58.3,6,11,54.5,83.3
Kessler Edwards,SAC,2,3,0,0,0,-,-,-,-,-
Kevin Durant,PHX,4,175,18,7,16,43.8,4,11,36.4,56.3
Kevin Huerter,SAC,3,89,9,3,14,21.4,3,14,21.4,32.1
Kevin Love,MIA,3,54,18,6,13,46.2,6,13,46.2,69.2
Kevon Looney,GSW,3,86,0,0,0,-,-,-,-,-
Khris Middleton,MIL,3,95,10,4,10,40.0,2,8,25.0,50.0
Klay Thompson,GSW,3,109,31,11,26,42.3,9,23,39.1,59.6
Kyle Anderson,MIN,3,81,7,3,6,50.0,1,4,25.0,58.3
Kyle Lowry,MIA,3,64,0,0,2,0.0,0,2,0.0,0.0
Lamar Stevens,CLE,1,4,0,0,0,-,-,-,-,-
Landry Shamet,PHX,4,46,0,0,3,0.0,0,3,0.0,0.0
LeBron James,LAL,3,109,11,4,15,26.7,3,13,23.1,36.7
Lonnie Walker IV,LAL,2,1,0,0,0,-,-,-,-,-
Luke Kennard,MEM,3,75,9,3,7,42.9,3,6,50.0,64.3
Luke Kornet,BOS,1,1,0,0,0,-,-,-,-,-
Malcolm Brogdon,BOS,3,78,3,1,6,16.7,1,6,16.7,25.0
Malik Beasley,LAL,3,36,3,1,4,25.0,1,4,25.0,37.5
Malik Monk,SAC,3,85,6,2,9,22.2,2,9,22.2,33.3
MarJon Beauchamp,MIL,2,5,0,0,0,-,0,0,-,-
Marcus Morris Sr.,LAC,2,45,6,2,10,20.0,2,10,20.0,30.0
Marcus Smart,BOS,3,97,24,8,16,50.0,8,15,53.3,75.0
Mason Plumlee,LAC,4,67,0,0,0,-,-,-,-,-
Max Christie,LAL,2,1,0,0,0,-,-,-,-,-
Max Strus,MIA,3,93,15,5,10,50.0,5,10,50.0,75.0
Meyers Leonard,MIL,2,5,0,0,0,-,-,-,-,-
Michael Porter Jr.,DEN,3,99,27,9,19,47.4,9,17,52.9,71.1
Mikal Bridges,BKN,4,157,15,5,18,27.8,5,16,31.3,41.7
Mike Conley,MIN,3,102,3,1,2,50.0,1,2,50.0,75.0
Miles McBride,NYK,2,6,0,0,0,-,-,-,-,-
Mitchell Robinson,NYK,3,78,0,0,0,-,-,-,-,-
Mo Bamba,LAL,2,1,0,0,0,-,-,-,-,-
Montrezl Harrell,PHI,2,7,0,0,0,-,-,-,-,-
Moses Moody,GSW,2,24,6,2,6,33.3,2,6,33.3,50.0
Nathan Knight,MIN,1,5,0,0,1,0.0,0,1,0.0,0.0
Nic Claxton,BKN,4,117,2,1,1,100,-,-,-,100
Nickeil Alexander-Walker,MIN,3,72,15,5,12,41.7,5,10,50.0,62.5
Nicolas Batum,LAC,4,65,3,1,9,11.1,1,9,11.1,16.7
Nikola Jokic,DEN,3,104,6,2,4,50.0,2,3,66.7,75.0
Norman Powell,LAC,4,128,18,6,15,40.0,6,15,40.0,60.0
Obi Toppin,NYK,3,44,9,3,9,33.3,3,9,33.3,50.0
Omer Yurtseven,MIA,1,3,0,0,0,-,-,-,-,-
Onyeka Okongwu,ATL,3,66,0,0,1,0.0,-,-,-,0.0
P.J. Tucker,PHI,4,106,9,3,16,18.8,3,15,20.0,28.1
PJ Dozier,SAC,1,3,0,0,1,0.0,0,1,0.0,0.0
Pat Connaughton,MIL,2,51,24,8,15,53.3,8,15,53.3,80.0
Patrick Baldwin Jr.,GSW,1,3,0,0,0,-,-,-,-,-
Patty Mills,BKN,1,5,0,0,2,0.0,0,2,0.0,0.0
Paul Reed,PHI,4,66,0,0,0,-,-,-,-,-
Peyton Watson,DEN,1,4,0,0,1,0.0,0,1,0.0,0.0
Quentin Grimes,NYK,3,62,3,1,8,12.5,1,8,12.5,18.8
RJ Barrett,NYK,3,95,12,4,14,28.6,4,14,28.6,42.9
Raul Neto,CLE,2,7,0,0,1,0.0,0,1,0.0,0.0
Reggie Jackson,DEN,1,4,0,0,0,-,-,-,-,-
Ricky Rubio,CLE,2,11,0,0,0,-,-,-,-,-
Robert Covington,LAC,2,12,0,0,2,0.0,0,2,0.0,0.0
Robert Williams III,BOS,3,64,0,0,0,-,-,-,-,-
Robin Lopez,CLE,2,6,0,0,0,-,-,-,-,-
Royce O'Neale,BKN,4,118,12,4,19,21.1,4,18,22.2,31.6
Rudy Gobert,MIN,3,97,0,0,0,-,-,-,-,-
Rui Hachimura,LAL,3,84,29,10,13,76.9,9,12,75.0,111.5
Russell Westbrook,LAC,4,153,21,7,15,46.7,7,15,46.7,70.0
Saddiq Bey,ATL,3,65,12,4,10,40.0,4,10,40.0,60.0
Sam Hauser,BOS,3,35,3,1,4,25.0,1,4,25.0,37.5
Santi Aldama,MEM,3,50,12,4,8,50.0,4,8,50.0,75.0
Seth Curry,BKN,3,58,9,3,9,33.3,3,9,33.3,50.0
Shake Milton,PHI,2,7,0,0,0,-,-,-,-,-
Shaquille Harrison,LAL,2,1,0,0,0,-,-,-,-,-
Spencer Dinwiddie,BKN,4,159,6,2,6,33.3,2,6,33.3,50.0
Stephen Curry,GSW,3,115,27,9,14,64.3,9,13,69.2,96.4
T.J. Warren,PHX,2,6,0,0,0,-,-,-,-,-
Taurean Prince,MIN,3,54,9,3,9,33.3,3,9,33.3,50.0
Terance Mann,LAC,4,106,15,5,9,55.6,5,9,55.6,83.3
Terence Davis,SAC,2,13,3,1,4,25.0,1,4,25.0,37.5
Terrence Ross,PHX,1,4,0,0,0,-,-,-,-,-
Thanasis Antetokounmpo,MIL,2,5,0,0,0,-,-,-,-,-
Tobias Harris,PHI,4,135,21,7,11,63.6,7,11,63.6,95.5
Torrey Craig,PHX,4,111,33,12,21,57.1,9,17,52.9,78.6
Trae Young,ATL,3,105,0,0,1,0.0,0,1,0.0,0.0
Trey Lyles,SAC,3,45,12,4,12,33.3,4,12,33.3,50.0
Troy Brown Jr.,LAL,3,45,3,1,5,20.0,1,5,20.0,30.0
Tyler Herro,MIA,1,19,6,2,3,66.7,2,3,66.7,100
Tyrese Maxey,PHI,4,148,33,11,16,68.8,11,16,68.8,103.1
Tyus Jones,MEM,3,78,3,1,12,8.3,1,12,8.3,12.5
Udonis Haslem,MIA,1,2,0,0,2,0.0,0,1,0.0,0.0
Victor Oladipo,MIA,2,45,6,2,5,40.0,2,5,40.0,60.0
Vlatko Cancar,DEN,1,2,0,0,1,0.0,0,1,0.0,0.0
Wendell Moore Jr.,MIN,1,2,0,0,0,-,-,-,-,-
Wenyen Gabriel,LAL,3,2,0,0,0,-,-,-,-,-
Wesley Matthews,MIL,1,18,3,1,2,50.0,1,2,50.0,75.0
Xavier Tillman,MEM,3,93,3,1,1,100,1,1,100,150.0
Yuta Watanabe,BKN,1,5,3,1,2,50.0,1,2,50.0,75.0
Zeke Nnaji,DEN,1,4,3,1,1,100,1,1,100,150.0
Ziaire Williams,MEM,2,1,0,0,0,-,-,-,-,-
