PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
Jrue Holiday,MIL,5,1,4,38.1,17.8,6.4,60.0,3.2,40.0,7.6,32.6,1.6,100.0,0.0,0.0,0.2,0.0,47.1
Julius Randle,NYK,8,5,3,32.2,15.9,4.0,46.4,3.8,30.3,3.3,28.6,1.9,50.0,1.1,33.3,1.0,100.0,42.5
Justin Champagnie,BOS,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl-Anthony Towns,MIN,5,1,4,36.0,18.2,7.4,60.9,3.6,23.1,0.8,28.6,2.6,57.1,2.2,50.0,1.0,66.7,50.0
Kawhi Leonard,LAC,2,1,1,40.2,34.5,10.5,53.3,7.5,75.0,14.5,50.0,2.0,25.0,1.0,50.0,6.5,66.7,61.4
Keegan Murray,SAC,7,3,4,27.7,9.7,0.9,50.0,3.9,34.6,3.3,66.7,1.1,42.9,0.0,0.0,0.3,100.0,55.2
Kenneth Lofton Jr.,MEM,4,2,2,3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,50.0,0.0,0.0,0.0,0.0,37.5
Kentavious Caldwell-Pope,DEN,9,6,3,33.6,9.8,0.4,40.0,4.9,45.5,1.7,43.8,1.0,60.0,0.0,0.0,0.3,50.0,58.7
Kessler Edwards,SAC,6,2,4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Durant,PHX,9,6,3,43.0,30.0,9.2,51.0,5.7,48.8,10.0,41.2,2.2,70.0,1.0,30.0,1.8,66.7,53.9
Kevin Huerter,SAC,7,3,4,26.2,9.1,2.4,57.1,2.6,20.0,2.9,37.5,0.9,50.0,0.0,0.0,0.9,60.0,40.3
Kevin Love,MIA,9,7,2,21.7,8.7,0.2,100.0,6.2,39.6,0.3,16.7,0.4,20.0,0.0,0.0,0.0,0.0,53.3
Kevon Looney,GSW,11,5,6,25.4,6.5,0.5,100.0,0.0,0.0,0.0,0.0,4.5,57.9,0.0,0.0,0.7,44.4,56.4
Khris Middleton,MIL,5,1,4,34.6,23.8,5.8,50.0,3.2,42.9,10.6,48.9,1.6,60.0,1.2,100.0,0.6,50.0,54.1
Klay Thompson,GSW,11,5,6,35.7,20.3,1.8,36.4,8.8,41.0,7.2,41.3,1.3,75.0,0.0,0.0,0.8,50.0,54.3
Kyle Anderson,MIN,4,1,3,25.9,8.5,1.0,25.0,2.5,44.4,0.5,50.0,2.0,75.0,0.0,0.0,1.0,50.0,53.3
Kyle Lowry,MIA,9,7,2,24.2,10.1,2.9,50.0,1.0,25.0,5.2,44.2,0.2,0.0,0.2,100.0,0.2,0.0,53.6
Lamar Stevens,CLE,2,0,2,4.4,2.5,0.0,0.0,1.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Landry Shamet,PHX,8,6,2,15.5,4.1,0.8,50.0,2.3,50.0,0.6,25.0,0.0,0.0,0.0,0.0,0.3,100.0,55.4
LeBron James,LAL,10,7,3,36.6,22.6,3.9,58.6,4.4,30.2,3.6,32.7,4.4,70.8,2.0,56.3,1.4,75.0,51.4
Lonnie Walker IV,LAL,7,4,3,11.2,6.3,0.9,100.0,1.6,33.3,3.0,64.3,0.3,100.0,0.0,0.0,0.0,0.0,66.7
Luke Kennard,MEM,5,2,3,21.3,7.2,0.8,100.0,3.0,45.5,2.6,55.6,0.8,66.7,0.0,0.0,0.8,50.0,69.6
Luke Kornet,BOS,2,2,0,2.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,100.0
Malcolm Brogdon,BOS,10,6,4,27.6,15.7,5.0,41.0,3.9,46.4,5.8,41.4,1.0,66.7,0.0,0.0,0.0,0.0,54.9
Malik Beasley,LAL,8,5,3,10.4,3.4,0.5,25.0,1.5,26.7,0.6,22.2,0.5,100.0,0.0,0.0,0.0,0.0,35.0
Malik Monk,SAC,7,3,4,29.3,19.0,8.6,52.5,3.0,30.4,2.6,25.0,0.9,100.0,0.0,0.0,0.0,0.0,47.8
MarJon Beauchamp,MIL,2,1,1,2.6,2.5,0.0,0.0,0.0,0.0,2.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
Marcus Morris Sr.,LAC,3,0,3,22.8,8.7,1.3,100.0,2.0,20.0,4.0,37.5,1.3,100.0,1.3,33.3,0.0,0.0,37.9
Marcus Smart,BOS,10,6,4,32.5,16.3,4.4,60.6,5.7,38.0,1.8,31.8,1.9,61.5,0.4,100.0,0.6,50.0,56.0
Mason Plumlee,LAC,5,1,4,18.2,8.2,1.0,100.0,0.0,0.0,0.0,0.0,6.0,83.3,0.0,0.0,0.2,0.0,87.5
Max Christie,LAL,6,3,3,4.5,2.2,1.0,100.0,0.5,33.3,0.3,50.0,0.3,100.0,0.0,0.0,0.0,0.0,68.8
Max Strus,MIA,9,7,2,29.2,10.2,1.6,60.0,6.0,43.9,0.6,20.0,0.6,100.0,0.0,0.0,0.4,100.0,63.0
