PLAYER,TEAM,GP,W,L,MIN,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance
Paul Reed,PHI,6,5,1,120,25,6,24.0,40,62.5,3,67.6,4.5
Payton Pritchard,BOS,1,1,0,12,2,1,50.0,4,50.0,0,50.0,7.0
Peyton Watson,DEN,2,2,0,7,2,0,0.0,4,50.0,1,66.7,1.0
Quentin Grimes,NYK,4,3,1,88,11,1,9.1,14,78.6,1,84.6,7.4
RJ Barrett,NYK,7,5,2,247,28,5,17.9,41,68.3,2,71.8,6.3
Ricky Rubio,CLE,3,0,3,17,4,0,0.0,7,57.1,0,57.1,5.8
Robert Covington,LAC,2,0,2,12,2,0,0.0,3,66.7,0,66.7,6.1
Robert Williams III,BOS,8,5,3,178,47,16,34.0,77,61.0,5,65.3,4.9
Robin Lopez,CLE,1,0,1,4,0,0,0.0,2,0.0,1,0.0,0.0
Royce O'Neale,BKN,4,0,4,118,13,4,30.8,22,59.1,1,61.9,4.8
Rudy Gobert,MIN,5,1,4,177,43,16,37.2,70,61.4,6,67.2,3.1
Rui Hachimura,LAL,8,5,3,187,30,5,16.7,46,65.2,4,71.4,5.9
Russell Westbrook,LAC,5,1,4,192,29,7,24.1,43,67.4,2,70.7,7.7
Saddiq Bey,ATL,6,2,4,133,17,3,17.6,28,60.7,1,63.0,9.7
Sam Hauser,BOS,5,3,2,59,8,6,75.0,15,53.3,2,61.5,5.4
Santi Aldama,MEM,6,2,4,101,19,4,21.1,33,57.6,3,63.3,5.9
Seth Curry,BKN,1,0,1,22,3,0,0.0,5,60.0,1,75.0,8.5
Shake Milton,PHI,2,1,1,13,3,2,66.7,3,100.0,0,100.0,7.5
Shaquille Harrison,LAL,2,0,2,11,2,0,0.0,3,66.7,0,66.7,10.0
Spencer Dinwiddie,BKN,4,0,4,159,12,1,8.3,22,54.5,0,54.5,12.6
Stephen Curry,GSW,9,5,4,341,41,8,19.5,76,53.9,8,60.3,8.2
Taurean Prince,MIN,3,1,2,56,4,1,25.0,5,80.0,1,100.0,5.1
Terance Mann,LAC,5,1,4,133,9,2,22.2,18,50.0,2,56.3,6.1
Terence Davis,SAC,3,1,2,56,7,1,14.3,15,46.7,1,50.0,6.7
Terrence Ross,PHX,2,0,2,9,2,0,0.0,2,100.0,0,100.0,9.8
Tobias Harris,PHI,6,5,1,209,36,11,30.6,52,69.2,4,75.0,4.5
Torrey Craig,PHX,7,4,3,163,17,1,5.9,30,56.7,1,58.6,5.7
Trae Young,ATL,6,2,4,230,17,2,11.8,27,63.0,1,65.4,11.3
Trey Lyles,SAC,7,3,4,118,31,7,22.6,40,77.5,3,83.8,5.5
Tristan Thompson,LAL,1,0,1,12,3,1,33.3,5,60.0,0,60.0,3.2
Troy Brown Jr.,LAL,6,4,2,88,16,2,12.5,28,57.1,4,66.7,5.8
Tyler Herro,MIA,1,1,0,19,2,0,0.0,5,40.0,1,50.0,8.9
Tyrese Maxey,PHI,6,5,1,214,21,0,0.0,32,65.6,2,70.0,10.7
Tyus Jones,MEM,6,2,4,120,15,2,13.3,24,62.5,1,65.2,9.5
Udonis Haslem,MIA,1,1,0,2,1,1,100.0,1,100.0,0,100.0,4.5
Victor Oladipo,MIA,2,1,1,45,6,0,0.0,11,54.5,1,60.0,6.3
Vlatko Cancar,DEN,2,2,0,5,2,1,50.0,2,100.0,0,100.0,4.8
Wenyen Gabriel,LAL,3,2,1,23,1,1,100.0,2,50.0,0,50.0,0.7
Wesley Matthews,MIL,1,0,1,18,2,0,0.0,2,100.0,0,100.0,14.7
Xavier Tillman,MEM,6,2,4,183,31,7,22.6,58,53.4,5,58.5,6.6
Yuta Watanabe,BKN,1,0,1,5,1,0,0.0,1,100.0,0,100.0,9.2
Zeke Nnaji,DEN,1,1,0,4,1,0,0.0,1,100.0,0,100.0,7.4
Ziaire Williams,MEM,1,0,1,10,2,0,0.0,2,100.0,0,100.0,2.6
