Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
1989,Eastern,Round 1,Detroit Pistons (1),-2000.0,Boston Celtics (8),1500.0,Detroit Pistons,3-0,BOS
1988,Eastern,Conf Finals,Boston Celtics (1),-250.0,Detroit Pistons (2),200.0,Detroit Pistons,4-2,BOS
1988,Eastern,Conf Semis,Boston Celtics (1),-500.0,Atlanta Hawks (4),300.0,Boston Celtics,4-3,BOS
1988,Eastern,Round 1,Boston Celtics (1),-1200.0,New York Knicks (8),800.0,Boston Celtics,3-1,BOS
1987,,NBA Finals,Los Angeles Lakers (1),-600.0,Boston Celtics (1),400.0,Los Angeles Lakers,4-2,BOS
1987,Eastern,Conf Finals,Boston Celtics (1),,Detroit Pistons (3),,Boston Celtics,4-3,BOS
1987,Eastern,Conf Semis,Boston Celtics (1),,Milwaukee Bucks (4),,Boston Celtics,4-3,BOS
1987,Eastern,Round 1,Boston Celtics (1),,Chicago Bulls (8),,Boston Celtics,3-0,BOS
1986,,NBA Finals,Boston Celtics (1),-700.0,Houston Rockets (2),500.0,Boston Celtics,4-2,BOS
1986,Eastern,Conf Finals,Boston Celtics (1),,Milwaukee Bucks (2),,Boston Celtics,4-0,BOS
1986,Eastern,Conf Semis,Boston Celtics (1),,Atlanta Hawks (4),,Boston Celtics,4-1,BOS
1986,Eastern,Round 1,Boston Celtics (1),,Chicago Bulls (8),,Boston Celtics,3-0,BOS
1985,,NBA Finals,Boston Celtics (1),170.0,Los Angeles Lakers (1),-200.0,Los Angeles Lakers,4-2,BOS
1985,Eastern,Conf Finals,Boston Celtics (1),,Philadelphia 76ers (3),,Boston Celtics,4-1,BOS
1985,Eastern,Conf Semis,Boston Celtics (1),,Detroit Pistons (4),,Boston Celtics,4-2,BOS
1985,Eastern,Round 1,Boston Celtics (1),,Cleveland Cavaliers (8),,Boston Celtics,3-1,BOS
1984,,NBA Finals,Boston Celtics (1),-120.0,Los Angeles Lakers (1),100.0,Boston Celtics,4-3,BOS
1984,Eastern,Conf Finals,Boston Celtics (1),,Milwaukee Bucks (2),,Boston Celtics,4-1,BOS
1984,Eastern,Conf Semis,Boston Celtics (1),,New York Knicks (5),,Boston Celtics,4-3,BOS
1984,Eastern,Round 1,Boston Celtics (1),,Washington Bullets (8),,Boston Celtics,3-1,BOS
1983,Eastern,Conf Semis,Boston Celtics (3),,Milwaukee Bucks (2),,Milwaukee Bucks,4-0,BOS
1983,Eastern,Round 1,Boston Celtics (3),,Atlanta Hawks (6),,Boston Celtics,2-1,BOS
1982,Eastern,Conf Finals,Boston Celtics (1),,Philadelphia 76ers (3),,Philadelphia 76ers,4-3,BOS
1982,Eastern,Conf Semis,Boston Celtics (1),,Washington Bullets (5),,Boston Celtics,4-1,BOS
1981,,NBA Finals,Boston Celtics (1),-260.0,Houston Rockets (6),220.0,Boston Celtics,4-2,BOS
1981,Eastern,Conf Finals,Boston Celtics (1),-160.0,Philadelphia 76ers (3),140.0,Boston Celtics,4-3,BOS
1981,Eastern,Conf Semis,Boston Celtics (1),-180.0,Chicago Bulls (5),160.0,Boston Celtics,4-0,BOS
1980,Eastern,Conf Finals,Boston Celtics (1),-300.0,Philadelphia 76ers (3),240.0,Philadelphia 76ers,4-1,BOS
1980,Eastern,Conf Semis,Boston Celtics (1),-700.0,Houston Rockets (4),500.0,Boston Celtics,4-0,BOS
1977,Eastern,Conf Semis,Philadelphia 76ers (1),,Boston Celtics (4),,Philadelphia 76ers,4-3,BOS
1977,Eastern,Round 1,Boston Celtics (4),,San Antonio Spurs (5),,Boston Celtics,2-0,BOS
1976,,NBA Finals,Boston Celtics (1),-200.0,Phoenix Suns (3),170.0,Boston Celtics,4-2,BOS
1976,Eastern,Conf Finals,Boston Celtics (1),-250.0,Cleveland Cavaliers (2),200.0,Boston Celtics,4-2,BOS
1976,Eastern,Conf Semis,Boston Celtics (1),,Buffalo Braves (5),,Boston Celtics,4-2,BOS
1975,Eastern,Conf Finals,Boston Celtics (1),-180.0,Washington Bullets (2),160.0,Washington Bullets,4-2,BOS
1975,Eastern,Conf Semis,Boston Celtics (1),,Houston Rockets (4),,Boston Celtics,4-1,BOS
1974,,NBA Finals,Milwaukee Bucks (1),,Boston Celtics (1),,Boston Celtics,4-3,BOS
1974,Eastern,Conf Finals,Boston Celtics (1),,New York Knicks (3),,Boston Celtics,4-1,BOS
1974,Eastern,Conf Semis,Boston Celtics (1),,Buffalo Braves (4),,Boston Celtics,4-2,BOS
1973,Eastern,Conf Finals,Boston Celtics (1),,New York Knicks (3),,New York Knicks,4-3,BOS
1973,Eastern,Conf Semis,Boston Celtics (1),,Atlanta Hawks (4),,Boston Celtics,4-2,BOS
1972,Eastern,Conf Finals,Boston Celtics (1),,New York Knicks (3),,New York Knicks,4-1,BOS
1972,Eastern,Conf Semis,Boston Celtics (1),,Atlanta Hawks (4),,Boston Celtics,4-2,BOS
1969,,NBA Finals,Los Angeles Lakers (1),-140.0,Boston Celtics (2),120.0,Boston Celtics,4-3,BOS
1969,Eastern,Conf Finals,New York Knicks (3),,Boston Celtics (4),,Boston Celtics,4-2,BOS
1969,Eastern,Conf Semis,Philadelphia 76ers (2),,Boston Celtics (4),,Boston Celtics,4-1,BOS
1968,,NBA Finals,Boston Celtics (2),,Los Angeles Lakers (2),,Boston Celtics,4-2,BOS
1968,Eastern,Conf Finals,Philadelphia 76ers (1),,Boston Celtics (2),,Boston Celtics,4-3,BOS
1968,Eastern,Conf Semis,Boston Celtics (2),,Detroit Pistons (4),,Boston Celtics,4-2,BOS
2023,Eastern,Round 1,Philadelphia 76ers (3),-1100.0,Brooklyn Nets (6),700.0,Philadelphia 76ers,4-0,BKN
2022,Eastern,Round 1,Boston Celtics (2),-130.0,Brooklyn Nets (7),110.0,Boston Celtics,4-0,BKN
2021,Eastern,Conf Semis,Brooklyn Nets (2),-180.0,Milwaukee Bucks (3),160.0,Milwaukee Bucks,4-3,BKN
2021,Eastern,Round 1,Brooklyn Nets (2),-1400.0,Boston Celtics (7),800.0,Brooklyn Nets,4-1,BKN
2020,Eastern,Round 1,Toronto Raptors (2),-2200.0,Brooklyn Nets (7),1315.0,Toronto Raptors,4-0,BKN
2019,Eastern,Round 1,Philadelphia 76ers (3),-600.0,Brooklyn Nets (6),450.0,Philadelphia 76ers,4-1,BKN
2015,Eastern,Round 1,Atlanta Hawks (1),-1350.0,Brooklyn Nets (8),900.0,Atlanta Hawks,4-2,BKN
2014,Eastern,Conf Semis,Miami Heat (2),-620.0,Brooklyn Nets (6),450.0,Miami Heat,4-1,BKN
2014,Eastern,Round 1,Toronto Raptors (3),110.0,Brooklyn Nets (6),-130.0,Brooklyn Nets,4-3,BKN
2013,Eastern,Round 1,Brooklyn Nets (4),-145.0,Chicago Bulls (5),125.0,Chicago Bulls,4-3,BKN
2007,Eastern,Conf Semis,Cleveland Cavaliers (2),-260.0,New Jersey Nets (6),220.0,Cleveland Cavaliers,4-2,BKN
2007,Eastern,Round 1,Toronto Raptors (3),-165.0,New Jersey Nets (6),145.0,New Jersey Nets,4-2,BKN
2006,Eastern,Conf Semis,Miami Heat (2),-190.0,New Jersey Nets (3),160.0,Miami Heat,4-1,BKN
2006,Eastern,Round 1,New Jersey Nets (3),-325.0,Indiana Pacers (6),275.0,New Jersey Nets,4-2,BKN
2005,Eastern,Round 1,Miami Heat (1),-1200.0,New Jersey Nets (8),800.0,Miami Heat,4-0,BKN
2004,Eastern,Conf Semis,Detroit Pistons (3),-180.0,New Jersey Nets (2),160.0,Detroit Pistons,4-3,BKN
2004,Eastern,Round 1,New Jersey Nets (2),-580.0,New York Knicks (7),500.0,New Jersey Nets,4-0,BKN
2003,,NBA Finals,San Antonio Spurs (1),-330.0,New Jersey Nets (2),260.0,San Antonio Spurs,4-2,BKN
2003,Eastern,Conf Finals,Detroit Pistons (1),250.0,New Jersey Nets (2),-300.0,New Jersey Nets,4-0,BKN
2003,Eastern,Conf Semis,New Jersey Nets (2),-380.0,Boston Celtics (6),320.0,New Jersey Nets,4-0,BKN
2003,Eastern,Round 1,New Jersey Nets (2),-280.0,Milwaukee Bucks (7),230.0,New Jersey Nets,4-2,BKN
2002,,NBA Finals,Los Angeles Lakers (3),-750.0,New Jersey Nets (1),550.0,Los Angeles Lakers,4-0,BKN
2002,Eastern,Conf Finals,New Jersey Nets (1),-135.0,Boston Celtics (3),115.0,New Jersey Nets,4-2,BKN
2002,Eastern,Conf Semis,New Jersey Nets (1),-160.0,Charlotte Hornets (4),140.0,New Jersey Nets,4-1,BKN
2002,Eastern,Round 1,New Jersey Nets (1),-400.0,Indiana Pacers (8),300.0,New Jersey Nets,3-2,BKN
1998,Eastern,Round 1,Chicago Bulls (1),-2500.0,New Jersey Nets (8),1800.0,Chicago Bulls,3-0,BKN
1994,Eastern,Round 1,New York Knicks (2),-360.0,New Jersey Nets (7),280.0,New York Knicks,3-1,BKN
1993,Eastern,Round 1,Cleveland Cavaliers (3),-700.0,New Jersey Nets (6),500.0,Cleveland Cavaliers,3-2,BKN
1992,Eastern,Round 1,Cleveland Cavaliers (3),-850.0,New Jersey Nets (6),550.0,Cleveland Cavaliers,3-1,BKN
1986,Eastern,Round 1,Milwaukee Bucks (2),,New Jersey Nets (7),,Milwaukee Bucks,3-0,BKN
1985,Eastern,Round 1,Detroit Pistons (4),,New Jersey Nets (5),,Detroit Pistons,3-0,BKN
1984,Eastern,Conf Semis,Milwaukee Bucks (2),,New Jersey Nets (6),,Milwaukee Bucks,4-2,BKN
1984,Eastern,Round 1,Philadelphia 76ers (3),,New Jersey Nets (6),,New Jersey Nets,3-2,BKN
1983,Eastern,Round 1,New Jersey Nets (4),,New York Knicks (5),,New York Knicks,2-0,BKN
1982,Eastern,Round 1,New Jersey Nets (4),,Washington Bullets (5),,Washington Bullets,2-0,BKN
1979,Eastern,Round 1,Philadelphia 76ers (3),-400.0,New Jersey Nets (6),300.0,Philadelphia 76ers,2-0,BKN
2016,Eastern,Round 1,Miami Heat (3),-170.0,Charlotte Hornets (6),150.0,Miami Heat,4-3,CHA
2014,Eastern,Round 1,Miami Heat (2),-2500.0,Charlotte Bobcats (7),1000.0,Miami Heat,4-0,CHA
2010,Eastern,Round 1,Orlando Magic (2),-1000.0,Charlotte Bobcats (7),650.0,Orlando Magic,4-0,CHA
2002,Eastern,Conf Semis,New Jersey Nets (1),-160.0,Charlotte Hornets (4),140.0,New Jersey Nets,4-1,CHA
2002,Eastern,Round 1,Charlotte Hornets (4),-300.0,Orlando Magic (5),250.0,Charlotte Hornets,3-1,CHA
2001,Eastern,Conf Semis,Milwaukee Bucks (2),-230.0,Charlotte Hornets (6),190.0,Milwaukee Bucks,4-3,CHA
2001,Eastern,Round 1,Miami Heat (3),-180.0,Charlotte Hornets (6),160.0,Charlotte Hornets,3-0,CHA
2000,Eastern,Round 1,Charlotte Hornets (4),-140.0,Philadelphia 76ers (5),120.0,Philadelphia 76ers,3-1,CHA
1998,Eastern,Conf Semis,Chicago Bulls (1),-2000.0,Charlotte Hornets (4),1400.0,Chicago Bulls,4-1,CHA
1998,Eastern,Round 1,Charlotte Hornets (4),-120.0,Atlanta Hawks (5),100.0,Charlotte Hornets,3-1,CHA
1997,Eastern,Round 1,New York Knicks (3),-250.0,Charlotte Hornets (6),200.0,New York Knicks,3-0,CHA
1995,Eastern,Round 1,Charlotte Hornets (4),280.0,Chicago Bulls (5),-360.0,Chicago Bulls,3-1,CHA
1993,Eastern,Conf Semis,New York Knicks (1),,Charlotte Hornets (5),,New York Knicks,4-1,CHA
1993,Eastern,Round 1,Boston Celtics (4),-165.0,Charlotte Hornets (5),145.0,Charlotte Hornets,3-1,CHA
2022,Eastern,Round 1,Milwaukee Bucks (3),-1100.0,Chicago Bulls (6),700.0,Milwaukee Bucks,4-1,CHI
2017,Eastern,Round 1,Boston Celtics (1),-470.0,Chicago Bulls (8),375.0,Boston Celtics,4-2,CHI
2015,Eastern,Conf Semis,Cleveland Cavaliers (2),-240.0,Chicago Bulls (3),200.0,Cleveland Cavaliers,4-2,CHI
2015,Eastern,Round 1,Chicago Bulls (3),-950.0,Milwaukee Bucks (6),700.0,Chicago Bulls,4-2,CHI
2014,Eastern,Round 1,Chicago Bulls (4),-180.0,Washington Wizards (5),160.0,Washington Wizards,4-1,CHI
2013,Eastern,Conf Semis,Miami Heat (1),-3000.0,Chicago Bulls (5),1100.0,Miami Heat,4-1,CHI
2013,Eastern,Round 1,Brooklyn Nets (4),-145.0,Chicago Bulls (5),125.0,Chicago Bulls,4-3,CHI
2012,Eastern,Round 1,Chicago Bulls (1),-1400.0,Philadelphia 76ers (8),900.0,Philadelphia 76ers,4-2,CHI
2011,Eastern,Conf Finals,Chicago Bulls (1),160.0,Miami Heat (2),-190.0,Miami Heat,4-1,CHI
2011,Eastern,Conf Semis,Chicago Bulls (1),-800.0,Atlanta Hawks (5),550.0,Chicago Bulls,4-2,CHI
2011,Eastern,Round 1,Chicago Bulls (1),-4000.0,Indiana Pacers (8),1200.0,Chicago Bulls,4-1,CHI
2010,Eastern,Round 1,Cleveland Cavaliers (1),-3000.0,Chicago Bulls (8),1400.0,Cleveland Cavaliers,4-1,CHI
2009,Eastern,Round 1,Boston Celtics (2),-545.0,Chicago Bulls (7),405.0,Boston Celtics,4-3,CHI
2007,Eastern,Conf Semis,Detroit Pistons (1),-175.0,Chicago Bulls (5),155.0,Detroit Pistons,4-2,CHI
2007,Eastern,Round 1,Chicago Bulls (5),-140.0,Miami Heat (4),120.0,Chicago Bulls,4-0,CHI
2006,Eastern,Round 1,Miami Heat (2),-850.0,Chicago Bulls (7),625.0,Miami Heat,4-2,CHI
2005,Eastern,Round 1,Chicago Bulls (4),-145.0,Washington Wizards (5),125.0,Washington Wizards,4-2,CHI
1998,,NBA Finals,Utah Jazz (1),105.0,Chicago Bulls (1),-125.0,Chicago Bulls,4-2,CHI
1998,Eastern,Conf Finals,Chicago Bulls (1),-600.0,Indiana Pacers (3),400.0,Chicago Bulls,4-3,CHI
1998,Eastern,Conf Semis,Chicago Bulls (1),-2000.0,Charlotte Hornets (4),1400.0,Chicago Bulls,4-1,CHI
1998,Eastern,Round 1,Chicago Bulls (1),-2500.0,New Jersey Nets (8),1800.0,Chicago Bulls,3-0,CHI
