PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj
Anthony Edwards,MIN,72,39,33,2466,2754,3441,275,49,568,714,329,10.0,11.9
Anthony Gill,WAS,44,15,29,463,365,353,27,3,43,64,29,7.4,7.9
Anthony Lamb,HOU,2,0,2,8,14,11,2,0,2,3,2,14.3,14.3
Armoni Brooks,TOR,54,20,34,844,905,881,62,10,126,161,80,6.9,8.8
Arnoldas Kulboka,CHA,2,2,0,5,2,2,0,0,0,0,0,0.0,0.0
Austin Reaves,LAL,61,28,33,1418,1483,1233,110,18,218,287,140,7.4,9.4
Austin Rivers,DEN,67,41,26,1480,1239,1289,90,13,180,230,103,7.3,8.3
Avery Bradley,LAL,62,27,35,1406,983,950,47,8,112,117,58,4.8,5.9
Ayo Dosunmu,CHI,77,42,35,2110,2451,2391,256,28,462,639,315,10.4,12.9
BJ Johnson,ORL,4,2,2,65,46,43,0,0,6,0,0,0.0,0.0
Bam Adebayo,MIA,56,36,20,1825,2514,2429,190,22,395,496,220,7.6,8.8
Ben McLemore,POR,64,20,44,1285,1072,1320,59,16,104,152,78,5.5,7.3
Bismack Biyombo,PHX,35,29,6,493,531,355,23,3,36,58,27,4.3,5.1
Blake Griffin,BKN,56,29,27,958,1283,1036,105,11,174,257,117,8.2,9.1
Boban Marjanovic,DAL,23,15,8,128,109,129,3,2,6,8,5,2.8,4.6
Bobby Portis,MIL,72,46,26,2028,2132,1483,86,16,150,231,106,4.0,5.0
Bogdan Bogdanovic,ATL,63,33,30,1849,1728,1914,194,25,312,474,234,11.2,13.5
Bojan Bogdanovic,UTA,69,45,24,2131,1573,2009,120,24,204,319,151,7.6,9.6
Bol Bol,ORL,14,5,9,81,73,70,5,0,12,13,5,6.8,6.8
Bones Hyland,DEN,69,41,28,1310,2198,2297,191,27,344,487,230,8.7,10.5
Brad Wanamaker,WAS,23,10,13,320,574,572,55,6,108,146,68,9.6,11.8
Bradley Beal,WAS,40,17,23,1439,1900,2484,265,34,481,673,322,13.9,16.9
Brandon Boston Jr.,LAC,50,26,24,740,674,705,50,12,89,126,66,7.4,9.8
Brandon Clarke,MEM,63,43,20,1224,1084,1007,84,11,139,203,96,7.7,8.9
Brandon Goodwin,CLE,36,19,17,502,1001,1115,91,14,190,248,119,9.1,11.9
Brandon Ingram,NOP,54,28,26,1834,2113,2819,301,57,580,787,381,14.2,18.0
Brandon Knight,DAL,5,2,3,65,105,127,8,2,20,21,10,7.6,9.5
Brandon Williams,POR,24,2,22,640,1010,1183,94,10,207,237,110,9.3,10.9
Braxton Key,DET,11,5,6,197,259,189,11,7,27,27,19,4.2,7.3
Brodric Thomas,BOS,12,8,4,60,65,71,11,1,15,24,11,16.9,16.9
Brook Lopez,MIL,13,10,3,298,159,220,6,1,13,14,7,3.8,4.4
Bruce Brown,BKN,72,37,35,1774,2007,1577,148,19,249,373,170,7.4,8.5
Bruno Fernando,HOU,30,15,15,153,194,134,7,1,12,16,8,3.6,4.1
Bryn Forbes,DEN,75,36,39,1286,1016,1447,75,11,172,195,96,7.4,9.4
Buddy Hield,IND,80,25,55,2469,2946,3134,225,43,413,579,296,7.6,10.0
CJ Elleby,POR,58,17,41,1174,986,831,87,8,160,217,102,8.8,10.3
CJ McCollum,NOP,62,28,34,2145,2623,3566,315,45,618,826,400,12.0,15.2
CJ Miles,BOS,1,1,0,2,1,1,0,0,1,0,0,0.0,0.0
Cade Cunningham,DET,63,20,43,2057,3355,3883,350,56,659,919,451,10.4,13.4
Caleb Martin,MIA,60,37,23,1372,1035,1007,64,8,130,171,75,6.2,7.2
Cam Reddish,NYK,49,20,29,1012,589,857,48,10,87,123,62,8.1,10.5
Cam Thomas,BKN,67,32,35,1176,1018,1126,78,9,143,187,91,7.7,8.9
Cameron Johnson,PHX,65,49,16,1695,1429,1383,98,12,209,236,113,6.9,7.9
Cameron McGriff,POR,3,0,3,46,38,23,3,0,6,10,4,7.9,10.5
Cameron Oliver,ATL,2,1,1,43,45,27,3,0,3,7,3,6.7,6.7
Cameron Payne,PHX,57,45,12,1260,2163,2385,278,37,508,721,337,12.9,15.6
Caris LeVert,CLE,58,23,35,1780,2497,3047,248,39,536,662,320,9.9,12.8
Carlik Jones,DEN,5,3,2,23,29,35,5,0,7,13,6,17.2,20.7
Carmelo Anthony,LAL,69,27,42,1793,1456,1601,68,15,108,172,86,4.7,5.9
Carsen Edwards,DET,4,1,3,79,116,135,14,1,17,35,15,12.1,12.9
Cassius Stanley,DET,9,3,6,155,110,115,4,1,11,14,7,3.6,6.4
Cassius Winston,WAS,7,1,6,39,76,80,7,2,18,19,11,9.2,14.5
Cat Barber,ATL,3,0,3,13,21,24,3,1,5,8,4,14.3,19.0
Cedi Osman,CLE,66,37,29,1462,1596,1876,135,24,243,356,173,8.5,10.8
Chandler Hutchison,PHX,6,4,2,22,17,14,2,0,4,3,1,11.8,5.9
Charles Bassey,PHI,23,11,12,168,186,124,7,2,16,18,9,3.8,4.8
Charlie Brown Jr.,PHI,22,16,6,178,110,76,6,0,11,15,6,5.5,5.5
Chaundee Brown Jr.,ATL,5,1,4,104,78,63,4,1,7,9,5,5.1,6.4
Cheick Diallo,DET,3,0,3,31,43,24,0,0,2,0,0,0.0,0.0
Chimezie Metu,SAC,59,22,37,1276,1387,1069,60,8,109,162,76,4.3,5.5
Chris Boucher,TOR,80,48,32,1690,1355,1107,25,4,67,67,32,1.8,2.4
Chris Chiozza,GSW,33,21,12,368,714,711,63,3,127,162,71,8.8,9.9
Chris Duarte,IND,55,21,34,1541,1859,1924,114,17,212,300,148,6.1,8.0
Chris Paul,PHX,64,52,12,2105,3644,3962,692,67,1253,1739,838,19.0,23.0
Chris Silva,MIA,10,7,3,91,118,52,7,0,12,18,7,5.9,5.9
Christian Wood,HOU,68,19,49,2094,2608,2219,155,25,303,423,204,5.9,7.8
Chuma Okeke,ORL,70,21,49,1749,1887,1426,118,13,240,304,139,6.3,7.4
Clint Capela,ATL,74,40,34,2042,2121,1224,92,15,157,235,112,4.3,5.3
Coby White,CHI,61,32,29,1675,1913,2176,176,37,285,423,227,9.2,11.9
Cody Martin,CHA,70,41,29,1846,1878,1514,178,18,295,465,211,9.5,11.2
Cody Zeller,POR,27,13,14,355,382,238,22,2,50,60,25,5.8,6.5
Cole Anthony,ORL,65,18,47,2059,3578,4153,369,43,724,946,438,10.3,12.2
Collin Sexton,CLE,11,7,4,316,309,453,23,6,65,59,31,7.4,10.0
Corey Kispert,WAS,77,31,46,1801,1433,1307,85,8,139,219,104,5.9,7.3
Cory Joseph,DET,65,19,46,1600,2739,2827,237,33,518,621,291,8.7,10.6
Craig Sword,WAS,3,1,2,19,14,16,1,0,4,3,1,7.1,7.1
D'Angelo Russell,MIN,65,39,26,2077,3573,4113,460,47,821,1161,543,12.9,15.2
D.J. Augustin,LAL,55,15,40,883,1354,1486,107,6,225,288,127,7.9,9.4
D.J. Wilson,TOR,4,2,2,54,75,45,5,0,8,11,5,6.7,6.7
DaQuan Jeffries,MEM,2,2,0,4,7,4,1,0,2,2,1,14.3,14.3
Daishen Nix,HOU,24,3,21,261,401,387,40,3,74,98,44,10.0,11.0
Dakota Mathias,MEM,5,4,1,13,12,12,1,0,3,2,1,8.3,8.3
Dalano Banton,TOR,64,37,27,696,1242,1157,99,7,211,261,120,8.0,9.7
Damian Jones,SAC,55,18,37,1015,1071,904,69,6,115,173,77,6.4,7.2
Damian Lillard,POR,29,12,17,1056,1561,2077,212,37,385,554,279,13.6,17.9
Damion Lee,GSW,62,41,21,1227,1292,1223,60,10,136,158,73,4.6,5.7
Damyean Dotson,NYK,2,1,1,21,17,17,1,0,1,2,1,5.9,5.9
Daniel Gafford,WAS,72,30,42,1444,1684,1148,68,8,120,179,81,4.0,4.8
Daniel Oturu,TOR,3,1,2,27,19,16,0,0,1,0,0,0.0,0.0
Daniel Theis,BOS,47,20,27,977,974,822,41,4,99,113,51,4.2,5.2
Danilo Gallinari,ATL,66,35,31,1672,1810,1547,101,12,194,254,122,5.6,6.7
Danny Green,PHI,62,37,25,1353,1329,954,64,14,104,166,83,4.8,6.2
Danuel House Jr.,UTA,42,18,24,727,655,526,44,4,79,115,52,6.7,7.9
Darius Bazley,OKC,69,19,50,1924,2162,1743,97,17,212,262,122,4.5,5.6
Darius Garland,CLE,68,37,31,2430,4075,5280,583,77,1063,1496,744,14.3,18.3
Darren Collison,LAL,3,1,2,37,37,37,2,0,8,5,2,5.4,5.4
David Duke Jr.,BKN,22,10,12,341,287,255,17,5,35,38,22,5.9,7.7
David Johnson,TOR,2,2,0,2,1,2,0,0,0,0,0,0.0,0.0
David Nwaba,HOU,46,6,40,609,529,376,35,4,66,91,43,6.6,8.1
Davion Mitchell,SAC,74,27,47,2051,2584,3162,309,37,575,800,371,12.0,14.4
Davis Bertans,DAL,56,32,24,806,627,621,31,11,52,84,48,4.9,7.7
Davon Reed,DEN,48,29,19,668,871,696,53,4,99,140,60,6.1,6.9
Day'Ron Sharpe,BKN,32,12,20,391,414,307,17,6,41,39,23,4.1,5.6
De'Aaron Fox,SAC,58,21,37,2054,3228,4000,321,43,631,820,392,9.9,12.1
De'Andre Hunter,ATL,53,28,25,1577,960,1191,68,6,117,178,78,7.1,8.1
De'Anthony Melton,MEM,72,48,24,1636,2171,2030,188,33,344,449,230,8.7,10.6
DeAndre Jordan,PHI,48,26,22,622,590,322,21,6,34,53,27,3.6,4.6
DeAndre' Bembry,MIL,56,31,25,1026,867,653,66,6,104,164,75,7.6,8.7
DeJon Jarreau,IND,1,0,1,1,2,1,0,0,1,0,0,0.0,0.0
DeMar DeRozan,CHI,76,43,33,2743,2542,4060,374,73,746,989,466,14.7,18.3
DeMarcus Cousins,DEN,48,33,15,717,1031,928,71,12,149,201,95,6.9,9.2
Dean Wade,CLE,51,27,24,980,1016,724,52,10,109,139,66,5.1,6.5
Deandre Ayton,PHX,58,46,12,1713,1619,1288,84,13,122,225,104,5.2,6.4
Deividas Sirvydis,DET,3,1,2,27,22,16,1,0,2,2,1,4.5,4.5
Dejounte Murray,SAS,68,30,38,2366,4203,4892,627,43,1168,1581,733,14.9,17.4
Delon Wright,ATL,77,42,35,1453,2141,1948,188,26,370,503,228,8.8,10.6
Deni Avdija,WAS,82,35,47,1984,2309,1785,167,23,309,426,212,7.2,9.2
Dennis Schroder,HOU,63,32,31,1810,3161,3564,293,60,553,750,375,9.3,11.9
Dennis Smith Jr.,POR,37,15,22,639,1214,1286,132,16,295,356,163,10.9,13.4
Denzel Valentine,UTA,24,14,10,222,242,234,11,2,35,32,15,4.5,6.2
Derrick Favors,OKC,39,15,24,652,764,637,25,3,47,62,27,3.3,3.5
Derrick Jones Jr.,CHI,51,28,23,899,785,468,30,2,60,72,31,3.8,3.9
Derrick Rose,NYK,26,11,15,636,1034,1178,103,9,203,262,120,10.0,11.6
Derrick Walton Jr.,DET,3,1,2,108,188,200,21,1,39,54,23,11.2,12.2
Derrick White,BOS,75,40,35,2199,2732,3147,366,36,651,919,441,13.4,16.1
Desmond Bane,MEM,76,53,23,2266,3035,3065,208,43,391,552,270,6.9,8.9
Devin Booker,PHX,67,55,12,2311,1892,3172,325,51,566,789,383,17.2,20.2
Devin Cannady,ORL,5,2,3,145,120,121,10,0,15,26,11,8.3,9.2
Devin Vassell,SAS,71,29,42,1937,1703,1685,136,25,247,352,172,8.0,10.1
Devon Dotson,CHI,11,5,6,85,136,137,15,2,26,40,19,11.0,14.0
Devontae Cacok,SAS,15,5,10,121,166,84,6,0,12,16,8,3.6,4.8
Devonte' Graham,NOP,75,33,42,2133,3490,3831,315,33,581,813,386,9.0,11.1
Dewayne Dedmon,MIA,67,43,24,1065,1258,794,47,11,88,114,58,3.7,4.6
Didi Louzada,POR,9,0,9,129,112,93,5,0,13,11,5,4.5,4.5
Dillon Brooks,MEM,31,21,10,861,749,1070,83,10,135,204,102,11.1,13.6
Domantas Sabonis,SAC,62,21,41,2136,3688,2975,323,18,580,831,359,8.8,9.7
Donovan Mitchell,UTA,67,41,26,2266,2792,4082,358,57,676,969,455,12.8,16.3
Donte DiVincenzo,SAC,42,21,21,1005,1273,1231,118,23,203,301,162,9.3,12.7
Dorian Finney-Smith,DAL,80,51,29,2644,2459,2222,150,24,296,391,188,6.1,7.6
Doug McDermott,SAS,51,21,30,1223,979,1048,64,20,113,162,90,6.5,9.2
Draymond Green,GSW,46,34,12,1329,2770,2158,320,22,648,850,382,11.6,13.8
Drew Eubanks,POR,71,19,52,1245,1600,1173,85,6,169,215,94,5.3,5.9
Duane Washington Jr.,IND,48,12,36,968,822,1075,85,13,137,209,109,10.3,13.3
Duncan Robinson,MIA,79,52,27,2043,1825,2050,129,30,255,317,171,7.1,9.4
Dwight Howard,LAL,60,21,39,971,1060,589,35,7,60,86,44,3.3,4.2
Dwight Powell,DAL,82,52,30,1798,1903,1402,97,17,152,249,121,5.1,6.4
Dylan Windler,CLE,50,28,22,459,523,379,34,5,51,85,43,6.5,8.2
Ed Davis,CLE,31,15,16,201,258,120,7,1,10,17,8,2.7,3.1
Elfrid Payton,PHX,49,38,11,535,799,834,98,9,199,252,120,12.3,15.0
Elijah Hughes,POR,36,15,21,434,418,353,22,6,60,63,33,5.3,7.9
Emanuel Terry,PHX,3,2,1,18,22,9,2,0,3,4,2,9.1,9.1
Emmanuel Mudiay,SAC,2,0,2,11,23,28,4,0,5,11,5,17.4,21.7
Enes Freedom,BOS,34,20,14,400,332,222,8,2,16,19,10,2.4,3.0
Eric Bledsoe,POR,53,27,26,1325,2201,2329,222,28,445,586,272,10.1,12.4
Eric Gordon,HOU,57,19,38,1670,1831,2068,154,22,326,420,199,8.4,10.9
Eric Paschall,UTA,58,36,22,737,747,564,36,6,77,97,44,4.8,5.9
Eugene Omoruyi,DAL,4,1,3,18,25,17,2,1,4,5,4,8.0,16.0
Evan Fournier,NYK,79,35,44,2316,1891,2340,169,27,331,438,217,8.9,11.5
Evan Mobley,CLE,69,40,29,2331,2869,2253,174,16,366,461,214,6.1,7.5
Facundo Campazzo,DEN,65,38,27,1184,2145,2195,220,21,430,606,271,10.3,12.6
Feron Hunt,NYK,2,2,0,8,8,9,1,0,2,2,1,12.5,12.5
Frank Jackson,DET,53,9,44,1164,812,1106,55,10,100,143,69,6.8,8.5
Frank Kaminsky,PHX,9,8,1,181,233,183,13,3,30,35,18,5.6,7.7
Frank Ntilikina,DAL,58,34,24,685,866,876,69,9,134,176,86,8.0,9.9
Franz Wagner,ORL,79,21,58,2429,2352,2624,231,24,446,591,278,9.8,11.8
Fred VanVleet,TOR,65,39,26,2462,4051,4634,434,62,848,1101,540,10.7,13.3
Freddie Gillespie,ORL,9,1,8,119,120,78,5,0,14,16,6,4.2,5.0
Furkan Korkmaz,PHI,67,44,23,1414,1485,1663,127,14,226,328,151,8.6,10.2
Gabe Vincent,MIA,68,47,21,1589,2389,2578,210,30,416,559,264,8.8,11.1
Gabe York,IND,2,0,2,21,19,22,4,0,5,10,5,21.1,26.3
Gabriel Deck,OKC,7,2,5,56,39,43,5,0,7,15,6,12.8,15.4
Gabriel Lundberg,PHX,4,1,3,44,68,71,11,0,20,29,11,16.2,16.2
Garrett Temple,NOP,58,22,36,1080,986,946,72,11,139,192,93,7.3,9.4
Garrison Mathews,HOU,65,19,46,1712,1196,1166,64,13,127,161,81,5.4,6.8
Gary Clark,NOP,37,19,18,363,332,235,18,3,30,49,22,5.4,6.6
Gary Harris,ORL,61,16,45,1730,1083,1453,108,17,229,268,128,10.0,11.8
Gary Payton II,GSW,70,47,23,1234,1139,912,64,18,152,170,89,5.6,7.8
Gary Trent Jr.,TOR,70,44,26,2448,1668,2370,141,27,273,360,174,8.5,10.4
George Hill,MIL,54,36,18,1253,1621,1560,120,10,218,316,139,7.4,8.6
George King,DAL,4,2,2,19,12,12,0,0,1,0,0,0.0,0.0
Georges Niang,PHI,76,48,28,1736,2111,1532,102,14,194,266,131,4.8,6.2
Georgios Kalaitzakis,OKC,13,8,5,213,184,221,12,1,21,29,13,6.5,7.1
Giannis Antetokounmpo,MIL,67,45,22,2204,2940,3304,388,42,765,1058,448,13.2,15.2
Goga Bitadze,IND,50,17,33,729,858,731,55,9,91,142,69,6.4,8.0
Goran Dragic,BKN,21,10,11,498,892,840,86,13,142,221,107,9.6,12.0
Gordon Hayward,CHA,48,26,22,1529,1795,1803,175,24,328,474,218,9.7,12.1
Gorgui Dieng,ATL,44,23,21,371,519,405,34,4,55,87,41,6.6,7.9
Grant Williams,BOS,76,49,27,1860,1526,1239,76,16,151,199,94,5.0,6.2
Grayson Allen,MIL,66,43,23,1805,1110,1270,100,17,219,268,129,9.0,11.6
Greg Brown III,POR,48,14,34,640,511,409,35,1,59,91,41,6.8,8.0
Greg Monroe,MIN,14,7,7,195,198,165,22,2,32,58,25,11.1,12.6
Hamidou Diallo,DET,57,14,43,1244,1416,1248,72,16,159,189,91,5.1,6.4
Harrison Barnes,SAC,76,26,50,2550,2376,2073,182,19,312,452,210,7.7,8.8
Hassan Whiteside,UTA,65,40,25,1162,551,483,26,1,43,76,31,4.7,5.6
Hassani Gravett,ORL,8,2,6,171,268,264,20,0,46,58,24,7.5,9.0
Haywood Highsmith,MIA,19,13,6,163,137,105,6,0,17,17,7,4.4,5.1
Herbert Jones,NOP,77,35,42,2298,2047,1847,165,20,299,417,203,8.1,9.9
Ignas Brazdeikis,ORL,42,9,33,536,429,459,37,2,87,95,39,8.6,9.1
Immanuel Quickley,NYK,77,34,43,1777,2600,3040,272,28,492,701,330,10.5,12.7
Isaac Bonga,TOR,15,9,6,69,45,30,4,0,4,5,2,8.9,4.4
Isaac Okoro,CLE,67,34,33,1981,1491,1543,121,14,241,314,143,8.1,9.6
Isaiah Hartenstein,LAC,68,37,31,1216,1596,1380,160,11,269,407,184,10.0,11.5
Isaiah Jackson,IND,36,9,27,541,441,397,10,4,25,29,16,2.3,3.6
Isaiah Joe,PHI,55,35,20,609,556,601,35,8,61,90,48,6.3,8.6
Isaiah Livers,DET,19,8,11,383,398,332,21,3,46,58,25,5.3,6.3
Isaiah Roby,OKC,45,10,35,948,1265,1036,71,6,132,181,82,5.6,6.5
Isaiah Stewart,DET,70,21,49,1795,1914,1371,82,7,156,220,98,4.3,5.1
Isaiah Thomas,CHA,22,12,10,333,464,570,34,1,56,89,42,7.3,9.1
Isaiah Todd,WAS,12,1,11,74,71,67,4,0,2,9,4,5.6,5.6
Ish Smith,WAS,64,27,37,1114,2105,2242,243,21,461,606,282,11.5,13.4
Ish Wainright,PHX,44,35,9,348,284,262,14,1,34,35,15,4.9,5.3
Ivica Zubac,LAC,76,40,36,1852,2217,1470,120,15,202,295,141,5.4,6.4
JT Thor,CHA,33,18,15,262,230,173,19,0,33,52,22,8.3,9.6
Ja Morant,MEM,56,35,21,1864,2664,3651,378,52,709,947,463,14.2,17.4
JaMychal Green,DEN,67,36,31,1085,1083,900,59,4,111,158,67,5.4,6.2
JaQuori McLaughlin,DAL,4,2,2,11,13,15,2,0,2,5,2,15.4,15.4
JaVale McGee,PHX,74,57,17,1172,1247,829,42,5,82,101,50,3.4,4.0
Jabari Parker,BOS,12,4,8,112,106,81,6,1,8,16,8,5.7,7.5
Jaden McDaniels,MIN,70,40,30,1803,1726,1153,79,15,161,205,102,4.6,5.9
Jaden Springer,PHI,2,2,0,6,4,3,0,0,1,0,0,0.0,0.0
Jae Crowder,PHX,67,54,13,1886,2444,1549,124,15,212,311,152,5.1,6.2
Jae'Sean Tate,HOU,78,19,59,2056,2228,2074,222,18,460,601,259,10.0,11.6
Jahmi'us Ramsey,SAC,19,2,17,134,106,141,7,3,17,18,11,6.6,10.4
Jaime Echenique,WAS,1,1,0,3,0,0,0,0,0,0,0,0.0,0.0
Jake Layman,MIN,34,20,14,231,179,171,9,2,24,23,12,5.0,6.7
Jakob Poeltl,SAS,68,30,38,1970,3024,2024,189,19,318,463,215,6.3,7.1
Jalen Brunson,DAL,79,50,29,2524,3938,4441,377,61,801,1009,470,9.6,11.9
Jalen Green,HOU,67,12,55,2138,1943,2570,176,26,340,461,225,9.1,11.6
Jalen Johnson,ATL,22,14,8,120,116,95,3,1,13,10,5,2.6,4.3
Jalen McDaniels,CHA,54,34,20,881,983,761,58,7,109,152,70,5.9,7.1
Jalen Smith,IND,50,28,22,891,893,695,23,7,49,55,32,2.6,3.6
Jalen Suggs,ORL,48,16,32,1307,2043,2252,209,16,395,553,243,10.2,11.9
James Bouknight,CHA,30,15,15,301,278,351,26,1,44,65,28,9.4,10.1
James Ennis III,DEN,7,3,4,56,38,45,3,1,6,9,5,7.9,13.2
James Harden,PHI,65,40,25,2420,4172,4795,667,66,1194,1673,807,16.0,19.3
James Johnson,BKN,62,30,32,1191,1062,975,130,5,222,314,136,12.2,12.8
Jamorko Pickett,DET,13,4,9,176,162,137,7,2,13,19,10,4.3,6.2
Jared Butler,UTA,42,31,11,360,428,545,63,6,108,170,80,14.7,18.7
Jared Harper,NOP,5,2,3,43,88,107,14,2,25,41,17,15.9,19.3
Jaren Jackson Jr.,MEM,77,52,25,2100,1495,1915,86,15,165,220,113,5.8,7.6
Jarred Vanderbilt,MIN,74,41,33,1881,1831,796,94,15,182,248,113,5.1,6.2
Jarrett Allen,CLE,56,35,21,1810,1999,1457,92,26,186,240,128,4.6,6.4
Jarrett Culver,MEM,36,27,9,333,363,403,31,4,70,74,39,8.5,10.7
Jarron Cumberland,POR,3,0,3,12,9,5,1,0,2,2,1,11.1,11.1
Javin DeLaurier,MIL,1,1,0,3,4,0,0,0,0,0,0,0.0,0.0
Javonte Green,CHI,65,38,27,1519,1313,805,60,6,108,149,68,4.6,5.2
Javonte Smart,MIA,17,11,6,200,215,241,16,4,32,42,21,7.4,9.8
Jaxson Hayes,NOP,69,28,41,1386,1144,1070,43,9,96,111,59,3.8,5.2
Jay Huff,LAL,4,0,4,20,21,17,1,0,8,3,1,4.8,4.8
Jay Scrubb,LAC,17,8,9,119,94,109,8,1,13,18,10,8.5,10.6
Jaylen Brown,BOS,65,43,22,2186,2271,2921,230,49,413,578,289,10.1,12.7
Jaylen Hoard,OKC,7,2,5,240,389,278,17,2,39,50,23,4.4,5.9
Jaylen Morris,SAS,3,0,3,16,17,22,2,0,4,9,3,11.8,17.6
Jaylen Nowell,MIN,62,37,25,975,1199,1364,130,14,217,333,153,10.8,12.8
Jaysean Paige,DET,1,1,0,7,9,11,1,0,1,3,1,11.1,11.1
Jayson Tatum,BOS,75,49,26,2691,3426,3957,325,69,651,849,414,9.5,12.1
Jeff Dowtin Jr.,ORL,9,4,5,108,145,153,10,2,22,27,12,6.9,8.3
Jeff Green,DEN,75,44,31,1849,1449,1544,96,15,171,226,111,6.6,7.7
Jemerrio Jones,LAL,2,0,2,15,14,6,0,1,1,0,1,0.0,7.1
Jerami Grant,DET,47,11,36,1500,1816,2059,111,26,250,290,142,6.1,7.8
Jeremiah Robinson-Earl,OKC,49,15,34,1087,1306,1068,49,8,113,130,57,3.8,4.4
Jeremy Lamb,SAC,56,23,33,936,1198,1187,81,8,153,194,92,6.8,7.7
Jericho Sims,NYK,41,19,22,555,560,248,21,5,35,69,30,3.8,5.4
Jevon Carter,MIL,66,39,27,905,1151,1083,96,13,145,246,119,8.3,10.3
Jimmy Butler,MIA,57,38,19,1931,2617,3076,312,36,610,830,372,11.9,14.2
Jock Landale,SAS,54,24,30,589,758,586,45,4,77,113,51,5.9,6.7
Joe Harris,BKN,14,10,4,423,331,300,14,1,30,34,15,4.2,4.5
Joe Ingles,POR,45,28,17,1122,1604,1494,158,14,309,435,197,9.9,12.3
Joe Johnson,BOS,1,1,0,2,4,5,0,0,0,0,0,0.0,0.0
Joe Wieskamp,SAS,29,11,18,205,141,157,9,2,19,22,11,6.4,7.8
Joel Ayayi,WAS,7,1,6,20,28,26,4,0,8,13,6,14.3,21.4
Joel Embiid,PHI,68,45,23,2296,3139,3706,284,39,474,718,331,9.0,10.5
John Collins,ATL,54,26,28,1663,2044,1497,98,7,143,239,113,4.8,5.5
John Konchar,MEM,72,48,24,1292,1623,1084,109,11,247,296,135,6.7,8.3
Jon Teske,MEM,2,2,0,5,2,1,0,0,0,0,0,0.0,0.0
Jonas Valanciunas,NOP,73,33,40,2209,3484,2853,186,18,322,464,219,5.3,6.3
Jonathan Kuminga,GSW,69,44,25,1165,1153,1200,63,16,136,162,83,5.5,7.2
Jordan Bell,CHI,1,1,0,2,5,0,0,0,0,0,0,0.0,0.0
Jordan Clarkson,UTA,79,47,32,2141,1679,2404,194,27,340,515,245,11.6,14.6
Jordan Goodwin,WAS,2,1,1,6,11,11,0,0,0,0,0,0.0,0.0
Jordan McLaughlin,MIN,62,36,26,902,1573,1526,180,21,341,486,219,11.4,13.9
Jordan Nwora,MIL,62,34,28,1185,952,954,59,12,111,158,75,6.2,7.9
Jordan Poole,GSW,75,49,26,2251,3274,4055,299,60,548,754,382,9.1,11.7
Jordan Schakel,WAS,4,1,3,30,28,27,0,0,1,0,0,0.0,0.0
Jose Alvarado,NOP,53,24,29,823,1431,1431,151,13,290,389,184,10.6,12.9
Josh Christopher,HOU,74,18,56,1334,1529,1659,150,16,281,389,182,9.8,11.9
Josh Giddey,OKC,54,17,37,1700,3232,2852,345,25,626,863,391,10.7,12.1
Josh Green,DAL,67,44,23,1039,796,763,79,13,149,212,102,9.9,12.8
