bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
browngr01,greg brown iii,2022-23,POR,Low Minute,78,12,PF,21,-0.53,-0.76,0.23,0.10,1630535.0,-0.63,-0.73,0.1,2023
pottemi01,micah potter,2022-23,UTA,Low Minute,14,3,PF,24,-0.54,-0.28,-0.26,0.00,1630695.0,-0.49,-0.25,-0.25,2023
pippesc02,scotty pippen jr.,2022-23,LAL,Low Minute,26,5,PG,22,-0.55,-0.44,-0.12,0.00,1630590.0,-0.49,-0.27,-0.21,2023
diabamo01,moussa diabate,2022-23,LAC,Low Minute,90,8,PF,20,-0.55,-0.3,-0.26,0.10,1631217.0,-0.67,-0.37,-0.3,2023
mathega01,garrison mathews,2022-23,HOU,Movement Shooter,443,35,SG,26,-0.55,-0.7,0.15,0.50,1629726.0,-0.66,-0.55,-0.11,2023
pinsoth01,theo pinson,2022-23,DAL,Stationary Shooter,106,22,SG,27,-0.56,-0.16,-0.39,0.10,1629033.0,-0.42,-0.06,-0.36,2023
clarkjo01,jordan clarkson,2022-23,UTA,Primary Ball Handler,1469,45,SG,30,-0.56,1.74,-2.3,1.70,203903.0,-0.09,1.85,-1.95,2023
morrima03,marcus morris sr.,2022-23,LAC,Stationary Shooter,1209,41,PF,33,-0.56,-0.76,0.2,1.40,202694.0,-0.05,-0.63,0.59,2023
divindo01,donte divincenzo,2022-23,GSW,Movement Shooter,763,32,SG,25,-0.57,-1.1,0.53,0.90,1628978.0,-0.08,-0.43,0.35,2023
paytoga02,gary payton ii,2022-23,POR,Low Minute,65,4,PG,30,-0.58,-0.62,0.04,0.10,1627780.0,-0.63,-0.62,-0.01,2023
nowelja01,jaylen nowell,2022-23,MIN,Secondary Ball Handler,887,44,SG,23,-0.58,0.97,-1.55,1.00,1629669.0,-1.09,0.4,-1.49,2023
