PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated.1,ASTAdj,AST ToPass%,AST ToPass% Adj
CJ McCollum,POR,4,0,4,140,112,163,4,0,13,9,4,3.6,3.6,
CJ Miles,IND,4,0,4,82,49,55,1,2,4,3,3,2.0,6.1,
Cameron Payne,CHI,1,0,1,4,5,7,0,0,0,0,0,0.0,0.0,
Channing Frye,CLE,12,11,1,154,185,148,13,2,19,30,15,7.0,8.1,
Chris Paul,LAC,7,3,4,260,423,510,69,3,116,166,81,16.3,19.1,
Clint Capela,HOU,11,6,5,286,367,214,12,2,22,38,17,3.3,4.6,
Cory Joseph,TOR,10,4,6,212,324,368,31,2,57,75,34,9.6,10.5,
Cristiano Felicio,CHI,6,2,4,82,71,46,2,0,6,7,3,2.8,4.2,
Dahntay Jones,CLE,10,8,2,33,23,26,1,1,3,2,2,4.3,8.7,
Damian Jones,GSW,4,4,0,21,15,19,0,0,0,0,0,0.0,0.0,
Damian Lillard,POR,4,0,4,151,212,286,13,2,48,33,16,6.1,7.5,
Daniel Ochefu,WAS,4,1,3,5,3,3,0,0,0,0,0,0.0,0.0,
Danny Green,SAS,16,8,8,436,448,379,23,2,42,57,27,5.1,6.0,
Dante Exum,UTA,7,3,4,84,75,88,9,0,15,23,11,12.0,14.7,
David Lee,SAS,15,8,7,245,293,165,11,0,23,30,12,3.8,4.1,
David West,GSW,17,16,1,221,325,278,36,3,71,87,45,11.1,13.8,
Davis Bertans,SAS,13,5,8,112,127,87,3,2,7,7,5,2.4,3.9,
DeAndre Jordan,LAC,7,3,4,264,293,165,5,1,17,13,7,1.7,2.4,
DeMar DeRozan,TOR,10,4,6,373,364,525,34,15,84,94,55,9.3,15.1,
DeMarre Carroll,TOR,10,4,6,155,131,106,5,1,10,14,7,3.8,5.3,
Dejounte Murray,SAS,11,4,7,168,294,303,27,3,43,65,33,9.2,11.2,
Delon Wright,TOR,9,4,5,92,127,133,13,0,25,34,15,10.2,11.8,
Dennis Schroder,ATL,6,2,4,211,392,486,46,5,79,103,51,11.7,13.0,
Denzel Valentine,CHI,4,1,3,22,18,16,2,0,6,7,3,11.1,16.7,
Deron Williams,CLE,18,13,5,262,429,399,38,4,75,99,47,8.9,11.0,
Derrick Favors,UTA,11,4,7,225,278,180,10,2,17,27,13,3.6,4.7,
Derrick Williams,CLE,8,6,2,38,36,42,4,0,1,10,4,11.1,11.1,
Dewayne Dedmon,SAS,12,6,6,97,77,53,3,0,9,8,3,3.9,3.9,
Deyonta Davis,MEM,3,1,2,11,7,6,0,0,0,0,0,0.0,0.0,
Domantas Sabonis,OKC,2,0,2,6,8,8,0,0,0,0,0,0.0,0.0,
Doug McDermott,OKC,5,1,4,66,44,40,1,1,2,2,2,2.3,4.5,
Draymond Green,GSW,17,16,1,593,1090,818,110,11,170,269,132,10.1,12.1,
Dwight Howard,ATL,6,2,4,157,222,133,8,2,13,21,11,3.6,5.0,
Dwyane Wade,CHI,6,2,4,190,192,254,24,2,43,52,25,12.5,13.0,
Enes Freedom,OKC,5,1,4,45,24,36,1,0,1,3,1,4.2,4.2,
Eric Gordon,HOU,11,6,5,358,223,255,22,3,40,53,27,9.9,12.1,
Ersan Ilyasova,ATL,6,2,4,90,111,64,2,0,4,2,2,1.8,1.8,
Evan Turner,POR,4,0,4,124,140,116,15,0,34,34,14,10.7,10.0,
Fred VanVleet,TOR,7,1,6,29,39,41,4,0,10,12,5,10.3,12.8,
George Hill,UTA,8,4,4,281,450,516,29,5,55,77,36,6.4,8.0,
Gerald Green,BOS,13,7,6,192,128,154,9,1,22,27,13,7.0,10.2,
Giannis Antetokounmpo,MIL,6,2,4,243,431,423,24,9,53,66,35,5.6,8.1,
Glenn Robinson III,IND,3,0,3,31,17,15,1,0,3,4,2,5.9,11.8,
Gordon Hayward,UTA,11,4,7,411,443,558,37,2,73,95,42,8.4,9.5,
Greg Monroe,MIL,6,2,4,141,123,147,10,1,19,22,11,8.1,8.9,
Ian Clark,GSW,16,15,1,219,258,285,11,6,26,34,20,4.3,7.8,
Ian Mahinmi,WAS,5,3,2,63,65,51,6,0,11,16,6,9.2,9.2,
Iman Shumpert,CLE,17,12,5,275,175,162,16,1,27,44,19,9.1,10.9,
Isaiah Canaan,CHI,3,0,3,95,87,105,4,3,6,9,7,4.6,8.0,
Isaiah Taylor,HOU,3,1,2,10,16,10,1,0,4,3,1,6.3,6.3,
Isaiah Thomas,BOS,15,8,7,521,815,1069,100,19,203,259,125,12.3,15.3,
JJ Redick,LAC,7,3,4,206,127,168,6,0,16,18,8,4.7,6.3,
JR Smith,CLE,18,13,5,487,335,327,13,5,26,36,20,3.9,6.0,
JaMychal Green,MEM,6,2,4,118,107,66,2,0,7,5,2,1.9,1.9,
JaVale McGee,GSW,16,15,1,149,126,106,4,1,10,16,7,3.2,5.6,
Jae Crowder,BOS,18,9,9,596,748,607,48,10,67,115,59,6.4,7.9,
Jake Layman,POR,2,0,2,16,8,12,1,0,0,3,1,12.5,12.5,
Jakob Poeltl,TOR,6,2,4,26,20,12,0,0,0,0,0,0.0,0.0,
Jamal Crawford,LAC,7,3,4,196,144,199,13,2,20,33,17,9.0,11.8,
James Ennis III,MEM,6,2,4,159,131,108,7,3,17,19,10,5.3,7.6,
James Harden,HOU,11,6,5,407,586,815,93,4,169,234,100,15.9,17.1,
James Jones,CLE,8,6,2,30,31,18,0,0,1,0,0,0.0,0.0,
James Michael McAdoo,GSW,13,12,1,56,70,65,0,0,10,2,1,0.0,1.4,
James Young,BOS,10,5,5,39,33,36,3,0,3,2,2,9.1,6.1,
Jarell Martin,MEM,3,1,2,10,13,3,0,0,0,0,0,0.0,0.0,
Jason Smith,WAS,13,7,6,157,204,118,4,2,12,9,6,2.0,2.9,
Jason Terry,MIL,6,2,4,68,66,56,5,1,7,14,7,7.6,10.6,
Jaylen Brown,BOS,17,8,9,215,208,209,13,1,30,36,17,6.3,8.2,
Jeff Teague,IND,4,0,4,142,214,245,25,3,60,65,34,11.7,15.9,
Jeff Withey,UTA,3,2,1,21,33,17,1,0,1,3,1,3.0,3.0,
Jerami Grant,OKC,5,1,4,111,121,71,4,0,13,11,4,3.3,3.3,
Jerian Grant,CHI,5,2,3,52,65,87,5,0,7,11,5,7.7,7.7,
Jimmy Butler,CHI,6,2,4,239,255,318,26,3,64,69,33,10.2,12.9,
Joe Ingles,UTA,11,4,7,333,331,314,36,7,71,96,52,10.9,15.7,
Joe Johnson,UTA,11,4,7,326,391,378,27,5,56,63,33,6.9,8.4,
Joel Anthony,SAS,3,1,2,15,9,5,0,0,0,0,0,0.0,0.0,
Joel Bolomboy,UTA,2,0,2,9,6,6,0,0,0,0,0,0.0,0.0,
Joffrey Lauvergne,CHI,3,0,3,26,26,25,5,0,5,11,5,19.2,19.2,
John Henson,MIL,2,0,2,12,11,11,0,0,1,0,0,0.0,0.0,
John Wall,WAS,13,7,6,507,799,1026,134,7,283,341,157,16.8,19.6,
Jonas Jerebko,BOS,12,6,6,128,189,137,12,1,13,33,13,6.3,6.9,
Jonas Valanciunas,TOR,10,4,6,226,272,193,2,1,9,5,3,0.7,1.1,
Jonathon Simmons,SAS,15,7,8,306,321,404,29,6,58,71,39,9.0,12.1,
Jordan Mickey,BOS,2,0,2,18,23,17,0,0,1,0,0,0.0,0.0,
Jose Calderon,ATL,6,2,4,75,150,151,13,2,16,29,15,8.7,10.0,
Jusuf Nurkic,POR,1,0,1,17,40,26,4,1,4,9,5,10.0,12.5,
Kawhi Leonard,SAS,12,7,5,429,439,558,55,11,102,143,68,12.5,15.5,
Kelly Olynyk,BOS,18,9,9,346,486,407,34,3,62,90,40,7.0,8.2,
Kelly Oubre Jr.,WAS,12,6,6,184,107,93,4,0,6,9,4,3.7,3.7,
Kent Bazemore,ATL,6,2,4,150,163,172,20,1,32,54,27,12.3,16.6,
Kevin Durant,GSW,15,14,1,533,500,621,64,7,113,157,74,12.8,14.8,
Kevin Love,CLE,18,13,5,578,679,498,30,10,42,78,44,4.4,6.5,
Kevin Seraphin,IND,4,0,4,59,51,45,4,0,8,13,5,7.8,9.8,
Khris Middleton,MIL,6,2,4,231,268,279,32,4,52,76,35,11.9,13.1,
Klay Thompson,GSW,17,16,1,596,394,545,35,8,68,94,47,8.9,11.9,
Kris Humphries,ATL,1,1,0,3,5,5,0,0,0,0,0,0.0,0.0,
Kyle Anderson,SAS,15,7,8,195,214,175,25,1,36,55,25,11.7,11.7,
Kyle Korver,CLE,18,13,5,326,178,192,13,2,21,31,17,7.3,9.6,
Kyle Lowry,TOR,8,4,4,300,464,504,47,9,114,125,68,10.1,14.7,
Kyle Singler,OKC,1,0,1,10,6,1,0,0,0,0,0,0.0,0.0,
Kyle Wiltjer,HOU,1,1,0,5,8,6,0,0,1,0,0,0.0,0.0,
Kyrie Irving,CLE,18,13,5,653,833,1068,95,11,161,242,112,11.4,13.4,
LaMarcus Aldridge,SAS,16,8,8,537,509,557,24,7,66,66,34,4.7,6.7,
Lance Stephenson,IND,4,0,4,107,127,152,11,4,24,26,17,8.7,13.4,
Lavoy Allen,IND,3,0,3,11,9,4,0,0,0,0,0,0.0,0.0,
LeBron James,CLE,18,13,5,744,1114,1343,141,17,284,394,179,12.7,16.1,
Lou Williams,HOU,11,6,5,272,162,235,14,1,36,40,20,8.6,12.3,
Luc Mbah a Moute,LAC,7,3,4,224,137,122,7,0,10,17,8,5.1,5.8,
Lucas Nogueira,TOR,3,1,2,7,15,10,0,1,1,0,1,0.0,6.7,
Malcolm Brogdon,MIL,6,2,4,183,246,259,21,5,44,53,27,8.5,11.0,
Malcolm Delaney,ATL,1,1,0,3,6,7,0,0,1,0,0,0.0,0.0,
Manu Ginobili,SAS,16,8,8,284,301,347,39,6,69,95,47,13.0,15.6,
Marc Gasol,MEM,6,2,4,240,335,332,25,4,42,63,30,7.5,9.0,
Marcin Gortat,WAS,13,7,6,409,437,232,24,3,44,60,30,5.5,6.9,
Marcus Smart,BOS,18,9,9,538,850,853,85,13,158,202,98,10.0,11.5,
Markieff Morris,WAS,13,7,6,373,299,317,22,3,33,53,26,7.4,8.7,
Marreese Speights,LAC,7,3,4,98,107,88,3,0,4,8,3,2.8,2.8,
Matt Barnes,GSW,12,11,1,61,97,73,7,0,13,15,7,7.2,7.2,
Matthew Dellavedova,MIL,6,2,4,159,243,266,12,4,34,32,19,4.9,7.8,
Maurice Harkless,POR,4,0,4,99,60,57,3,0,9,7,3,5.0,5.0,
Meyers Leonard,POR,3,0,3,31,30,24,1,0,4,3,1,3.3,3.3,
Michael Beasley,MIL,4,2,2,48,51,45,1,1,3,2,2,2.0,3.9,
Michael Carter-Williams,CHI,5,1,4,53,76,90,6,1,11,18,8,7.9,10.5,
Mike Conley,MEM,6,2,4,224,356,434,42,1,90,108,48,11.8,13.5,
Mike Dunleavy,ATL,6,2,4,53,44,42,2,0,7,5,2,4.5,4.5,
Mike Muscala,ATL,6,2,4,81,77,51,2,0,4,4,2,2.6,2.6,
Mirza Teletovic,MIL,3,1,2,27,39,17,0,0,1,0,0,0.0,0.0,
Monta Ellis,IND,4,0,4,76,59,74,5,1,13,11,7,8.5,11.9,
Montrezl Harrell,HOU,5,3,2,21,29,24,2,0,1,5,2,6.9,6.9,
Myles Turner,IND,4,0,4,133,154,98,3,0,8,7,3,1.9,1.9,
Nene,HOU,9,6,3,161,182,120,5,1,12,14,7,2.7,3.8,
Nikola Mirotic,CHI,6,2,4,162,264,163,9,1,17,19,11,3.4,4.2,
Noah Vonleh,POR,4,0,4,100,103,53,8,1,9,21,9,7.8,8.7,
Norman Powell,TOR,9,3,6,227,192,234,14,4,31,33,19,7.3,9.9,
Norris Cole,OKC,4,1,3,25,30,35,1,1,3,3,2,3.3,6.7,
Otto Porter Jr.,WAS,13,7,6,428,414,280,23,1,42,53,25,5.6,6.0,
P.J. Tucker,TOR,10,4,6,251,254,157,11,4,22,28,16,4.3,6.3,
Pascal Siakam,TOR,2,0,2,10,16,5,1,0,2,3,1,6.3,6.3,
Pat Connaughton,POR,3,0,3,24,22,19,4,0,4,11,4,18.2,18.2,
Patrick Beverley,HOU,11,6,5,325,375,367,33,4,69,93,43,8.8,11.5,
Patrick McCaw,GSW,15,14,1,181,210,205,16,2,34,41,20,7.6,9.5,
Patrick Patterson,TOR,10,4,6,185,211,136,20,1,22,42,18,9.5,8.5,
Patty Mills,SAS,16,8,8,416,645,722,43,10,78,103,55,6.7,8.5,
Pau Gasol,SAS,16,8,8,365,519,349,31,1,59,71,35,6.0,6.7,
Paul George,IND,4,0,4,172,178,212,29,3,39,69,32,16.3,18.0,
Paul Millsap,ATL,6,2,4,219,295,316,26,1,45,61,26,8.8,8.8,
Paul Pierce,LAC,7,3,4,101,103,72,7,1,8,16,9,6.8,8.7,
Paul Zipser,CHI,6,2,4,136,106,102,3,0,11,7,3,2.8,2.8,
Rajon Rondo,CHI,2,2,0,67,155,150,20,3,45,50,25,12.9,16.1,
Rashad Vaughn,MIL,3,2,1,10,7,9,0,0,0,0,0,0.0,0.0,
Raul Neto,UTA,9,3,6,60,87,92,4,0,10,8,4,4.6,4.6,
Raymond Felton,LAC,7,3,4,127,133,136,10,0,17,24,11,7.5,8.3,
Richard Jefferson,CLE,14,9,5,179,165,153,7,3,26,26,14,4.2,8.5,
Robin Lopez,CHI,6,2,4,162,102,110,5,3,14,13,8,4.9,7.8,
Rodney Hood,UTA,11,4,7,277,178,246,12,2,30,32,18,6.7,10.1,
Rudy Gobert,UTA,9,4,5,246,340,242,11,4,23,28,15,3.2,4.4,
Russell Westbrook,OKC,5,1,4,194,293,425,54,5,107,133,67,18.4,22.9,
Ryan Anderson,HOU,11,6,5,336,287,240,7,0,15,15,6,2.4,2.1,
Sam Dekker,HOU,4,2,2,31,26,17,1,0,2,3,1,3.8,3.8,
Semaj Christon,OKC,2,0,2,21,46,49,5,1,13,13,7,10.9,15.2,
Serge Ibaka,TOR,10,4,6,307,268,273,14,0,20,34,14,5.2,5.2,
Shabazz Napier,POR,4,0,4,47,64,76,3,0,11,8,4,4.7,6.3,
Shaun Livingston,GSW,14,13,1,220,276,273,20,4,39,54,26,7.2,9.4,
Sheldon Mac,WAS,7,3,4,17,5,11,0,0,1,0,0,0.0,0.0,
Shelvin Mack,UTA,9,3,6,155,248,255,18,7,28,45,26,7.3,10.5,
Spencer Hawes,MIL,3,2,1,17,24,22,1,0,3,2,1,4.2,4.2,
Stephen Curry,GSW,17,16,1,601,880,1052,114,21,193,271,139,13.0,15.8,
Steven Adams,OKC,5,1,4,157,113,74,7,0,16,18,8,6.2,7.1,
Taj Gibson,OKC,5,1,4,118,74,73,3,0,4,8,3,4.1,4.1,
Taurean Prince,ATL,6,2,4,187,140,127,8,1,19,27,12,5.7,8.6,
Terry Rozier,BOS,17,9,8,277,401,408,32,4,60,82,39,8.0,9.7,
Thabo Sefolosha,ATL,4,2,2,9,10,9,0,0,0,0,0,0.0,0.0,
Thaddeus Young,IND,4,0,4,140,146,103,10,0,21,24,10,6.8,6.8,
Thon Maker,MIL,6,2,4,116,150,108,12,0,16,31,12,8.0,8.0,
Tim Hardaway Jr.,ATL,6,2,4,200,174,226,7,3,23,23,15,4.0,8.6,
Tim Quarterman,POR,2,0,2,7,6,8,1,0,2,2,1,16.7,16.7,
Tomas Satoransky,WAS,10,5,5,36,46,41,6,0,11,14,6,13.0,13.0,
Tony Parker,SAS,8,5,3,211,323,396,25,3,75,77,37,7.7,11.5,
Tony Snell,MIL,6,2,4,185,115,132,9,2,8,18,10,7.8,8.7,
Trevor Ariza,HOU,11,6,5,413,346,284,23,2,46,55,24,6.6,6.9,
Trey Burke,WAS,3,2,1,20,20,26,5,0,9,12,6,25.0,30.0,
Trey Lyles,UTA,2,0,2,10,14,12,1,0,1,2,1,7.1,7.1,
Tristan Thompson,CLE,18,13,5,562,488,295,26,4,43,72,32,5.3,6.6,
Troy Daniels,MEM,6,2,4,68,29,25,2,0,2,4,2,6.9,6.9,
Troy Williams,HOU,5,3,2,19,21,22,1,0,3,4,2,4.8,9.5,
Tyler Zeller,BOS,11,3,8,78,100,84,8,0,13,22,8,8.0,8.0,
Victor Oladipo,OKC,5,1,4,181,135,148,10,3,24,24,15,7.4,11.1,
Vince Carter,MEM,6,2,4,195,168,163,9,2,16,27,13,5.4,7.7,
Wade Baldwin IV,MEM,3,1,2,12,12,8,2,0,4,4,2,16.7,16.7,
Wayne Selden,MEM,6,2,4,106,62,63,7,0,10,19,7,11.3,11.3,
Wesley Johnson,LAC,3,1,2,11,12,5,0,0,0,0,0,0.0,0.0,
Zach Randolph,MEM,6,2,4,191,167,166,4,3,11,11,7,2.4,4.2,
Zaza Pachulia,GSW,15,14,1,212,248,185,12,4,26,34,18,4.8,7.3,
