Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Tim Hardaway Jr.,DAL,2,1,1,22.0,6,25,9,0.8,1.98,1.4,0.24,1,0,2,0.0,0.0,1.0,203501,1610612742
Tobias Harris,PHI,6,2,4,218.0,54,199,108,9.3,2.8,2.02,0.271,2,5,15,0.0,0.8,0.8,202699,1610612755
Trey Murphy III,NOP,4,0,4,168.0,46,222,132,7.8,2.11,1.4,0.207,3,0,6,1.333,0.0,1.0,1630530,1610612740
Tristan Thompson,CLE,5,2,3,43.0,6,47,29,1.5,1.92,0.87,0.128,4,2,7,0.5,1.0,0.0,202684,1610612739
Tyler Herro,MIA,5,1,4,185.0,84,355,177,22.3,3.78,3.03,0.237,1,0,2,0.0,0.0,1.0,1629639,1610612748
Tyrese Haliburton,IND,6,4,2,218.0,96,563,201,37.6,4.01,3.63,0.171,4,0,5,1.0,0.0,1.2,1630169,1610612754
Tyrese Maxey,PHI,6,2,4,267.0,179,571,211,52.4,5.5,5.01,0.313,1,0,2,2.0,0.0,1.0,1630178,1610612755
Wendell Carter Jr.,ORL,7,3,4,185.0,53,208,135,4.7,1.35,0.34,0.255,6,3,23,0.0,0.0,0.87,1628976,1610612753
Wendell Moore Jr.,MIN,3,3,0,5.0,0,6,4,0.2,1.57,0.5,0.0,0,0,0,0.0,0.0,0.0,1631111,1610612750
Xavier Tillman,BOS,1,1,0,7.0,2,8,4,0.2,1.37,0.38,0.25,0,0,1,0.0,0.0,0.0,1630214,1610612738
