Rk,Season,Lg,Age,Ht,Wt,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
24,2002-03,NBA,27.2,6-7,219,1189,38.9,88.1,5.6,16.0,20.2,26.6,13.1,33.0,46.1,23.4,8.7,5.5,16.3,23.7,103.6,.442,.349,.758,91.0,.474,14.0,28.5,.229,103.6,0.5190172738567592
25,2001-02,NBA,27.4,6-7,218,1189,39.6,89.0,5.7,16.1,19.6,26.1,13.4,33.0,46.4,24.0,8.5,5.7,15.8,23.2,104.5,.445,.354,.752,90.7,.477,13.6,28.9,.221,104.5,0.5199832809203455
26,2000-01,NBA,27.7,6-7,217,1189,38.8,87.6,5.3,14.9,20.2,27.0,13.0,33.1,46.1,23.7,8.5,5.7,16.4,24.3,103.0,.443,.354,.748,91.3,.473,14.1,28.2,.231,103.0,0.5176919983916366
27,1999-00,NBA,27.8,6-7,217,1189,39.3,87.6,5.2,14.6,20.2,27.0,13.3,32.6,45.8,23.9,8.5,5.5,16.5,24.9,104.1,.449,.353,.750,93.1,.478,14.2,28.9,.231,104.1,0.523220747889023
28,1998-99,NBA,27.9,6-7,216,725,38.1,87.3,5.0,14.7,21.0,28.8,14.0,32.4,46.5,23.1,9.3,5.5,17.1,24.8,102.2,.437,.339,.728,88.9,.466,14.6,30.2,.240,102.2,0.5111431200736206
29,1997-98,NBA,27.7,6-7,215,1189,39.5,87.6,4.8,14.0,21.3,28.9,14.3,31.3,45.7,24.2,9.2,5.6,17.0,24.6,105.0,.450,.346,.737,90.3,.478,14.5,31.4,.243,105.0,0.5233462259260737
30,1996-97,NBA,27.7,6-7,214,1189,39.7,87.3,6.7,18.5,20.6,27.9,13.9,31.3,45.2,24.3,9.0,5.4,17.2,24.3,106.7,.455,.360,.738,90.1,.493,14.8,30.8,.236,106.7,0.5357716718888086
31,1995-96,NBA,27.5,6-7,214,1189,40.1,86.7,6.4,17.4,21.1,28.6,13.7,31.0,44.6,24.5,8.6,5.5,17.1,24.9,107.6,.462,.367,.740,91.8,.499,14.7,30.6,.243,107.6,0.5418798597961403
32,1994-95,NBA,27.2,6-7,213,1107,40.6,87.0,5.9,16.3,21.3,28.9,13.9,30.4,44.4,24.9,8.8,5.5,17.0,25.1,108.3,.466,.359,.737,92.9,.500,14.6,31.4,.245,108.3,0.5430422399614907
33,1993-94,NBA,27.2,6-7,212,1107,41.2,88.4,3.5,10.4,20.5,27.9,14.5,30.5,45.0,25.5,9.3,5.5,16.7,23.2,106.3,.466,.333,.734,95.1,.485,14.3,32.2,.232,106.3,0.5279311851881282
34,1992-93,NBA,27.1,6-7,211,1107,41.7,88.2,3.1,9.2,21.5,28.4,14.2,30.1,44.3,25.4,8.8,5.4,16.3,23.8,108.0,.473,.336,.754,96.8,.491,14.0,32.0,.243,108.0,0.53626757765949
35,1991-92,NBA,27.2,6-7,209,1107,42.4,89.7,2.6,7.8,20.8,27.4,14.7,30.1,44.9,25.1,8.9,5.7,16.0,22.8,108.2,.472,.331,.759,96.6,.487,13.6,32.9,.232,108.2,0.5316639805023783
36,1990-91,NBA,27.2,6-7,210,1107,42.0,88.5,2.3,7.2,21.6,28.3,14.2,29.7,43.9,25.1,8.7,5.3,16.3,23.5,107.9,.474,.320,.765,97.8,.487,13.9,32.3,.245,107.9,0.5344123940090341
37,1989-90,NBA,27.1,6-7,209,1107,42.0,88.1,2.2,6.7,22.0,28.8,14.0,29.6,43.6,25.1,8.6,5.1,16.2,23.5,108.1,.476,.331,.764,98.3,.489,13.9,32.1,.250,108.1,0.5363593061564721
38,1988-89,NBA,26.9,6-7,209,1025,41.9,87.8,2.1,6.5,21.8,28.4,14.3,29.0,43.4,25.2,9.0,5.3,17.0,23.4,107.8,.477,.323,.768,100.6,.489,14.5,33.0,.249,107.8,0.5374092685650474
39,1987-88,NBA,26.9,6-7,210,943,42.1,87.6,1.6,5.0,22.3,29.1,14.2,29.1,43.3,25.7,8.5,5.4,16.7,24.1,108.0,.480,.316,.766,99.6,.489,14.3,32.8,.254,108.0,0.5378271782000718
40,1986-87,NBA,26.6,6-7,210,943,42.0,87.5,1.4,4.7,22.9,30.0,14.5,28.9,43.4,25.6,8.5,5.4,16.7,24.2,108.3,.480,.301,.763,100.8,.488,14.3,33.4,.262,108.3,0.5377358490566038
41,1985-86,NBA,26.8,6-7,208,943,42.0,86.2,0.9,3.2,22.3,29.4,13.8,28.6,42.4,25.3,8.5,5.1,17.4,24.5,107.2,.487,.282,.756,102.1,.493,14.9,32.4,.258,107.2,0.5406714009038089
42,1984-85,NBA,26.4,6-7,208,943,42.6,86.7,0.9,3.1,21.8,28.6,13.9,28.4,42.3,25.6,8.3,5.2,17.4,24.3,107.9,.491,.282,.764,102.1,.496,14.9,32.9,.252,107.9,0.5433906772491036
43,1983-84,NBA,26.4,6-7,207,943,42.5,86.4,0.6,2.3,22.0,29.0,13.9,28.2,42.1,25.6,8.3,5.2,17.5,25.2,107.6,.492,.250,.760,101.4,.495,15.0,33.0,.255,107.6,0.5425574828559903
44,1982-83,NBA,26.1,6-7,206,943,42.0,86.5,0.5,2.2,20.2,27.3,14.3,28.6,42.9,25.0,8.6,5.4,18.4,24.8,104.7,.485,.238,.740,103.1,.488,15.8,33.4,.233,104.7,0.5314073412376157
45,1981-82,NBA,26.2,6-7,205,943,42.7,86.9,0.6,2.2,21.0,28.1,14.1,28.7,42.8,24.8,8.4,5.3,17.5,25.8,106.9,.491,.262,.746,100.9,.495,15.0,33.0,.241,106.9,0.5384630883301096
46,1980-81,NBA,26.2,6-7,205,943,41.9,86.3,0.5,2.0,21.2,28.2,14.2,28.2,42.4,24.9,8.8,5.2,18.3,24.5,105.5,.486,.245,.751,101.8,.489,15.6,33.5,.245,105.5,0.5344045062203672
47,1979-80,NBA,26.4,6-6,204,902,42.0,87.3,0.7,2.7,20.5,26.8,14.5,28.8,43.3,24.9,9.1,5.1,18.2,23.5,105.3,.481,.280,.764,103.1,.486,15.5,33.5,.235,105.3,0.5313244257861381
