Player,Team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Pos,Age,2025-26
Tre Mann,CHA,0,T,UFA,0,0,0,0,0,
Pat Connaughton,CHA,T,UFA,0,0,0,0,0,0,
Liam McNeeley,CHA,0,T,T,RFA,0,0,0,0,
Moussa Diabate,CHA,0,UFA,0,0,0,0,0,0,
Ryan Kalkbrenner,CHA,0,0,T,UFA,0,0,0,0,
Sion James,CHA,0,0,T,UFA,0,0,0,0,
P.J. Hall,CHA,0,RFA,0,0,0,0,0,0,
Tosan Evbuomwan,CHA,0,RFA,0,0,0,0,0,0,
Josh Giddey,CHI,0,0,0,UFA,0,0,0,0,
Patrick Williams,CHI,0,0,P,UFA,0,0,0,0,
Isaac Okoro,CHI,0,UFA,0,0,0,0,0,0,
Jalen Smith,CHI,0,UFA,0,0,0,0,0,0,
Tre Jones,CHI,0,T,UFA,0,0,0,0,0,
Rob Dillingham,CHI,0,T,RFA,0,0,0,0,0,
Matas Buzelis,CHI,0,T,RFA,0,0,0,0,0,
Noa Essengue,CHI,0,0,T,RFA,0,0,0,0,
Mouhamadou Gueye,CHI,T,RFA,0,0,0,0,0,0,
Leonard Miller,CHI,T,UFA,0,0,0,0,0,0,
Kam Jones,CHI,0,0,T,UFA,0,0,0,0,
Evan Mobley,CLE,0,0,0,0,UFA,0,0,0,
Donovan Mitchell,CLE,0,P,UFA,0,0,0,0,0,
James Harden,CLE,P,UFA,0,0,0,0,0,0,
Jarrett Allen,CLE,0,0,0,UFA,0,0,0,0,
Max Strus,CLE,0,UFA,0,0,0,0,0,0,
Dennis Schröder,CLE,0,NG,UFA,0,0,0,0,0,
Sam Merrill,CLE,0,0,0,UFA,0,0,0,0,
Jaylon Tyson,CLE,0,T,RFA,0,0,0,0,0,
Nae'qwan Tomlin,CLE,0,RFA,0,0,0,0,0,0,
Craig Porter.,CLE,NG,UFA,0,0,0,0,0,0,
Tyrese Proctor,CLE,0,0,T,UFA,0,0,0,0,
Riley Minix,CLE,0,RFA,0,0,0,0,0,0,
Tristan Enaruna,CLE,0,RFA,0,0,0,0,0,0,
Kyrie Irving,DAL,0,P,UFA,0,0,0,0,0,
PJ Washington,DAL,0,0,0,0,UFA,0,0,0,
Klay Thompson,DAL,0,UFA,0,0,0,0,0,0,
Daniel Gafford,DAL,0,0,0,UFA,0,0,0,0,
Cooper Flagg,DAL,0,T,T,RFA,0,0,0,0,
Caleb Martin,DAL,0,P,UFA,0,0,0,0,0,
Naji Marshall,DAL,0,UFA,0,0,0,0,0,0,
Max Christie,DAL,0,P,UFA,0,0,0,0,0,
Dereck Lively,DAL,0,RFA,0,0,0,0,0,0,
AJ Johnson,DAL,0,T,RFA,0,0,0,0,0,
Ryan Nembhard,DAL,T,UFA,0,0,0,0,0,0,
Tyler Smith,DAL,0,RFA,0,0,0,0,0,0,
John Poulakidas,DAL,0,RFA,0,0,0,0,0,0,
Nikola Jokic,DEN,0,P,UFA,0,0,0,0,0,
Jamal Murray,DEN,0,0,0,UFA,0,0,0,0,
Aaron Gordon,DEN,0,0,P,UFA,0,0,0,0,
Cameron Johnson,DEN,0,UFA,0,0,0,0,0,0,
Christian Braun,DEN,0,0,0,0,0,UFA,0,0,
Jonas Valanciunas,DEN,NG,UFA,0,0,0,0,0,0,
Zeke Nnaji,DEN,0,P,UFA,0,0,0,0,0,
Julian Strawther,DEN,0,RFA,0,0,0,0,0,0,
DaRon Holmes,DEN,0,T,RFA,0,0,0,0,0,
Jalen Pickett,DEN,T,UFA,0,0,0,0,0,0,
K.J. Simpson,DEN,0,RFA,0,0,0,0,0,0,
Cade Cunningham,DET,0,0,0,0,UFA,0,0,0,
Duncan Robinson,DET,NG,NG,UFA,0,0,0,0,0,
Isaiah Stewart,DET,0,T,UFA,0,0,0,0,0,
Caris LeVert,DET,0,UFA,0,0,0,0,0,0,
Ausar Thompson,DET,0,RFA,0,0,0,0,0,0,
Ron Holland,DET,0,T,RFA,0,0,0,0,0,
Paul Reed,DET,NG,UFA,0,0,0,0,0,0,
Marcus Sasser,DET,0,RFA,0,0,0,0,0,0,
Daniss Jenkins,DET,T,RFA,0,0,0,0,0,0,
Tolu Smith,DET,T,RFA,0,0,0,0,0,0,
Chaz Lanier,DET,0,0,T,UFA,0,0,0,0,
Isaac Jones,DET,0,RFA,0,0,0,0,0,0,
Stephen Curry,GSW,0,UFA,0,0,0,0,0,0,
Jimmy Butler,GSW,0,UFA,0,0,0,0,0,0,
Draymond Green,GSW,P,UFA,0,0,0,0,0,0,
Moses Moody,GSW,0,0,UFA,0,0,0,0,0,
Brandin Podziemski,GSW,0,RFA,0,0,0,0,0,0,
Gui Santos,GSW,0,0,P,UFA,0,0,0,0,
De'Anthony Melton,GSW,P,UFA,0,0,0,0,0,0,
Will Richard,GSW,0,0,T,UFA,0,0,0,0,
Malevy Leons,GSW,0,RFA,0,0,0,0,0,0,
L.J. Cryer,GSW,0,RFA,0,0,0,0,0,0,
Kevin Durant,HOU,0,P,UFA,0,0,0,0,0,
Alperen Sengun,HOU,0,0,0,P,UFA,0,0,0,
Fred VanVleet,HOU,P,UFA,0,0,0,0,0,0,
Jabari Smith.,HOU,0,0,0,0,0,UFA,0,0,
Dorian Finney-Smith,HOU,0,NG,P,UFA,0,0,0,0,
Steven Adams,HOU,0,0,UFA,0,0,0,0,0,
Amen Thompson,HOU,0,RFA,0,0,0,0,0,0,
Reed Sheppard,HOU,0,T,RFA,0,0,0,0,0,
Clint Capela,HOU,0,0,UFA,0,0,0,0,0,
J.D. Davison,HOU,T,UFA,0,0,0,0,0,0,
Tristen Newton,HOU,0,RFA,0,0,0,0,0,0,
Pascal Siakam,IND,0,0,UFA,0,0,0,0,0,
Tyrese Haliburton,IND,0,0,0,UFA,0,0,0,0,
Ivica Zubac,IND,0,0,UFA,0,0,0,0,0,
Andrew Nembhard,IND,0,0,UFA,0,0,0,0,0,
Obi Toppin,IND,0,0,UFA,0,0,0,0,0,
Aaron Nesmith,IND,0,0,0,UFA,0,0,0,0,
T.J. McConnell,IND,0,NG,T,UFA,0,0,0,0,
Jarace Walker,IND,0,RFA,0,0,0,0,0,0,
Ben Sheppard,IND,0,RFA,0,0,0,0,0,0,
Micah Potter,IND,T,UFA,0,0,0,0,0,0,
Jay Huff,IND,0,T,UFA,0,0,0,0,0,
Quenton Jackson,IND,NG,NG,UFA,0,0,0,0,0,
Johnny Furphy,IND,0,T,UFA,0,0,0,0,0,
Ethan Thompson,IND,0,RFA,0,0,0,0,0,0,
Taelon Peter,IND,0,RFA,0,0,0,0,0,0,
Kawhi Leonard,LAC,0,UFA,0,0,0,0,0,0,
Darius Garland,LAC,0,0,UFA,0,0,0,0,0,
Bogdan Bogdanovic,LAC,T,UFA,0,0,0,0,0,0,
Derrick Jones.,LAC,0,UFA,0,0,0,0,0,0,
Brook Lopez,LAC,T,UFA,0,0,0,0,0,0,
Isaiah Jackson,LAC,0,0,UFA,0,0,0,0,0,
Nicolas Batum,LAC,T,UFA,0,0,0,0,0,0,
Kris Dunn,LAC,NG,UFA,0,0,0,0,0,0,
Bradley Beal,LAC,P,UFA,0,0,0,0,0,0,
Konan Niederhauser Yanic,LAC,0,T,T,RFA,0,0,0,0,
Jordan Miller,LAC,T,RFA,0,0,0,0,0,0,
Cameron Christie,LAC,0,T,UFA,0,0,0,0,0,
Kobe Sanders,LAC,T,RFA,0,0,0,0,0,0,
Luka Doncic,LAL,0,0,P,UFA,0,0,0,0,
Jarred Vanderbilt,LAL,0,P,UFA,0,0,0,0,0,
Deandre Ayton,LAL,P,UFA,0,0,0,0,0,0,
Jake LaRavia,LAL,0,UFA,0,0,0,0,0,0,
Marcus Smart,LAL,P,UFA,0,0,0,0,0,0,
Dalton Knecht,LAL,0,T,RFA,0,0,0,0,0,
Nick Smith.,LAL,T,UFA,0,0,0,0,0,0,
Bronny James,LAL,0,T,UFA,0,0,0,0,0,
Adou Thiero,LAL,0,T,RFA,0,0,0,0,0,
Ja Morant,MEM,0,0,UFA,0,0,0,0,0,
Kentavious Caldwell-Pope,MEM,0,UFA,0,0,0,0,0,0,
Santi Aldama,MEM,0,T,UFA,0,0,0,0,0,
Brandon Clarke,MEM,0,UFA,0,0,0,0,0,0,
Ty Jerome,MEM,0,P,UFA,0,0,0,0,0,
Taylor Hendricks,MEM,0,UFA,0,0,0,0,0,0,
Zach Edey,MEM,0,T,RFA,0,0,0,0,0,
Cedric Coward,MEM,0,T,T,RFA,0,0,0,0,
Walter Clayton.,MEM,0,T,T,RFA,0,0,0,0,
Taj Gibson,MEM,NG,UFA,0,0,0,0,0,0,
Olivier-Maxence Prosper,MEM,T,UFA,0,0,0,0,0,0,
Scotty Pippen.,MEM,NG,T,UFA,0,0,0,0,0,
Cam Spencer,MEM,0,0,T,UFA,0,0,0,0,
G.G. Jackson,MEM,T,UFA,0,0,0,0,0,0,
Jaylen Wells,MEM,NG,T,UFA,0,0,0,0,0,
Javon Small,MEM,0,RFA,0,0,0,0,0,0,
Jahmai Mashack,MEM,0,RFA,0,0,0,0,0,0,
Bam Adebayo,MIA,0,0,P,UFA,0,0,0,0,
Tyler Herro,MIA,0,UFA,0,0,0,0,0,0,
Andrew Wiggins,MIA,P,UFA,0,0,0,0,0,0,
Nikola Jovic,MIA,0,0,0,0,UFA,0,0,0,
Davion Mitchell,MIA,0,UFA,0,0,0,0,0,0,
Jaime Jaquez.,MIA,0,RFA,0,0,0,0,0,0,
Kel'el Ware,MIA,0,T,RFA,0,0,0,0,0,
Kasparas Jakucionis,MIA,0,T,T,RFA,0,0,0,0,
Dru Smith,MIA,NG,T,UFA,0,0,0,0,0,
Myron Gardner,MIA,NG,NG,RFA,0,0,0,0,0,
Jahmir Young,MIA,T,RFA,0,0,0,0,0,0,
Pelle Larsson,MIA,NG,RFA,0,0,0,0,0,0,
Giannis Antetokounmpo,MIL,0,P,UFA,0,0,0,0,0,
Myles Turner,MIL,0,0,P,UFA,0,0,0,0,
Kyle Kuzma,MIL,0,UFA,0,0,0,0,0,0,
Bobby Portis,MIL,0,P,UFA,0,0,0,0,0,
AJ Green,MIL,0,0,0,0,UFA,0,0,0,
Kevin Porter.,MIL,0,UFA,0,0,0,0,0,0,
Ryan Rollins,MIL,0,P,UFA,0,0,0,0,0,
Gary Trent.,MIL,P,UFA,0,0,0,0,0,0,
Taurean Prince,MIL,P,UFA,0,0,0,0,0,0,
Gary Harris,MIL,0,UFA,0,0,0,0,0,0,
Jericho Sims,MIL,0,UFA,0,0,0,0,0,0,
Pete Nance,MIL,NG,T,UFA,0,0,0,0,0,
Andre Jackson.,MIL,T,UFA,0,0,0,0,0,0,
Cormac Ryan,MIL,0,RFA,0,0,0,0,0,0,
Anthony Edwards,MIN,0,0,0,UFA,0,0,0,0,
Rudy Gobert,MIN,0,P,UFA,0,0,0,0,0,
Julius Randle,MIN,P,P,UFA,0,0,0,0,0,
Jaden McDaniels,MIN,0,0,0,UFA,0,0,0,0,
Naz Reid,MIN,0,0,0,P,UFA,0,0,0,
Donte DiVincenzo,MIN,0,UFA,0,0,0,0,0,0,
Joan Beringer,MIN,0,T,T,RFA,0,0,0,0,
Terrence Shannon.,MIN,0,T,RFA,0,0,0,0,0,
Julian Phillips,MIN,T,UFA,0,0,0,0,0,0,
Rocco Zikarsky,MIN,0,RFA,0,0,0,0,0,0,
Zyon Pullin,MIN,0,RFA,0,0,0,0,0,0,
Zion Williamson,NOP,0,NG,UFA,0,0,0,0,0,
Jordan Poole,NOP,0,UFA,0,0,0,0,0,0,
Dejounte Murray,NOP,0,P,UFA,0,0,0,0,0,
Trey Murphy,NOP,0,0,0,UFA,0,0,0,0,
Herb Jones,NOP,0,0,0,P,UFA,0,0,0,
Kevon Looney,NOP,T,UFA,0,0,0,0,0,0,
Jeremiah Fears,NOP,0,T,T,RFA,0,0,0,0,
Jordan Hawkins,NOP,0,RFA,0,0,0,0,0,0,
Saddiq Bey,NOP,0,UFA,0,0,0,0,0,0,
Derik Queen,NOP,0,T,T,RFA,0,0,0,0,
Yves Missi,NOP,0,T,RFA,0,0,0,0,0,
Bryce McGowens,NOP,UFA,T,UFA,0,0,0,0,0,
Karlo Matkovic,NOP,0,RFA,0,0,0,0,0,0,
Micah Peavy,NOP,0,NG,T,UFA,0,0,0,0,
Karl-Anthony Towns,NYK,0,P,UFA,0,0,0,0,0,
OG Anunoby,NYK,0,0,P,UFA,0,0,0,0,
Jalen Brunson,NYK,0,0,P,UFA,0,0,0,0,0.0
Mikal Bridges,NYK,0,0,0,P,UFA,0,0,0,
Josh Hart,NYK,0,T,UFA,0,0,0,0,0,
Miles McBride,NYK,0,UFA,0,0,0,0,0,0,
Pacome Dadiet,NYK,0,T,RFA,0,0,0,0,0,
Tyler Kolek,NYK,0,T,RFA,0,0,0,0,0,
Jalen Williams,OKC,0,0,0,0,0,UFA,0,0,
Chet Holmgren,OKC,0,0,0,0,0,UFA,0,0,
Shai Gilgeous-Alexander,OKC,0,0,0,0,P,UFA,0,0,
Isaiah Hartenstein,OKC,T,UFA,0,0,0,0,0,0,
Alex Caruso,OKC,0,0,0,UFA,0,0,0,0,
Luguentz Dort,OKC,T,UFA,0,0,0,0,0,0,
Isaiah Joe,OKC,0,T,UFA,0,0,0,0,0,
Aaron Wiggins,OKC,0,0,T,UFA,0,0,0,0,
Jaylin Williams,OKC,0,T,UFA,0,0,0,0,0,
Cason Wallace,OKC,0,RFA,0,0,0,0,0,0,
Kenrich Williams,OKC,T,UFA,0,0,0,0,0,0,
Nikola Topic,OKC,0,T,RFA,0,0,0,0,0,
Thomas Sorber,OKC,0,T,T,RFA,0,0,0,0,
Jared McCain,OKC,0,T,RFA,0,0,0,0,0,
Ajay Mitchell,OKC,NG,T,UFA,0,0,0,0,0,
Payton Sandfort,OKC,0,RFA,0,0,0,0,0,0,
Franz Wagner,ORL,0,0,0,0,UFA,0,0,0,
Paolo Banchero,ORL,0,0,0,0,P,UFA,0,0,
Desmond Bane,ORL,0,0,0,UFA,0,0,0,0,
Jalen Suggs,ORL,0,0,0,0,UFA,0,0,0,
Wendell Carter.,ORL,0,0,T,UFA,0,0,0,0,
Jonathan Isaac,ORL,NG,NG,NG,UFA,0,0,0,0,
Anthony Black,ORL,0,RFA,0,0,0,0,0,0,
Goga Bitadze,ORL,0,UFA,0,0,0,0,0,0,
Da Silva Tristan,ORL,0,T,RFA,0,0,0,0,0,
Jase Richardson,ORL,0,T,T,RFA,0,0,0,0,
Jamal Cain,ORL,T,UFA,0,0,0,0,0,0,
Noah Penda,ORL,0,0,T,UFA,0,0,0,0,
Alex Morales,ORL,0,RFA,0,0,0,0,0,0,
Joel Embiid,PHI,0,0,P,UFA,0,0,0,0,
Paul George,PHI,0,P,UFA,0,0,0,0,0,
Tyrese Maxey,PHI,0,0,0,UFA,0,0,0,0,
VJ Edgecombe,PHI,0,T,T,RFA,0,0,0,0,
Dominick Barlow,PHI,T,UFA,0,0,0,0,0,0,
Trendon Watford,PHI,T,UFA,0,0,0,0,0,0,
Jabari Walker,PHI,NG,UFA,0,0,0,0,0,0,
Dalen Terry,PHI,T,UFA,0,0,0,0,0,0,
Justin Edwards,PHI,0,T,UFA,0,0,0,0,0,
Adem Bona,PHI,0,T,UFA,0,0,0,0,0,
Johni Broome,PHI,0,0,T,UFA,0,0,0,0,
Devin Booker,PHX,0,0,0,P,UFA,0,0,0,
Jalen Green,PHX,0,P,UFA,0,0,0,0,0,
Dillon Brooks,PHX,0,UFA,0,0,0,0,0,0,
Grayson Allen,PHX,0,P,UFA,0,0,0,0,0,
Royce O'Neale,PHX,0,0,UFA,0,0,0,0,0,
Khaman Maluach,PHX,0,T,T,RFA,0,0,0,0,
Haywood Highsmith,PHX,NG,UFA,0,0,0,0,0,0,
Ryan Dunn,PHX,0,T,RFA,0,0,0,0,0,
Jamaree Bouyea,PHX,T,UFA,0,0,0,0,0,0,
Oso Ighodaro,PHX,0,T,UFA,0,0,0,0,0,
Rasheer Fleming,PHX,0,0,T,UFA,0,0,0,0,
CJ Huntley,PHX,0,RFA,0,0,0,0,0,0,
Jrue Holiday,POR,0,P,UFA,0,0,0,0,0,
Jerami Grant,POR,0,P,UFA,0,0,0,0,0,
Shaedon Sharpe,POR,0,0,0,0,UFA,0,0,0,
Toumani Camara,POR,0,0,0,0,UFA,0,0,0,
Scoot Henderson,POR,0,RFA,0,0,0,0,0,0,
Damian Lillard,POR,0,P,UFA,0,0,0,0,0,
Deni Avdija,POR,0,0,UFA,0,0,0,0,0,
Donovan Clingan,POR,0,T,RFA,0,0,0,0,0,
Kris Murray,POR,0,RFA,0,0,0,0,0,0,
Yang Hansen,POR,0,T,T,RFA,0,0,0,0,
Vit Krejci,POR,NG,T,UFA,0,0,0,0,0,
Sidy Cissoko,POR,NG,UFA,0,0,0,0,0,0,
Chris Youngblood,POR,0,RFA,0,0,0,0,0,0,
Jayson Kent,POR,0,RFA,0,0,0,0,0,0,
Zach LaVine,SAC,P,UFA,0,0,0,0,0,0,
Domantas Sabonis,SAC,0,0,UFA,0,0,0,0,0,
DeMar DeRozan,SAC,NG,UFA,0,0,0,0,0,0,
De'Andre Hunter,SAC,0,UFA,0,0,0,0,0,0,
Keegan Murray,SAC,0,0,0,0,0,UFA,0,0,
Malik Monk,SAC,0,P,UFA,0,0,0,0,0,
Devin Carter,SAC,0,T,RFA,0,0,0,0,0,
Nique Clifford,SAC,0,T,T,RFA,0,0,0,0,
Killian Hayes,SAC,T,UFA,0,0,0,0,0,0,
Maxime Raynaud,SAC,0,T,RFA,0,0,0,0,0,
Dylan Cardwell,SAC,0,NG,T,UFA,0,0,0,0,
De'Aaron Fox,SAS,0,0,0,0,UFA,0,0,0,
Devin Vassell,SAS,0,0,0,UFA,0,0,0,0,
Keldon Johnson,SAS,0,UFA,0,0,0,0,0,0,
Victor Wembanyama,SAS,0,RFA,0,0,0,0,0,0,
Dylan Harper,SAS,0,T,T,RFA,0,0,0,0,
Luke Kornet,SAS,0,NG,T,UFA,0,0,0,0,
Stephon Castle,SAS,0,T,RFA,0,0,0,0,0,
Carter Bryant,SAS,0,T,T,RFA,0,0,0,0,
Julian Champagnie,SAS,T,UFA,0,0,0,0,0,0,
Emanuel Miller,SAS,0,RFA,0,0,0,0,0,0,
Scottie Barnes,TOR,0,0,0,0,UFA,0,0,0,0.0
Brandon Ingram,TOR,0,P,UFA,0,0,0,0,0,
Immanuel Quickley,TOR,0,0,0,UFA,0,0,0,0,
R.J. Barrett,TOR,0,UFA,0,0,0,0,0,0,
Jakob Poeltl,TOR,0,0,0,0,UFA,0,0,0,
Gradey Dick,TOR,0,RFA,0,0,0,0,0,0,
Collin Murray-Boyles,TOR,0,T,T,RFA,0,0,0,0,
Ja'Kobe Walter,TOR,0,T,RFA,0,0,0,0,0,
Sandro Mamukelashvili,TOR,P,UFA,0,0,0,0,0,0,
Trayce Jackson-Davis,TOR,T,UFA,0,0,0,0,0,0,
Jamal Shead,TOR,0,RFA,0,0,0,0,0,0,
Jonathan Mogbo,TOR,T,RFA,0,0,0,0,0,0,
Jamison Battle,TOR,NG,RFA,0,0,0,0,0,0,
Chucky Hepburn,TOR,0,RFA,0,0,0,0,0,0,
Jaren Jackson.,UTA,0,0,0,P,UFA,0,0,0,
Lauri Markkanen,UTA,0,0,0,UFA,0,0,0,0,
Ace Bailey,UTA,0,T,T,RFA,0,0,0,0,
Keyonte George,UTA,0,RFA,0,0,0,0,0,0,
John Konchar,UTA,0,UFA,0,0,0,0,0,0,
Cody Williams,UTA,0,T,RFA,0,0,0,0,0,
Brice Sensabaugh,UTA,0,RFA,0,0,0,0,0,0,
Sviatoslav Mykhailiuk,UTA,NG,T,UFA,0,0,0,0,0,
Kyle Filipowski,UTA,0,T,RFA,0,0,0,0,0,
Isaiah Collier,UTA,0,T,RFA,0,0,0,0,0,
Bez Mbeng,UTA,T,RFA,0,0,0,0,0,0,
Hayden Gray,UTA,T,RFA,0,0,0,0,0,0,
Blake Hinson,UTA,0,RFA,0,0,0,0,0,0,
Anthony Davis,WAS,0,P,UFA,0,0,0,0,0,
Alex Sarr,WAS,0,T,RFA,0,0,0,0,0,
Bilal Coulibaly,WAS,0,RFA,0,0,0,0,0,0,
Tre Johnson,WAS,0,T,T,RFA,0,0,0,0,
Jaden Hardy,WAS,0,T,UFA,0,0,0,0,0,
D'Angelo Russell,WAS,0,UFA,0,0,0,0,0,0,
Cam Whitmore,WAS,0,RFA,0,0,0,0,0,0,
Bub Carrington,WAS,0,T,RFA,0,0,0,0,0,
Will Riley,WAS,0,T,T,RFA,0,0,0,0,
Kyshawn George,WAS,0,T,RFA,0,0,0,0,0,
Tristan Vukcevic,WAS,0,T,UFA,0,0,0,0,0,
Justin Champagnie,WAS,NG,T,UFA,0,0,0,0,0,
Jamir Watkins,WAS,T,RFA,0,0,0,0,0,0,
Julian Reese,WAS,0,RFA,0,0,0,0,0,0,
Leaky Black,WAS,0,RFA,0,0,0,0,0,0,
Ricky Rubio,CLE,D,0,0,0,0,0,0.0,0.0,
JaVale McGee,DAL,D,D,0,0,0,0,0,0,
Olivier-Maxence Prosper,DAL,D,D,0,0,0,0,0,0,
Cole Anthony,MEM,D,D,0,0,0,0,0,0,
Mamadi Diakite,MEM,D,0,0,0,0,0,0,0,
Lillard Damian WAIVED,MIL,D,D,D,D,0,0,0.0,0.0,
Micic Vasilije WAIVED,MIL,D,D,0,0,0,0,0.0,0.0,
Bradley Beal,PHX,P,D,D,D,0,0,0.0,0.0,
Nassir Little,PHX,D,D,D,D,D,0,0.0,0.0,
E.J. Liddell,PHX,D,0,0,0,0,0,0.0,0.0,
Didi Louzada,POR,D,D,D,0,0,0,0.0,0.0,
