PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%,year,shot_type
Greivis Vasquez,TOR,27.0,7,6,21.3,2,13,15.4,23.1,1.6,0,1,0.0,19.7,2,12,16.7,2014,wide_open
Kyle Lowry,TOR,28.0,7,5,11.7,7,12,58.3,83.3,1.0,1,1,100,10.7,6,11,54.5,2014,wide_open
James Harden,HOU,24.0,6,5,9.8,6,12,50.0,66.7,3.3,2,4,50.0,6.6,4,8,50.0,2014,wide_open
Roy Hibbert,IND,27.0,19,8,9.2,6,12,50.0,50.0,8.4,6,11,54.5,0.8,0,1,0.0,2014,wide_open
Joakim Noah,CHI,29.0,5,5,31.6,6,12,50.0,50.0,31.6,6,12,50.0,0.0,0,0,-,2014,wide_open
Derek Fisher,OKC,39.0,19,8,16.9,5,12,41.7,58.3,1.4,1,1,100,15.5,4,11,36.4,2014,wide_open
Alan Anderson,BKN,31.0,12,6,20.3,4,12,33.3,41.7,5.1,2,3,66.7,15.3,2,9,22.2,2014,wide_open
Gerald Henderson,CHA,26.0,4,4,33.3,3,12,25.0,25.0,13.9,3,5,60.0,19.4,0,7,0.0,2014,wide_open
Josh McRoberts,CHA,27.0,4,4,34.4,6,11,54.5,77.3,6.3,1,2,50.0,28.1,5,9,55.6,2014,wide_open
Dirk Nowitzki,DAL,36.0,7,7,8.7,6,11,54.5,59.1,5.6,5,7,71.4,3.2,1,4,25.0,2014,wide_open
DeMarre Carroll,ATL,27.0,7,7,23.9,6,11,54.5,77.3,2.2,1,1,100,21.7,5,10,50.0,2014,wide_open
Mike Dunleavy,CHI,33.0,5,5,21.2,5,11,45.5,63.6,3.8,1,2,50.0,17.3,4,9,44.4,2014,wide_open
Kevin Garnett,BKN,38.0,12,6,18.0,4,11,36.4,36.4,14.8,4,9,44.4,3.3,0,2,0.0,2014,wide_open
Mo Williams,POR,31.0,8,5,19.6,2,11,18.2,18.2,8.9,2,5,40.0,10.7,0,6,0.0,2014,wide_open
Kemba Walker,CHA,24.0,4,4,18.9,5,10,50.0,70.0,3.8,1,2,50.0,15.1,4,8,50.0,2014,wide_open
Jose Calderon,DAL,32.0,7,5,13.8,5,9,55.6,77.8,4.6,1,3,33.3,9.2,4,6,66.7,2014,wide_open
Marcin Gortat,WAS,30.0,11,6,8.0,4,9,44.4,44.4,8.0,4,9,44.4,0.0,0,0,-,2014,wide_open
Danny Granger,LAC,31.0,13,6,26.5,1,9,11.1,11.1,8.8,1,3,33.3,17.6,0,6,0.0,2014,wide_open
DeAndre Jordan,LAC,25.0,13,6,13.1,6,8,75.0,75.0,13.1,6,8,75.0,0.0,0,0,-,2014,wide_open
Evan Turner,IND,25.0,12,6,24.2,4,8,50.0,75.0,3.0,0,1,0.0,21.2,4,7,57.1,2014,wide_open
Nick Collison,OKC,33.0,17,7,33.3,3,8,37.5,50.0,16.7,1,4,25.0,16.7,2,4,50.0,2014,wide_open
Chris Copeland,IND,30.0,12,4,32.0,3,8,37.5,56.3,0.0,0,0,-,32.0,3,8,37.5,2014,wide_open
Perry Jones III,OKC,22.0,11,4,47.1,2,8,25.0,31.3,5.9,1,1,100,41.2,1,7,14.3,2014,wide_open
Thomas Robinson,POR,23.0,11,6,28.6,2,8,25.0,25.0,28.6,2,8,25.0,0.0,0,0,-,2014,wide_open
Terrence Ross,TOR,23.0,7,4,18.2,1,8,12.5,12.5,4.5,1,2,50.0,13.6,0,6,0.0,2014,wide_open
Devin Harris,DAL,31.0,7,4,11.1,5,7,71.4,100.0,3.2,1,2,50.0,7.9,4,5,80.0,2014,wide_open
Cory Joseph,SAS,22.0,17,6,20.0,4,7,57.1,57.1,17.1,4,6,66.7,2.9,0,1,0.0,2014,wide_open
Will Barton,POR,23.0,7,4,20.6,4,7,57.1,78.6,5.9,1,2,50.0,14.7,3,5,60.0,2014,wide_open
Troy Daniels,HOU,22.0,4,3,46.7,4,7,57.1,85.7,0.0,0,0,-,46.7,4,7,57.1,2014,wide_open
Jeremy Lamb,OKC,22.0,11,6,17.1,3,7,42.9,50.0,4.9,2,2,100,12.2,1,5,20.0,2014,wide_open
Marcus Thornton,BKN,27.0,10,6,13.7,2,7,28.6,35.7,2.0,1,1,100,11.8,1,6,16.7,2014,wide_open
Al Harrington,WAS,34.0,7,4,46.7,2,7,28.6,28.6,13.3,2,2,100,33.3,0,5,0.0,2014,wide_open
Zach Randolph,MEM,32.0,6,5,7.8,2,7,28.6,28.6,6.7,2,6,33.3,1.1,0,1,0.0,2014,wide_open
Gary Neal,CHA,29.0,4,4,14.0,2,7,28.6,28.6,4.0,2,2,100,10.0,0,5,0.0,2014,wide_open
John Salmons,TOR,34.0,6,5,43.8,1,7,14.3,21.4,0.0,0,0,-,43.8,1,7,14.3,2014,wide_open
Tiago Splitter,SAS,29.0,23,5,6.7,5,6,83.3,83.3,5.6,5,5,100,1.1,0,1,0.0,2014,wide_open
Glen Davis,LAC,28.0,13,5,17.1,5,6,83.3,83.3,17.1,5,6,83.3,0.0,0,0,-,2014,wide_open
Vince Carter,DAL,37.0,7,4,9.2,4,6,66.7,100.0,0.0,0,0,-,9.2,4,6,66.7,2014,wide_open
Trevor Booker,WAS,26.0,9,5,23.1,3,6,50.0,50.0,19.2,3,5,60.0,3.8,0,1,0.0,2014,wide_open
Jeff Ayres,SAS,27.0,17,5,46.2,3,6,50.0,50.0,46.2,3,6,50.0,0.0,0,0,-,2014,wide_open
Hedo Turkoglu,LAC,35.0,5,3,46.2,2,6,33.3,50.0,0.0,0,0,-,46.2,2,6,33.3,2014,wide_open
Steve Blake,GSW,34.0,6,3,50.0,2,6,33.3,50.0,0.0,0,0,-,50.0,2,6,33.3,2014,wide_open
Chris Andersen,MIA,35.0,18,5,12.2,2,6,33.3,33.3,12.2,2,6,33.3,0.0,0,0,-,2014,wide_open
Marreese Speights,GSW,26.0,7,5,17.6,2,6,33.3,33.3,17.6,2,6,33.3,0.0,0,0,-,2014,wide_open
Jae Crowder,DAL,23.0,7,4,37.5,2,6,33.3,50.0,0.0,0,0,-,37.5,2,6,33.3,2014,wide_open
Lou Williams,ATL,27.0,7,5,13.0,2,6,33.3,50.0,0.0,0,0,-,13.0,2,6,33.3,2014,wide_open
Carlos Boozer,CHI,32.0,5,3,15.0,1,6,16.7,16.7,15.0,1,6,16.7,0.0,0,0,-,2014,wide_open
David Lee,GSW,31.0,7,5,8.1,3,5,60.0,60.0,8.1,3,5,60.0,0.0,0,0,-,2014,wide_open
Dwight Howard,HOU,28.0,6,4,5.4,3,5,60.0,60.0,5.4,3,5,60.0,0.0,0,0,-,2014,wide_open
D.J. Augustin,CHI,26.0,5,4,7.9,2,5,40.0,50.0,1.6,1,1,100,6.3,1,4,25.0,2014,wide_open
Jordan Crawford,GSW,25.0,6,3,15.2,2,5,40.0,50.0,9.1,1,3,33.3,6.1,1,2,50.0,2014,wide_open
Dorell Wright,POR,28.0,8,4,29.4,1,5,20.0,30.0,0.0,0,0,-,29.4,1,5,20.0,2014,wide_open
Amir Johnson,TOR,27.0,7,4,10.2,1,5,20.0,20.0,6.1,1,3,33.3,4.1,0,2,0.0,2014,wide_open
DeMar DeRozan,TOR,24.0,7,4,3.5,2,4,50.0,50.0,2.6,2,3,66.7,0.9,0,1,0.0,2014,wide_open
Kendrick Perkins,OKC,29.0,19,2,10.0,2,4,50.0,50.0,10.0,2,4,50.0,0.0,0,0,-,2014,wide_open
James Johnson,MEM,27.0,3,2,33.3,2,4,50.0,75.0,0.0,0,0,-,33.3,2,4,50.0,2014,wide_open
Toney Douglas,MIA,28.0,10,4,50.0,2,4,50.0,75.0,12.5,0,1,0.0,37.5,2,3,66.7,2014,wide_open
Jon Leuer,MEM,25.0,3,2,57.1,2,4,50.0,62.5,28.6,1,2,50.0,28.6,1,2,50.0,2014,wide_open
Ian Mahinmi,IND,27.0,19,4,16.7,1,4,25.0,25.0,16.7,1,4,25.0,0.0,0,0,-,2014,wide_open
Jonas Valanciunas,TOR,22.0,7,2,8.5,1,4,25.0,25.0,8.5,1,4,25.0,0.0,0,0,-,2014,wide_open
Al Jefferson,CHA,29.0,3,2,5.9,3,3,100.0,100.0,5.9,3,3,100,0.0,0,0,-,2014,wide_open
Jermaine O'Neal,GSW,35.0,7,3,10.0,3,3,100.0,100.0,10.0,3,3,100,0.0,0,0,-,2014,wide_open
Udonis Haslem,MIA,34.0,16,3,9.4,1,3,33.3,33.3,9.4,1,3,33.3,0.0,0,0,-,2014,wide_open
Jared Dudley,LAC,28.0,7,2,27.3,1,3,33.3,50.0,9.1,0,1,0.0,18.2,1,2,50.0,2014,wide_open
CJ McCollum,POR,22.0,6,2,27.3,0,3,0.0,0.0,0.0,0,0,-,27.3,0,3,0.0,2014,wide_open
Elton Brand,ATL,35.0,7,2,25.0,0,3,0.0,0.0,25.0,0,3,0.0,0.0,0,0,-,2014,wide_open
Tony Snell,CHI,22.0,5,2,33.3,0,3,0.0,0.0,0.0,0,0,-,33.3,0,3,0.0,2014,wide_open
Rasual Butler,IND,35.0,11,2,13.3,2,2,100.0,150.0,0.0,0,0,-,13.3,2,2,100,2014,wide_open
Chris Douglas-Roberts,CHA,27.0,4,2,13.3,2,2,100.0,150.0,0.0,0,0,-,13.3,2,2,100,2014,wide_open
Shaun Livingston,BKN,28.0,12,2,2.5,2,2,100.0,100.0,2.5,2,2,100,0.0,0,0,-,2014,wide_open
Garrett Temple,WAS,28.0,10,2,100.0,2,2,100.0,125.0,50.0,1,1,100,50.0,1,1,100,2014,wide_open
Brandan Wright,DAL,26.0,6,2,11.1,2,2,100.0,100.0,11.1,2,2,100,0.0,0,0,-,2014,wide_open
Michael Kidd-Gilchrist,CHA,20.0,4,2,10.0,1,2,50.0,50.0,5.0,1,1,100,5.0,0,1,0.0,2014,wide_open
Wayne Ellington,DAL,26.0,2,2,33.3,1,2,50.0,75.0,0.0,0,0,-,33.3,1,2,50.0,2014,wide_open
Terrence Jones,HOU,22.0,6,2,6.3,1,2,50.0,50.0,3.1,1,1,100,3.1,0,1,0.0,2014,wide_open
Luke Ridnour,CHA,33.0,4,1,15.4,1,2,50.0,75.0,7.7,0,1,0.0,7.7,1,1,100,2014,wide_open
Willie Green,LAC,32.0,5,2,40.0,0,2,0.0,0.0,20.0,0,1,0.0,20.0,0,1,0.0,2014,wide_open
Andray Blatche,BKN,27.0,12,2,3.8,0,2,0.0,0.0,1.9,0,1,0.0,1.9,0,1,0.0,2014,wide_open
Samuel Dalembert,DAL,34.0,7,2,11.1,0,2,0.0,0.0,11.1,0,2,0.0,0.0,0,0,-,2014,wide_open
Donald Sloan,IND,26.0,4,1,14.3,1,1,100.0,150.0,0.0,0,0,-,14.3,1,1,100,2014,wide_open
Lavoy Allen,IND,25.0,4,1,25.0,1,1,100.0,100.0,25.0,1,1,100,0.0,0,0,-,2014,wide_open
Andrei Kirilenko,BKN,33.0,10,1,8.3,1,1,100.0,100.0,8.3,1,1,100,0.0,0,0,-,2014,wide_open
Mike Muscala,ATL,22.0,2,1,50.0,0,1,0.0,0.0,50.0,0,1,0.0,0.0,0,0,-,2014,wide_open
Joel Freeland,POR,27.0,9,1,33.3,0,1,0.0,0.0,33.3,0,1,0.0,0.0,0,0,-,2014,wide_open
Taj Gibson,CHI,29.0,5,1,1.9,0,1,0.0,0.0,1.9,0,1,0.0,0.0,0,0,-,2014,wide_open
Kosta Koufos,MEM,25.0,7,1,7.1,0,1,0.0,0.0,7.1,0,1,0.0,0.0,0,0,-,2014,wide_open
Francisco Garcia,HOU,32.0,2,1,16.7,0,1,0.0,0.0,0.0,0,0,-,16.7,0,1,0.0,2014,wide_open
Andre Miller,WAS,38.0,11,1,2.9,0,1,0.0,0.0,0.0,0,0,-,2.9,0,1,0.0,2014,wide_open
Landry Fields,TOR,26.0,3,1,50.0,0,1,0.0,0.0,50.0,0,1,0.0,0.0,0,0,-,2014,wide_open
Andre Roberson,OKC,22.0,2,1,50.0,0,1,0.0,0.0,50.0,0,1,0.0,0.0,0,0,-,2014,wide_open
Steve Novak,TOR,31.0,4,1,33.3,0,1,0.0,0.0,0.0,0,0,-,33.3,0,1,0.0,2014,wide_open
Anthony Tolliver,CHA,29.0,4,1,50.0,0,1,0.0,0.0,0.0,0,0,-,50.0,0,1,0.0,2014,wide_open
Steven Adams,OKC,20.0,18,1,2.3,0,1,0.0,0.0,2.3,0,1,0.0,0.0,0,0,-,2014,wide_open
LeBron James,MIA,29.0,20,20,35.6,60,118,50.8,58.9,20.8,41,69,59.4,14.8,19,49,38.8,2014,open
Tony Parker,SAS,32.0,23,22,30.4,53,101,52.5,55.0,28.3,48,94,51.1,2.1,5,7,71.4,2014,open
Russell Westbrook,OKC,25.0,19,18,24.8,38,95,40.0,44.2,17.0,30,65,46.2,7.8,8,30,26.7,2014,open
Paul George,IND,24.0,19,19,31.4,39,94,41.5,54.3,12.7,15,38,39.5,18.7,24,56,42.9,2014,open
Kevin Durant,OKC,25.0,19,19,19.9,36,82,43.9,53.7,10.7,20,44,45.5,9.2,16,38,42.1,2014,open
Kawhi Leonard,SAS,23.0,23,22,30.7,31,71,43.7,51.4,19.5,20,45,44.4,11.3,11,26,42.3,2014,open
Manu Ginobili,SAS,36.0,23,21,30.8,29,70,41.4,52.1,11.9,14,27,51.9,18.9,15,43,34.9,2014,open
Dwyane Wade,MIA,32.0,20,20,25.7,39,69,56.5,60.9,20.8,33,56,58.9,4.8,6,13,46.2,2014,open
Chris Paul,LAC,29.0,13,13,35.1,34,67,50.7,59.0,19.9,23,38,60.5,15.2,11,29,37.9,2014,open
David West,IND,33.0,19,19,27.2,34,64,53.1,53.1,26.0,34,61,55.7,1.3,0,3,0.0,2014,open
Chris Bosh,MIA,30.0,20,17,28.4,34,64,53.1,60.9,18.2,24,41,58.5,10.2,10,23,43.5,2014,open
Lance Stephenson,IND,23.0,19,18,30.9,34,64,53.1,61.7,19.3,23,40,57.5,11.6,11,24,45.8,2014,open
Bradley Beal,WAS,21.0,11,11,35.3,20,59,33.9,39.8,22.2,13,37,35.1,13.2,7,22,31.8,2014,open
Danny Green,SAS,27.0,23,18,34.7,32,52,61.5,84.6,8.0,8,12,66.7,26.7,24,40,60.0,2014,open
Jamal Crawford,LAC,34.0,13,13,32.1,24,52,46.2,57.7,11.1,12,18,66.7,21.0,12,34,35.3,2014,open
Deron Williams,BKN,30.0,12,12,36.6,20,52,38.5,44.2,21.8,14,31,45.2,14.8,6,21,28.6,2014,open
Patty Mills,SAS,25.0,23,19,37.5,24,51,47.1,58.8,15.4,12,21,57.1,22.1,12,30,40.0,2014,open
Paul Pierce,BKN,36.0,12,11,39.7,19,50,38.0,47.0,19.8,10,25,40.0,19.8,9,25,36.0,2014,open
Joe Johnson,BKN,33.0,12,12,27.5,25,49,51.0,58.2,14.6,18,26,69.2,12.9,7,23,30.4,2014,open
Nicolas Batum,POR,25.0,11,11,34.3,25,48,52.1,61.5,17.1,16,24,66.7,17.1,9,24,37.5,2014,open
Wesley Matthews,POR,27.0,11,11,36.2,19,47,40.4,52.1,12.3,8,16,50.0,23.8,11,31,35.5,2014,open
John Wall,WAS,23.0,11,11,29.3,14,46,30.4,32.6,21.7,12,34,35.3,7.6,2,12,16.7,2014,open
JJ Redick,LAC,30.0,13,13,34.9,22,45,48.9,58.9,17.8,13,23,56.5,17.1,9,22,40.9,2014,open
Damian Lillard,POR,23.0,11,11,26.0,21,45,46.7,58.9,12.1,10,21,47.6,13.9,11,24,45.8,2014,open
Serge Ibaka,OKC,24.0,17,16,31.0,26,44,59.1,61.4,28.2,24,40,60.0,2.8,2,4,50.0,2014,open
LaMarcus Aldridge,POR,28.0,11,11,18.1,16,44,36.4,36.4,18.1,16,44,36.4,0.0,0,0,-,2014,open
Stephen Curry,GSW,26.0,7,7,38.7,22,43,51.2,65.1,16.2,10,18,55.6,22.5,12,25,48.0,2014,open
George Hill,IND,28.0,19,17,26.2,22,43,51.2,60.5,13.4,14,22,63.6,12.8,8,21,38.1,2014,open
James Harden,HOU,24.0,6,6,34.4,16,42,38.1,47.6,13.1,8,16,50.0,21.3,8,26,30.8,2014,open
Blake Griffin,LAC,25.0,13,12,18.8,15,42,35.7,35.7,17.0,15,38,39.5,1.8,0,4,0.0,2014,open
Ray Allen,MIA,38.0,20,18,29.5,16,41,39.0,50.0,9.4,7,13,53.8,20.1,9,28,32.1,2014,open
Luis Scola,IND,34.0,18,13,36.9,15,38,39.5,40.8,35.0,14,36,38.9,1.9,1,2,50.0,2014,open
Trevor Ariza,WAS,28.0,11,11,35.6,16,37,43.2,56.8,12.5,6,13,46.2,23.1,10,24,41.7,2014,open
Tim Duncan,SAS,38.0,23,17,13.7,20,36,55.6,55.6,13.7,20,36,55.6,0.0,0,0,-,2014,open
Reggie Jackson,OKC,24.0,19,19,24.0,14,36,38.9,45.8,13.3,9,20,45.0,10.7,5,16,31.3,2014,open
Darren Collison,LAC,26.0,13,12,43.6,14,34,41.2,42.6,37.2,13,29,44.8,6.4,1,5,20.0,2014,open
Jeff Teague,ATL,26.0,7,7,34.0,11,34,32.4,35.3,26.0,9,26,34.6,8.0,2,8,25.0,2014,open
