Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Myles Turner,IND,27,2,2,0,24.9,22.0,7.0,12.5,56.0,2.5,4.5,55.6,5.5,7.0,78.6,1.0,5.0,6.0,0.0,2.0,1.5,1.5,5.0,36.2,0.0,0.0,8.0
D'Angelo Russell,LAL,27,2,2,0,27.7,21.5,7.0,12.0,58.3,3.0,5.5,54.5,4.5,6.0,75.0,0.0,3.0,3.0,7.0,0.5,0.0,0.5,2.0,36.6,0.0,0.0,13.0
P.J. Washington,CHA,25,2,1,1,37.1,21.5,8.5,19.0,44.7,3.0,8.5,35.3,1.5,2.0,75.0,2.5,5.5,8.0,2.5,1.5,0.5,0.0,0.5,34.9,1.0,0.0,-1.5
Paul George,LAC,33,2,0,2,31.5,21.5,8.0,19.0,42.1,2.5,9.0,27.8,3.0,3.0,100.0,0.0,5.0,5.0,2.5,1.5,2.0,0.0,3.5,35.8,0.0,0.0,-9.5
Zion Williamson,NOP,23,2,1,1,30.4,21.5,8.0,15.5,51.6,0.0,0.0,0.0,5.5,9.0,61.1,2.5,5.0,7.5,3.0,3.5,1.0,0.5,4.0,36.0,0.0,0.0,6.0
Franz Wagner,ORL,22,1,0,1,35.9,21.0,8.0,16.0,50.0,3.0,8.0,37.5,2.0,3.0,66.7,3.0,5.0,8.0,5.0,0.0,0.0,0.0,2.0,38.1,0.0,0.0,-8.0
Dario Saric,GSW,29,2,1,1,26.0,20.5,6.0,12.0,50.0,3.5,9.0,38.9,5.0,5.0,100.0,1.0,4.0,5.0,3.5,1.5,1.5,0.0,3.0,34.8,0.0,0.0,-1.0
Devin Vassell,SAS,23,2,0,2,29.7,20.5,6.5,14.0,46.4,3.5,6.5,53.8,4.0,5.5,72.7,0.0,3.0,3.0,4.0,1.0,1.5,0.5,1.0,35.1,0.0,0.0,-9.0
Kawhi Leonard,LAC,32,2,0,2,33.5,20.5,6.5,14.5,44.8,2.0,3.5,57.1,5.5,6.0,91.7,0.5,2.0,2.5,3.0,2.5,2.5,0.0,1.5,33.0,0.0,0.0,-4.0
De'Anthony Melton,PHI,25,2,1,1,32.4,20.0,5.5,11.0,50.0,3.0,6.0,50.0,6.0,7.0,85.7,0.5,3.0,3.5,2.5,1.0,2.0,0.5,4.0,34.5,0.0,0.0,3.0
Fred VanVleet,HOU,29,1,1,0,40.5,20.0,7.0,15.0,46.7,4.0,9.0,44.4,2.0,2.0,100.0,1.0,2.0,3.0,8.0,1.0,1.0,1.0,2.0,40.6,0.0,0.0,-8.0
Bam Adebayo,MIA,26,2,2,0,33.0,19.5,8.0,15.5,51.6,0.0,0.0,0.0,3.5,4.0,87.5,0.0,7.5,7.5,3.5,2.5,1.5,0.5,3.0,37.3,1.0,0.0,3.5
Jordan Hawkins,NOP,21,2,1,1,37.0,19.5,6.0,14.0,42.9,4.0,10.0,40.0,3.5,4.0,87.5,1.0,5.5,6.5,2.0,1.5,1.0,0.0,4.5,31.8,0.0,0.0,7.0
Kyle Kuzma,WAS,28,2,0,2,30.1,19.5,7.5,18.0,41.7,3.0,7.0,42.9,1.5,1.5,100.0,1.0,4.0,5.0,2.0,4.0,0.0,0.0,2.0,24.5,0.0,0.0,-19.5
Shaedon Sharpe,POR,20,2,1,1,43.7,19.5,5.5,16.5,33.3,2.0,7.5,26.7,6.5,8.5,76.5,1.5,5.0,6.5,4.5,3.0,1.5,0.5,2.5,37.1,0.0,0.0,-5.5
Aaron Gordon,DEN,28,2,2,0,37.3,19.0,8.0,14.5,55.2,1.5,4.0,37.5,1.5,1.5,100.0,1.5,5.0,6.5,5.5,3.5,1.0,0.5,1.5,36.1,0.0,0.0,12.0
Deandre Ayton,POR,25,2,1,1,35.4,19.0,8.5,14.0,60.7,0.0,0.0,0.0,2.0,2.0,100.0,4.5,6.5,11.0,2.5,1.5,1.5,0.5,2.5,40.5,2.0,0.0,2.5
Herbert Jones,NOP,25,1,1,0,30.6,19.0,6.0,8.0,75.0,2.0,4.0,50.0,5.0,6.0,83.3,1.0,3.0,4.0,4.0,2.0,5.0,2.0,5.0,48.8,0.0,0.0,8.0
Paolo Banchero,ORL,21,1,0,1,35.4,19.0,6.0,15.0,40.0,4.0,7.0,57.1,3.0,6.0,50.0,0.0,6.0,6.0,3.0,2.0,2.0,1.0,0.0,37.7,0.0,0.0,-16.0
Saddiq Bey,ATL,24,1,1,0,27.4,19.0,6.0,13.0,46.2,2.0,7.0,28.6,5.0,6.0,83.3,1.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,34.8,0.0,0.0,5.0
Anthony Davis,LAL,30,2,2,0,31.4,18.5,6.0,12.5,48.0,0.0,0.0,0.0,6.5,7.0,92.9,4.0,7.0,11.0,4.5,1.5,0.0,3.5,2.0,47.5,2.0,0.0,8.0
Victor Wembanyama,SAS,19,2,0,2,31.6,18.5,8.0,18.0,44.4,1.5,5.0,30.0,1.0,2.0,50.0,2.0,9.5,11.5,3.0,4.0,0.5,3.0,3.5,43.3,0.0,0.0,-14.0
Coby White,CHI,23,1,0,1,35.4,18.0,7.0,17.0,41.2,2.0,8.0,25.0,2.0,2.0,100.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,25.6,0.0,0.0,3.0
Duncan Robinson,MIA,29,2,2,0,32.6,18.0,6.5,12.0,54.2,4.0,9.0,44.4,1.0,1.0,100.0,0.0,4.5,4.5,5.5,1.5,1.0,0.5,1.0,34.7,0.0,0.0,1.5
Jamal Murray,DEN,26,1,1,0,39.3,18.0,5.0,15.0,33.3,2.0,6.0,33.3,6.0,6.0,100.0,0.0,2.0,2.0,13.0,2.0,1.0,0.0,4.0,40.9,1.0,0.0,2.0
Mikal Bridges,BKN,27,3,2,1,31.2,17.7,7.0,15.0,46.7,2.3,6.3,36.8,1.3,2.0,66.7,0.3,3.7,4.0,2.7,2.7,1.3,0.0,1.3,27.8,0.0,0.0,-2.3
James Harden,LAC,34,2,0,2,32.3,17.5,5.0,10.5,47.6,2.5,5.5,45.5,5.0,5.0,100.0,0.0,3.5,3.5,3.5,1.5,1.0,0.0,1.5,28.5,0.0,0.0,-4.5
Jaren Jackson Jr.,MEM,24,3,0,3,27.7,17.3,7.0,15.3,45.7,2.3,5.3,43.8,1.0,2.0,50.0,2.0,3.3,5.3,2.3,2.3,0.3,1.3,1.7,29.9,1.0,0.0,-8.0
Bogdan Bogdanovic,ATL,31,1,1,0,33.9,17.0,7.0,17.0,41.2,3.0,11.0,27.3,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,25.1,0.0,0.0,5.0
Bones Hyland,LAC,23,1,0,1,28.8,17.0,5.0,9.0,55.6,1.0,5.0,20.0,6.0,6.0,100.0,1.0,3.0,4.0,6.0,2.0,1.0,0.0,5.0,31.8,0.0,0.0,8.0
Cam Thomas,BKN,22,1,1,0,30.9,17.0,6.0,18.0,33.3,3.0,9.0,33.3,2.0,2.0,100.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,32.0,0.0,0.0,-5.0
Domantas Sabonis,SAC,27,1,1,0,38.2,17.0,7.0,15.0,46.7,0.0,0.0,0.0,3.0,6.0,50.0,6.0,7.0,13.0,13.0,5.0,1.0,2.0,5.0,56.1,1.0,1.0,11.0
Michael Porter Jr.,DEN,25,2,2,0,34.4,17.0,7.0,14.5,48.3,3.0,8.0,37.5,0.0,1.0,0.0,3.0,4.0,7.0,0.5,1.5,0.5,1.5,2.5,30.7,0.0,0.0,10.5
Quentin Grimes,NYK,23,1,0,1,33.6,17.0,6.0,11.0,54.5,5.0,10.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,23.8,0.0,0.0,3.0
Spencer Dinwiddie,BKN,30,3,2,1,29.5,17.0,5.7,10.7,53.1,3.3,6.7,50.0,2.3,3.3,70.0,0.3,3.7,4.0,7.3,2.0,0.7,0.0,1.7,32.8,0.0,0.0,8.7
Ausar Thompson,DET,20,2,0,2,33.6,16.5,7.5,11.5,65.2,0.0,1.0,0.0,1.5,3.5,42.9,2.0,8.5,10.5,4.5,2.0,2.0,2.5,3.5,47.4,1.0,0.0,-1.0
Bruce Brown,IND,27,2,2,0,36.6,16.5,6.5,13.0,50.0,1.5,4.0,37.5,2.0,2.0,100.0,0.5,5.5,6.0,2.5,1.0,0.5,0.0,3.0,28.0,0.0,0.0,9.0
Jordan Poole,WAS,24,2,0,2,29.8,16.5,7.0,14.0,50.0,2.0,4.5,44.4,0.5,1.0,50.0,0.0,1.5,1.5,6.0,2.5,2.0,0.0,3.5,30.8,0.0,0.0,-19.0
Obi Toppin,IND,25,2,2,0,28.6,16.5,7.5,10.5,71.4,0.5,2.0,25.0,1.0,2.0,50.0,1.0,4.0,5.0,1.0,0.0,0.0,0.5,1.5,25.5,0.0,0.0,6.5
Josh Giddey,OKC,21,3,1,2,27.3,16.3,7.0,12.0,58.3,0.0,2.0,0.0,2.3,2.7,87.5,0.7,4.7,5.3,5.3,4.3,0.0,0.7,1.0,28.4,0.0,0.0,1.7
Alec Burks,DET,32,1,0,1,23.4,16.0,4.0,12.0,33.3,4.0,9.0,44.4,4.0,4.0,100.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,3.0,27.9,0.0,0.0,-16.0
De'Andre Hunter,ATL,25,1,1,0,34.7,16.0,6.0,14.0,42.9,2.0,5.0,40.0,2.0,3.0,66.7,2.0,3.0,5.0,5.0,1.0,1.0,0.0,3.0,31.5,0.0,0.0,2.0
Jalen Johnson,ATL,21,1,1,0,35.6,16.0,6.0,9.0,66.7,2.0,2.0,100.0,2.0,2.0,100.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,27.5,0.0,0.0,0.0
John Collins,UTA,26,2,2,0,35.0,16.0,5.5,11.0,50.0,2.5,4.0,62.5,2.5,3.5,71.4,2.0,4.5,6.5,1.0,2.0,0.5,3.5,2.5,35.3,1.0,0.0,7.0
Julius Randle,NYK,28,1,0,1,39.0,16.0,5.0,20.0,25.0,1.0,9.0,11.1,5.0,9.0,55.6,4.0,8.0,12.0,5.0,1.0,2.0,0.0,4.0,42.9,1.0,0.0,-5.0
Mark Williams,CHA,21,2,1,1,26.4,16.0,7.5,13.0,57.7,0.0,0.0,0.0,1.0,3.0,33.3,9.5,6.0,15.5,1.5,0.0,0.5,0.0,1.0,38.4,1.0,0.0,4.0
Naji Marshall,NOP,25,1,1,0,20.6,16.0,5.0,9.0,55.6,1.0,4.0,25.0,5.0,5.0,100.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,31.8,0.0,0.0,2.0
Austin Reaves,LAL,25,2,2,0,32.3,15.5,5.5,10.0,55.0,3.0,4.0,75.0,1.5,2.0,75.0,1.0,5.5,6.5,7.0,2.5,0.5,0.0,0.5,32.8,1.0,0.0,5.5
Cameron Johnson,BKN,27,2,1,1,27.2,15.5,5.5,12.0,45.8,3.0,6.5,46.2,1.5,2.0,75.0,1.5,3.5,5.0,1.0,1.0,1.5,0.0,2.0,26.5,0.0,0.0,-0.5
Killian Hayes,DET,22,2,0,2,30.6,15.5,5.5,12.5,44.0,1.5,4.5,33.3,3.0,4.5,66.7,0.0,4.0,4.0,5.5,1.5,1.5,1.0,1.5,34.6,0.0,0.0,1.5
Cade Cunningham,DET,22,2,0,2,36.7,15.0,6.0,16.0,37.5,1.0,4.0,25.0,2.0,2.0,100.0,1.0,2.5,3.5,9.5,5.0,1.5,0.0,4.0,33.0,0.0,0.0,-8.0
Chet Holmgren,OKC,21,3,1,2,30.4,15.0,5.0,10.3,48.4,1.0,3.3,30.0,4.0,4.3,92.3,1.3,6.0,7.3,3.0,2.7,1.3,1.0,2.7,32.6,0.0,0.0,5.3
Corey Kispert,WAS,24,1,0,1,16.4,15.0,5.0,6.0,83.3,3.0,3.0,100.0,2.0,2.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,19.8,0.0,0.0,-6.0
Rui Hachimura,LAL,25,2,2,0,22.1,15.0,5.5,8.0,68.8,2.0,3.0,66.7,2.0,2.5,80.0,0.0,3.0,3.0,0.5,3.0,2.0,0.5,2.5,23.9,0.0,0.0,6.0
Sam Hauser,BOS,25,1,1,0,24.6,15.0,5.0,10.0,50.0,5.0,10.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,18.9,0.0,0.0,-1.0
Santi Aldama,MEM,22,2,0,2,19.1,15.0,5.5,9.0,61.1,2.0,4.5,44.4,2.0,3.5,57.1,0.0,3.5,3.5,2.0,1.5,0.0,1.0,0.5,23.7,0.0,0.0,-5.0
Jalen Williams,OKC,22,3,1,2,30.0,14.3,6.3,11.7,54.3,0.3,2.0,16.7,1.3,2.3,57.1,0.3,3.0,3.3,4.3,4.0,0.7,0.0,3.3,22.8,0.0,0.0,3.0
Luguentz Dort,OKC,24,3,1,2,26.4,14.3,4.3,7.7,56.5,3.0,4.0,75.0,2.7,3.7,72.7,1.7,3.0,4.7,0.7,1.0,1.3,0.7,3.3,25.9,0.0,0.0,2.0
Tim Hardaway Jr.,DAL,31,3,1,2,25.0,14.3,4.7,10.7,43.8,2.0,7.3,27.3,3.0,3.0,100.0,0.0,2.0,2.0,2.0,1.0,0.3,0.0,1.7,19.7,0.0,0.0,-5.3
Darius Garland,CLE,23,1,0,1,32.0,14.0,5.0,11.0,45.5,0.0,2.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,1.0,28.0,0.0,0.0,-10.0
Evan Mobley,CLE,22,1,0,1,35.9,14.0,7.0,13.0,53.8,0.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,5.0,2.0,3.0,4.0,2.0,52.5,1.0,0.0,11.0
Goga Bitadze,ORL,24,1,0,1,24.4,14.0,6.0,7.0,85.7,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,4.0,25.1,0.0,0.0,-14.0
Immanuel Quickley,NYK,24,1,0,1,21.8,14.0,5.0,10.0,50.0,1.0,3.0,33.3,3.0,3.0,100.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,18.1,0.0,0.0,-1.0
Jae Crowder,MIL,33,1,1,0,23.7,14.0,5.0,8.0,62.5,4.0,6.0,66.7,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,1.0,27.2,0.0,0.0,3.0
Jusuf Nurkic,PHX,29,1,0,1,32.7,14.0,4.0,8.0,50.0,2.0,3.0,66.7,4.0,7.0,57.1,3.0,6.0,9.0,7.0,2.0,1.0,0.0,3.0,36.3,0.0,0.0,5.0
Lonnie Walker IV,BKN,24,3,2,1,18.5,14.0,5.7,10.3,54.8,2.3,4.7,50.0,0.3,0.3,100.0,0.0,3.3,3.3,2.0,0.7,0.7,0.7,0.7,24.3,0.0,0.0,5.0
Marvin Bagley III,DET,24,2,0,2,21.8,14.0,6.0,8.0,75.0,0.0,0.0,0.0,2.0,2.0,100.0,4.0,4.0,8.0,1.0,2.5,0.0,0.5,2.0,24.1,1.0,0.0,3.0
Trendon Watford,BKN,23,1,0,1,27.2,14.0,6.0,11.0,54.5,0.0,1.0,0.0,2.0,2.0,100.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,4.0,29.9,0.0,0.0,1.0
Cam Reddish,LAL,24,2,2,0,26.2,13.5,4.0,8.5,47.1,4.0,6.5,61.5,1.5,2.0,75.0,0.5,1.5,2.0,1.0,0.0,1.5,0.0,2.5,21.9,0.0,0.0,11.5
David Roddy,MEM,22,3,0,3,27.4,13.3,5.7,13.3,42.5,1.0,5.7,17.6,1.0,1.3,75.0,1.0,2.0,3.0,1.0,0.7,0.7,0.7,2.3,21.8,0.0,0.0,-8.7
Andrew Wiggins,GSW,28,2,1,1,27.1,13.0,5.0,13.0,38.5,0.5,4.0,12.5,2.5,4.0,62.5,3.0,3.0,6.0,0.5,2.0,1.5,0.5,3.0,25.0,0.0,0.0,-6.0
Brook Lopez,MIL,35,1,1,0,35.5,13.0,4.0,15.0,26.7,4.0,10.0,40.0,1.0,2.0,50.0,0.0,5.0,5.0,0.0,1.0,1.0,8.0,2.0,45.0,0.0,0.0,1.0
Caris LeVert,CLE,29,1,0,1,30.4,13.0,5.0,12.0,41.7,0.0,4.0,0.0,3.0,4.0,75.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,27.0,0.0,0.0,-1.0
Eric Gordon,PHX,34,1,0,1,27.8,13.0,5.0,9.0,55.6,3.0,4.0,75.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,26.4,0.0,0.0,3.0
Jaime Jaquez Jr.,MIA,22,2,2,0,27.3,13.0,6.0,9.0,66.7,0.5,2.0,25.0,0.5,0.5,100.0,3.5,1.5,5.0,2.0,0.5,0.5,0.0,2.0,23.0,0.0,0.0,4.5
Jrue Holiday,BOS,33,1,1,0,32.8,13.0,6.0,14.0,42.9,1.0,5.0,20.0,0.0,0.0,0.0,3.0,9.0,12.0,9.0,0.0,2.0,0.0,2.0,46.9,1.0,0.0,26.0
Julian Champagnie,SAS,22,1,0,1,30.7,13.0,4.0,14.0,28.6,3.0,7.0,42.9,2.0,2.0,100.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,0.0,40.1,0.0,0.0,-21.0
MarJon Beauchamp,MIL,23,1,1,0,13.1,13.0,5.0,7.0,71.4,3.0,5.0,60.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,18.4,0.0,0.0,5.0
Nikola Vucevic,CHI,33,1,0,1,35.7,13.0,6.0,13.0,46.2,1.0,1.0,100.0,0.0,0.0,0.0,6.0,7.0,13.0,3.0,0.0,0.0,0.0,1.0,33.1,1.0,0.0,8.0
Payton Pritchard,BOS,25,1,1,0,30.5,13.0,5.0,10.0,50.0,2.0,7.0,28.6,1.0,2.0,50.0,4.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,26.5,0.0,0.0,9.0
Reggie Jackson,DEN,33,2,2,0,24.7,13.0,5.0,10.5,47.6,0.5,2.5,20.0,2.5,4.0,62.5,0.0,2.0,2.0,3.0,2.5,2.0,0.5,2.0,24.9,0.0,0.0,7.0
Deni Avdija,WAS,22,2,0,2,27.3,12.5,5.5,8.5,64.7,1.0,3.0,33.3,0.5,1.0,50.0,0.5,4.5,5.0,4.0,2.5,0.5,0.5,1.5,25.0,0.0,0.0,-2.5
Nick Richards,CHA,25,2,1,1,21.6,12.5,3.5,3.5,100.0,0.0,0.0,0.0,5.5,7.0,78.6,2.0,7.5,9.5,0.5,2.0,1.0,0.5,4.5,27.2,1.0,0.0,-3.5
