PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%,Percentile
Josh Hart,POR,16,56,34.8,1.13,63,23,43,53.5,54.7,21.0,9.0,21.0,7.0,55.0,54.7
Andrew Wiggins,GSW,16,55,20.5,1.2,66,24,49,49.0,58.2,11.0,4.0,11.0,4.0,51.0,65.0
Tyrese Maxey,PHI,15,53,16.0,1.68,89,31,42,73.8,83.3,25.0,2.0,23.0,6.0,77.0,98.5
Jaylen Nowell,MIN,16,53,29.8,1.25,66,25,44,56.8,64.8,13.0,8.0,11.0,4.0,55.0,71.3
Bol Bol,ORL,17,52,26.5,1.21,63,25,40,62.5,66.3,13.0,15.0,13.0,6.0,56.0,66.8
Klay Thompson,GSW,14,52,20.3,1.14,59,22,47,46.8,60.6,2.0,8.0,0.0,0.0,44.0,56.3
Saddiq Bey,DET,17,51,20.6,1.39,71,23,36,63.9,69.4,24.0,12.0,24.0,6.0,63.0,89.2
Ayo Dosunmu,CHI,15,51,29.7,1.18,60,23,41,56.1,61.0,12.0,8.0,8.0,0.0,57.0,62.2
Kevin Porter Jr.,HOU,16,51,14.3,1.06,54,23,39,59.0,59.0,18.0,16.0,16.0,10.0,53.0,43.2
Paolo Banchero,ORL,11,51,19.1,1.04,53,15,30,50.0,51.7,27.0,16.0,24.0,2.0,55.0,39.2
Karl-Anthony Towns,MIN,16,50,16.0,1.38,69,27,42,64.3,72.6,12.0,12.0,12.0,8.0,58.0,88.1
Jordan Clarkson,UTA,18,49,14.1,1.39,68,24,42,57.1,76.2,6.0,12.0,6.0,4.0,51.0,88.4
Zach LaVine,CHI,12,49,19.2,1.31,64,21,37,56.8,68.9,18.0,10.0,16.0,4.0,57.0,82.8
Jalen Green,HOU,17,49,12.8,1.02,50,17,34,50.0,52.9,16.0,14.0,16.0,0.0,51.0,35.6
Dillon Brooks,MEM,14,49,18.6,1.02,50,21,44,47.7,54.5,2.0,8.0,2.0,0.0,45.0,35.6
Jerami Grant,POR,15,49,18.4,0.94,46,15,34,44.1,50.0,18.0,12.0,22.0,4.0,45.0,23.9
Tim Hardaway Jr.,DAL,15,48,24.7,1.02,49,17,39,43.6,52.6,10.0,12.0,10.0,4.0,42.0,36.2
