PLAYER_ID,PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
1631246,Vince Williams Jr.,MEM,24.0,6,3,8.3,1,3,33.300000000000004,33.300000000000004,8.3,1,3,33.300000000000004,0.0,0,0,
1628975,Jevon Carter,CHI,29.0,26,3,3.6999999999999997,0,3,0.0,0.0,3.6999999999999997,0,3,0.0,0.0,0,0,
202704,Reggie Jackson,PHI,34.0,31,3,2.3,0,3,0.0,0.0,2.3,0,3,0.0,0.0,0,0,
1630264,Anthony Gill,WAS,32.0,37,3,6.800000000000001,0,3,0.0,0.0,6.800000000000001,0,3,0.0,0.0,0,0,
1631116,Patrick Baldwin Jr.,WAS,22.0,22,3,9.1,0,3,0.0,0.0,9.1,0,3,0.0,0.0,0,0,
1641871,Duop Reath,POR,28.0,26,2,3.8,2,2,100.0,100.0,3.8,2,2,100.0,0.0,0,0,
1631466,Nate Williams,HOU,26.0,7,2,11.1,2,2,100.0,100.0,11.1,2,2,100.0,0.0,0,0,
1641774,Tristan Vukcevic,WAS,21.0,14,2,3.6999999999999997,2,2,100.0,100.0,3.6999999999999997,2,2,100.0,0.0,0,0,
1630543,Isaiah Jackson,IND,23.0,5,2,8.7,1,2,50.0,50.0,8.7,1,2,50.0,0.0,0,0,
1641816,Hunter Tyson,DEN,24.0,39,2,2.8000000000000003,1,2,50.0,50.0,2.8000000000000003,1,2,50.0,0.0,0,0,
1630611,Gui Santos,GSW,22.0,29,2,2.7,1,2,50.0,50.0,2.7,1,2,50.0,0.0,0,0,
1630283,Kylor Kelley,DAL,27.0,7,1,18.2,1,2,50.0,50.0,18.2,1,2,50.0,0.0,0,0,
1642358,AJ Johnson,WAS,20.0,10,2,7.3999999999999995,1,2,50.0,50.0,7.3999999999999995,1,2,50.0,0.0,0,0,
1631288,Jamal Cain,NOP,25.0,21,2,3.1,1,2,50.0,50.0,3.1,1,2,50.0,0.0,0,0,
1641733,Nick Smith Jr.,CHA,20.0,33,2,0.8,1,2,50.0,50.0,0.8,1,2,50.0,0.0,0,0,
1630531,Jaden Springer,BOS,22.0,25,2,7.1,1,2,50.0,50.0,7.1,1,2,50.0,0.0,0,0,
1631221,Collin Gillespie,PHX,25.0,8,2,11.1,1,2,50.0,50.0,11.1,1,2,50.0,0.0,0,0,
