PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,PLAYER_ID,TEAM_ID
Christian Braun,DEN,14,10,4,404.0,578,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631128,1610612743
Christian Koloko,ATL,19,9,10,295.0,329,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1631132,1610612737
Chucky Hepburn,TOR,2,0,2,13.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642935,1610612761
Clint Capela,HOU,40,25,15,463.0,596,3,0,0,0.0,0,2,0.0,0,0.0,2,66.7,0,0.0,0,0.0,1,33.300000000000004,203991,1610612745
Coby White,CHI,27,14,13,784.0,1578,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,1629632,1610612741
Cody Martin,IND,4,0,4,55.0,73,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1628998,1610612754
Cody Williams,UTA,34,8,26,619.0,609,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642262,1610612762
Colby Jones,DET,1,0,1,7.0,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641732,1610612765
Cole Anthony,MIL,32,11,21,488.0,1186,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630175,1610612749
Collin Gillespie,PHX,47,29,18,1322.0,2823,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631221,1610612756
Collin Murray-Boyles,TOR,39,20,19,857.0,1320,6,2,3,66.7,0,0,0.0,4,66.7,0,0.0,0,0.0,1,16.7,0,0.0,1642867,1610612761
Collin Sexton,CHA,41,19,22,925.0,2012,1,0,0,0.0,1,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,1629012,1610612766
Cooper Flagg,DAL,43,17,26,1455.0,2784,16,3,7,42.9,0,0,0.0,6,37.5,4,25.0,3,18.8,3,18.8,0,0.0,1642843,1610612742
Corey Kispert,ATL,30,7,23,584.0,753,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630557,1610612737
Craig Porter Jr.,CLE,43,28,15,759.0,1469,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1641854,1610612739
Curtis Jones,DEN,6,4,2,31.0,46,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642938,1610612743
D'Angelo Russell,DAL,26,9,17,495.0,1209,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1626156,1610612742
DaRon Holmes II,DEN,13,8,5,171.0,214,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1641747,1610612743
Daeqwon Plowden,SAC,2,0,2,21.0,23,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631342,1610612758
Dalen Terry,CHI,32,14,18,334.0,587,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1631207,1610612741
Dalton Knecht,LAL,38,22,16,464.0,576,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642261,1610612747
Daniel Gafford,DAL,31,8,23,639.0,777,22,7,10,70.0,0,0,0.0,14,63.6,7,31.8,1,4.5,3,13.600000000000001,0,0.0,1629655,1610612742
Daniss Jenkins,DET,38,28,10,638.0,1387,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642450,1610612765
Danny Wolf,BKN,32,10,22,623.0,978,7,0,2,0.0,0,0,0.0,0,0.0,3,42.9,0,0.0,2,28.599999999999998,0,0.0,1642874,1610612751
Dario Šarić,SAC,5,1,4,41.0,40,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203967,1610612758
Darius Garland,CLE,25,13,12,755.0,1690,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1629636,1610612739
David Jones Garcia,SAS,11,7,4,68.0,132,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1642357,1610612759
Davion Mitchell,MIA,38,21,17,1106.0,2575,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1630558,1610612748
Day'Ron Sharpe,BKN,44,13,31,796.0,1458,29,6,10,60.0,7,8,87.5,20,69.0,9,31.0,5,17.2,4,13.8,4,13.8,1630549,1610612751
De'Aaron Fox,SAS,38,26,12,1236.0,2694,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1628368,1610612759
De'Andre Hunter,CLE,42,24,18,1097.0,1735,4,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1629631,1610612739
De'Anthony Melton,GSW,23,14,9,487.0,1057,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0,1629001,1610612744
