PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated.1,ASTAdj,AST ToPass%,AST ToPass% Adj
CJ McCollum,NOP,7,5,2,234,380,457,39,7,75,103,51,10.3,13.4,
Cade Cunningham,DET,19,2,17,664,1083,1394,134,15,246,337,162,12.4,15.0,
Caleb Houstan,ORL,11,8,3,79,60,57,5,1,5,13,6,8.3,10.0,
Caleb Martin,MIA,9,5,4,194,198,201,14,2,14,31,15,7.1,7.6,
Cam Reddish,LAL,16,10,6,379,198,208,18,2,28,44,21,9.1,10.6,
Cam Thomas,BKN,9,4,5,284,247,391,18,8,46,51,28,7.3,11.3,
Cam Whitmore,HOU,4,2,2,29,23,29,1,0,1,2,1,4.3,4.3,
Cameron Johnson,BKN,11,5,6,320,302,342,32,4,57,80,35,10.6,11.6,
Cameron Payne,MIL,19,13,6,325,520,517,45,6,76,111,53,8.7,10.2,
Caris LeVert,CLE,16,8,8,486,499,627,57,5,98,151,73,11.4,14.6,
Cason Wallace,OKC,17,11,6,371,228,228,22,4,38,54,27,9.6,11.8,
Cedi Osman,SAS,18,3,15,342,317,330,23,6,41,55,29,7.3,9.1,
Charles Bassey,SAS,18,3,15,186,266,130,18,2,29,45,20,6.8,7.5,
Chet Holmgren,OKC,17,11,6,513,716,570,45,6,66,113,54,6.3,7.5,
Chimezie Metu,PHX,10,7,3,74,62,60,3,0,8,9,4,4.8,6.5,
Chris Boucher,TOR,16,6,10,234,151,141,6,1,13,12,7,4.0,4.6,
Chris Duarte,SAC,16,9,7,246,227,221,16,2,29,37,19,7.0,8.4,
Chris Livingston,MIL,2,0,2,9,5,6,1,0,0,2,1,20.0,20.0,
Chris Paul,GSW,16,8,8,428,815,849,119,16,246,327,146,14.6,17.9,
Christian Braun,DEN,17,11,6,364,354,320,30,2,50,80,36,8.5,10.2,
Christian Wood,LAL,20,11,9,414,374,292,16,2,30,39,21,4.3,5.6,
Chuma Okeke,ORL,7,5,2,31,35,33,3,2,6,8,5,8.6,14.3,
Clint Capela,ATL,17,8,9,409,321,283,12,3,33,34,17,3.7,5.3,
Coby White,CHI,19,6,13,626,889,1013,78,13,150,202,100,8.8,11.2,
Cody Zeller,NOP,15,7,8,142,191,130,17,0,23,42,18,8.9,9.4,
Colby Jones,SAC,9,3,6,70,88,96,2,1,14,8,5,2.3,5.7,
Cole Anthony,ORL,17,13,4,444,716,796,66,7,116,167,79,9.2,11.0,
Cole Swider,MIA,3,0,3,29,28,33,3,0,6,6,3,10.7,10.7,
Colin Castleton,LAL,3,0,3,23,30,18,2,0,5,6,3,6.7,10.0,
Collin Gillespie,DEN,8,5,3,54,80,78,5,0,14,15,7,6.3,8.8,
Collin Sexton,UTA,19,6,13,383,419,583,59,3,101,162,66,14.1,15.8,
Corey Kispert,WAS,17,3,14,389,331,351,26,2,41,64,29,7.9,8.8,
Cory Joseph,GSW,8,2,6,72,145,138,16,3,22,42,19,11.0,13.1,
Craig Porter Jr.,CLE,12,7,5,174,262,297,30,3,53,80,36,11.5,13.7,
D'Angelo Russell,LAL,20,11,9,622,939,972,131,16,196,325,160,14.0,17.0,
D'Moi Hodge,LAL,6,1,5,33,21,23,2,0,2,4,2,9.5,9.5,
DaQuan Jeffries,NYK,7,5,2,19,8,14,1,0,0,0,0,12.5,0.0,
Daishen Nix,MIN,5,4,1,20,24,27,0,0,1,0,0,0.0,0.0,
Dalano Banton,BOS,8,7,1,70,93,74,3,3,14,7,6,3.2,6.5,
Dalen Terry,CHI,5,2,3,20,31,23,3,0,5,8,3,9.7,9.7,
Damian Jones,CLE,10,6,4,51,55,37,3,1,7,8,4,5.5,7.3,
Damian Lillard,MIL,17,13,4,592,880,1082,116,19,212,308,151,13.2,17.2,
Daniel Gafford,WAS,16,3,13,400,481,285,24,4,36,58,30,5.0,6.2,
Daniel Theis,LAC,9,6,3,142,79,89,11,0,12,18,8,13.9,10.1,
Danilo Gallinari,WAS,16,3,13,246,334,307,24,0,35,69,28,7.2,8.4,
Danny Green,PHI,2,1,1,18,14,5,1,0,0,0,0,7.1,0.0,
Dante Exum,DAL,15,10,5,162,246,245,24,5,49,57,31,9.8,12.6,
Danuel House Jr.,PHI,10,6,4,127,116,96,8,0,14,18,8,6.9,6.9,
Dario Saric,GSW,17,9,8,363,563,480,40,4,72,98,46,7.1,8.2,
Dariq Whitehead,BKN,1,1,0,3,1,1,0,0,0,0,0,0.0,0.0,
Darius Garland,CLE,14,8,6,467,682,878,83,8,149,191,93,12.2,13.6,
David Roddy,MEM,17,4,13,397,276,257,17,4,45,39,20,6.2,7.2,
Davion Mitchell,SAC,13,6,7,209,366,400,33,5,67,84,38,9.0,10.4,
Davis Bertans,OKC,5,4,1,46,25,26,4,0,2,8,3,16.0,12.0,
Day'Ron Sharpe,BKN,18,9,9,275,303,200,13,3,22,41,20,4.3,6.6,
De'Aaron Fox,SAC,12,8,4,435,670,861,70,10,151,181,86,10.4,12.8,
De'Andre Hunter,ATL,17,8,9,513,477,439,24,5,51,67,34,5.0,7.1,
De'Anthony Melton,PHI,18,12,6,538,736,641,68,3,96,177,82,9.2,11.1,
DeAndre Jordan,DEN,3,3,0,52,58,53,6,1,8,13,7,10.3,12.1,
DeMar DeRozan,CHI,17,5,12,599,598,851,77,8,174,201,91,12.9,15.2,
Dean Wade,CLE,13,7,6,264,220,135,11,1,22,26,12,5.0,5.5,
Deandre Ayton,POR,16,5,11,498,553,369,26,2,45,67,29,4.7,5.2,
Dejounte Murray,ATL,17,8,9,582,841,976,92,9,162,244,110,10.9,13.1,
Delon Wright,WAS,8,2,6,141,253,243,35,4,44,89,41,13.8,16.2,
Deni Avdija,WAS,18,3,15,485,625,486,65,9,109,152,75,10.4,12.0,
Dennis Schroder,TOR,18,8,10,565,1089,1245,126,19,206,311,156,11.6,14.3,
Dennis Smith Jr.,BKN,11,5,6,187,267,279,35,1,51,94,40,13.1,15.0,
Dereck Lively II,DAL,15,11,4,365,411,224,20,5,42,55,27,4.9,6.6,
Dereon Seabron,NOP,5,2,3,52,66,52,4,0,8,9,5,6.1,7.6,
Derrick Jones Jr.,DAL,16,11,5,352,250,247,16,2,27,44,19,6.4,7.6,
Derrick Rose,MEM,9,2,7,169,242,291,28,2,58,71,31,11.6,12.8,
Derrick White,BOS,15,13,2,483,614,604,77,9,116,190,89,12.5,14.5,
Desmond Bane,MEM,17,4,13,582,857,1005,89,12,194,235,108,10.4,12.6,
Devin Booker,PHX,10,8,2,339,513,663,85,8,139,229,99,16.6,19.3,
Devin Vassell,SAS,13,3,10,367,393,465,37,4,73,90,41,9.4,10.4,
Devonte' Graham,SAS,3,0,3,36,52,52,11,0,13,27,11,21.2,21.2,
Dillon Brooks,HOU,16,8,8,488,332,363,29,3,51,75,35,8.7,10.5,
Domantas Sabonis,SAC,16,9,7,555,1094,922,109,6,201,298,118,10.0,10.8,
Dominick Barlow,SAS,6,0,6,32,27,23,0,0,6,3,1,0.0,3.7,
Donovan Mitchell,CLE,14,7,7,499,641,828,74,13,136,195,94,11.5,14.7,
Donte DiVincenzo,NYK,18,11,7,366,392,373,31,6,51,85,41,7.9,10.5,
Dorian Finney-Smith,BKN,18,9,9,566,543,452,26,3,60,71,34,4.8,6.3,
Doug McDermott,SAS,17,3,14,283,251,248,31,4,41,78,35,12.4,13.9,
Draymond Green,GSW,11,6,5,262,510,422,59,3,109,159,70,11.6,13.7,
Drew Eubanks,PHX,17,10,7,307,370,293,26,3,42,72,32,7.0,8.6,
Dru Smith,MIA,9,7,2,131,188,169,14,0,40,37,16,7.4,8.5,
Duncan Robinson,MIA,17,11,6,501,463,572,46,10,79,114,60,9.9,13.0,
Duop Reath,POR,10,3,7,139,134,133,11,1,13,24,11,8.2,8.2,
Dwight Powell,DAL,15,10,5,214,217,152,22,1,29,64,25,10.1,11.5,
Dylan Windler,NYK,3,2,1,7,10,11,1,0,3,3,1,10.0,10.0,
Dyson Daniels,NOP,19,10,9,521,821,746,69,6,123,173,82,8.4,10.0,
E.J. Liddell,NOP,3,1,2,9,11,12,0,0,1,0,0,0.0,0.0,
Emoni Bates,CLE,7,4,3,52,37,31,2,0,2,6,2,5.4,5.4,
Eric Gordon,PHX,17,11,6,535,652,735,50,14,85,127,68,7.7,10.4,
Eugene Omoruyi,WAS,11,2,9,75,68,68,8,0,12,19,9,11.8,13.2,
Evan Fournier,NYK,1,1,0,16,9,12,1,0,0,3,1,11.1,11.1,
Evan Mobley,CLE,19,10,9,632,884,673,58,10,104,139,70,6.6,7.9,
Filip Petrusev,SAC,3,2,1,9,8,10,0,1,0,0,1,0.0,12.5,
Franz Wagner,ORL,17,13,4,560,592,705,54,6,97,134,66,9.1,11.1,
Fred VanVleet,HOU,15,8,7,564,946,1038,138,19,213,348,169,14.6,17.9,
Furkan Korkmaz,PHI,13,9,4,88,88,96,6,2,19,18,10,6.8,11.4,
GG Jackson,MEM,3,0,3,7,7,5,0,0,0,0,0,0.0,0.0,
Gabe Vincent,LAL,4,2,2,113,98,105,12,0,20,29,13,12.2,13.3,
Garrett Temple,TOR,5,1,4,16,20,17,2,0,3,6,2,10.0,10.0,
Garrison Mathews,ATL,6,4,2,40,41,31,1,0,4,3,1,2.4,2.4,
Gary Harris,ORL,13,11,2,270,164,194,25,1,27,63,28,15.2,17.1,
Gary Payton II,GSW,13,7,6,234,234,194,13,3,28,37,18,5.6,7.7,
Gary Trent Jr.,TOR,15,7,8,390,265,363,17,3,49,47,24,6.4,9.1,
Georges Niang,CLE,19,10,9,424,504,385,22,5,45,57,29,4.4,5.8,
Giannis Antetokounmpo,MIL,18,12,6,616,862,953,84,8,182,238,100,9.7,11.6,
Goga Bitadze,ORL,15,11,4,298,376,277,28,2,34,69,31,7.4,8.2,
Gordon Hayward,CHA,16,6,10,517,565,609,75,13,119,189,97,13.3,17.2,
Gradey Dick,TOR,14,6,8,214,131,164,15,0,24,40,16,11.5,12.2,
Grant Williams,DAL,16,11,5,462,340,325,27,3,48,72,33,7.9,9.7,
Grayson Allen,PHX,16,10,6,520,633,578,46,11,91,123,64,7.3,10.1,
Gui Santos,GSW,1,0,1,8,2,3,0,0,0,0,0,0.0,0.0,
Harrison Barnes,SAC,16,9,7,497,438,399,27,2,63,67,30,6.2,6.8,
Harry Giles III,BKN,2,0,2,12,15,11,0,0,0,0,0,0.0,0.0,
Haywood Highsmith,MIA,14,10,4,331,323,271,23,3,44,58,27,7.1,8.4,
Herbert Jones,NOP,16,10,6,494,568,477,46,3,75,112,50,8.1,8.8,
Hunter Tyson,DEN,6,4,2,16,17,15,1,0,5,4,2,5.9,11.8,
Immanuel Quickley,NYK,18,11,7,445,493,636,53,8,97,140,68,10.8,13.8,
Isaac Okoro,CLE,10,4,6,235,147,163,15,1,30,40,17,10.2,11.6,
Isaiah Hartenstein,NYK,18,11,7,306,330,221,17,1,32,43,22,5.2,6.7,
Isaiah Jackson,IND,10,6,4,132,94,81,9,2,12,21,12,9.6,12.8,
Isaiah Joe,OKC,17,11,6,347,328,335,21,5,31,52,28,6.4,8.5,
Isaiah Livers,DET,5,0,5,121,87,98,7,1,12,21,10,8.0,11.5,
Isaiah Mobley,CLE,2,0,2,10,14,10,3,0,2,9,3,21.4,21.4,
Isaiah Stewart,DET,19,2,17,595,485,433,23,3,40,58,26,4.7,5.4,
Ish Smith,CHA,11,3,8,174,258,250,23,4,55,62,30,8.9,11.6,
Ish Wainright,POR,2,0,2,5,7,6,0,0,2,0,0,0.0,0.0,
Ivica Zubac,LAC,18,8,10,467,528,307,15,2,27,43,21,2.8,4.0,
JT Thor,CHA,17,6,11,280,278,168,10,1,20,27,12,3.6,4.3,
JaVale McGee,SAC,15,8,7,145,144,120,7,0,11,19,8,4.9,5.6,
Jabari Smith Jr.,HOU,16,8,8,483,492,322,22,4,36,54,29,4.5,5.9,
Jabari Walker,POR,17,6,11,291,257,212,10,4,21,25,15,3.9,5.8,
Jacob Gilyard,MEM,13,3,10,229,424,402,43,0,82,112,46,10.1,10.8,
Jaden Hardy,DAL,13,9,4,134,135,187,12,2,28,31,15,8.9,11.1,
Jaden Ivey,DET,15,2,13,340,360,411,46,5,76,116,57,12.8,15.8,
Jaden McDaniels,MIN,11,9,2,260,187,197,14,1,25,38,16,7.5,8.6,
Jaden Springer,PHI,11,7,4,127,78,99,10,1,15,27,12,12.8,15.4,
Jae Crowder,MIL,9,5,4,240,264,175,15,0,27,37,15,5.7,5.7,
Jae'Sean Tate,HOU,15,8,7,282,261,204,20,1,42,50,21,7.7,8.0,
Jaime Jaquez Jr.,MIA,19,11,8,505,547,546,48,3,95,126,57,8.8,10.4,
Jake LaRavia,MEM,5,0,5,61,46,39,2,0,6,5,2,4.3,4.3,
Jakob Poeltl,TOR,18,8,10,484,657,430,42,3,83,95,47,6.4,7.2,
Jalen Brunson,NYK,18,11,7,639,1099,1317,97,19,195,258,127,8.8,11.6,
Jalen Duren,DET,12,2,10,344,491,320,34,2,53,74,38,6.9,7.7,
Jalen Green,HOU,16,8,8,510,603,711,54,18,101,131,75,9.0,12.4,
Jalen Hood-Schifino,LAL,3,1,2,41,56,72,3,0,12,8,3,5.4,5.4,
Jalen Johnson,ATL,14,7,7,418,583,328,34,4,58,86,42,5.8,7.2,
Jalen McDaniels,TOR,14,5,9,131,160,119,8,1,19,19,9,5.0,5.6,
Jalen Pickett,DEN,10,6,4,72,112,120,7,4,20,18,11,6.3,9.8,
Jalen Slawson,SAC,4,2,2,17,24,16,2,0,4,6,3,8.3,12.5,
Jalen Smith,IND,14,8,6,216,187,176,12,1,19,30,15,6.4,8.0,
Jalen Suggs,ORL,16,12,4,431,471,481,45,5,77,119,59,9.6,12.5,
Jalen Williams,OKC,14,9,5,465,529,616,52,4,81,137,61,9.8,11.5,
Jalen Wilson,BKN,2,1,1,7,1,1,0,0,0,0,0,0.0,0.0,
Jamal Cain,MIA,5,1,4,70,59,45,0,0,3,0,0,0.0,0.0,
Jamal Murray,DEN,7,6,1,229,361,444,58,6,79,131,65,16.1,18.0,
Jamaree Bouyea,POR,6,0,6,57,106,119,8,1,21,26,12,7.5,11.3,
James Bouknight,CHA,1,0,1,5,6,6,0,0,0,0,0,0.0,0.0,
James Harden,LAC,13,5,8,437,662,708,81,7,151,212,99,12.2,15.0,
James Wiseman,DET,10,0,10,111,157,93,3,1,7,7,4,1.9,2.5,
Jarace Walker,IND,5,2,3,41,48,43,6,0,6,15,7,12.5,14.6,
Jared Butler,WAS,7,1,6,36,52,59,9,1,16,21,11,17.3,21.2,
Jared Rhoden,DET,5,0,5,30,31,30,3,0,5,6,3,9.7,9.7,
Jaren Jackson Jr.,MEM,17,4,13,536,468,581,32,4,59,70,32,6.8,6.8,
Jarrett Allen,CLE,14,8,6,406,361,337,32,6,50,71,40,8.9,11.1,
Jaxson Hayes,LAL,17,11,6,190,171,110,7,0,14,17,8,4.1,4.7,
Jay Huff,DEN,2,2,0,2,3,3,0,0,0,0,0,0.0,0.0,
Jaylen Brown,BOS,17,13,4,586,473,687,61,12,118,167,83,12.9,17.5,
Jaylen Nowell,MEM,3,1,2,33,30,30,4,0,8,13,6,13.3,20.0,
Jaylin Williams,OKC,12,8,4,170,302,193,21,0,38,59,24,7.0,7.9,
Jayson Tatum,BOS,18,14,4,666,878,901,73,16,159,196,97,8.3,11.0,
Jeff Green,HOU,16,8,8,236,193,187,10,2,24,27,13,5.2,6.7,
Jerami Grant,POR,17,6,11,592,562,672,37,3,83,97,42,6.6,7.5,
Jeremiah Robinson-Earl,NOP,7,3,4,98,97,73,5,1,11,13,7,5.2,7.2,
Jeremy Sochan,SAS,18,3,15,520,915,889,80,11,158,204,97,8.7,10.6,
Jericho Sims,NYK,8,5,3,22,44,33,1,0,5,3,1,2.3,2.3,
Jermaine Samuels Jr.,HOU,4,2,2,26,22,17,2,0,4,6,2,9.1,9.1,
Jerome Robinson,GSW,1,1,0,5,7,5,0,0,1,1,1,0.0,14.3,
Jett Howard,ORL,5,3,2,23,17,27,2,0,4,8,4,11.8,23.5,
Jevon Carter,CHI,19,6,13,272,372,382,22,4,35,58,28,5.9,7.5,
Jimmy Butler,MIA,15,10,5,504,582,697,59,8,124,163,70,10.1,12.0,
Jock Landale,HOU,12,7,5,110,104,88,8,1,15,21,9,7.7,8.7,
Joe Harris,DET,7,2,5,98,72,65,6,0,11,13,5,8.3,6.9,
Joe Ingles,ORL,17,13,4,319,452,360,55,5,93,141,68,12.2,15.0,
Joel Embiid,PHI,16,12,4,552,715,939,106,6,166,281,121,14.8,16.9,
John Collins,UTA,19,6,13,589,550,437,15,2,47,44,21,2.7,3.8,
John Konchar,MEM,13,2,11,243,334,193,22,1,52,56,23,6.6,6.9,
Johnny Davis,WAS,13,2,11,122,81,76,5,0,10,12,5,6.2,6.2,
Jonas Valanciunas,NOP,19,10,9,495,763,594,48,2,57,115,52,6.3,6.8,
Jonathan Isaac,ORL,13,11,2,179,176,112,5,0,8,15,6,2.8,3.4,
Jonathan Kuminga,GSW,16,8,8,315,346,326,15,5,28,43,23,4.3,6.6,
Jordan Clarkson,UTA,17,5,12,536,487,713,84,8,156,220,97,17.2,19.9,
Jordan Ford,SAC,5,2,3,14,22,26,1,0,2,3,1,4.5,4.5,
Jordan Goodwin,PHX,18,11,7,302,532,477,40,4,72,98,47,7.5,8.8,
Jordan Hawkins,NOP,19,10,9,544,473,529,38,6,54,99,48,8.0,10.1,
Jordan McLaughlin,MIN,5,4,1,19,41,38,5,0,7,12,6,12.2,14.6,
Jordan Miller,LAC,2,2,0,7,7,6,0,0,0,0,0,0.0,0.0,
Jordan Nwora,IND,5,2,3,73,61,67,6,1,9,13,7,9.8,11.5,
Jordan Poole,WAS,17,3,14,498,517,755,59,10,107,150,74,11.4,14.3,
Jose Alvarado,NOP,6,4,2,96,152,170,12,1,19,32,15,7.9,9.9,
Josh Giddey,OKC,17,11,6,457,792,718,77,9,145,207,98,9.7,12.4,
Josh Green,DAL,16,11,5,405,333,306,36,4,62,90,42,10.8,12.6,
Josh Hart,NYK,18,11,7,514,623,437,47,6,91,120,56,7.5,9.0,
Josh Minott,MIN,9,7,2,23,18,21,1,0,5,4,2,5.6,11.1,
Josh Okogie,PHX,18,11,7,391,303,263,21,4,51,58,28,6.9,9.2,
Josh Richardson,MIA,16,10,6,446,596,590,50,6,84,120,56,8.4,9.4,
Jrue Holiday,BOS,16,13,3,552,729,725,82,15,146,242,110,11.2,15.1,
Julian Champagnie,SAS,11,1,10,172,143,134,10,2,17,24,12,7.0,8.4,
Julian Phillips,CHI,8,2,6,42,31,32,4,0,1,8,4,12.9,12.9,
Julian Strawther,DEN,14,8,6,179,147,185,15,2,19,35,17,10.2,11.6,
Julius Randle,NYK,18,11,7,629,896,995,96,12,163,259,112,10.7,12.5,
Justin Holiday,DEN,9,5,4,129,79,74,10,1,10,21,10,12.7,12.7,
Justin Minaya,POR,4,0,4,23,16,15,0,0,2,0,0,0.0,0.0,
Jusuf Nurkic,PHX,18,11,7,498,831,656,72,8,90,173,82,8.7,9.9,
KJ Martin,PHI,10,7,3,72,61,63,4,1,9,11,5,6.6,8.2,
Kaiser Gates,NOP,1,0,1,7,10,8,0,0,0,0,0,0.0,0.0,
Karl-Anthony Towns,MIN,18,14,4,604,603,693,54,10,92,128,69,9.0,11.4,
Kawhi Leonard,LAC,18,8,10,614,511,642,58,8,100,153,72,11.4,14.1,
Keegan Murray,SAC,12,7,5,399,372,364,23,8,41,62,34,6.2,9.1,
Keita Bates-Diop,PHX,15,10,5,298,233,185,14,1,26,30,13,6.0,5.6,
Keldon Johnson,SAS,17,3,14,557,657,627,71,10,122,180,87,10.8,13.2,
Kelly Olynyk,UTA,19,6,13,400,568,394,71,4,108,170,78,12.5,13.7,
Kelly Oubre Jr.,PHI,8,7,1,232,165,175,5,1,17,15,7,3.0,4.2,
Kenneth Lofton Jr.,MEM,12,2,10,92,76,94,12,1,24,28,12,15.8,15.8,
Kenrich Williams,OKC,7,5,2,121,109,101,13,1,16,35,16,11.9,14.7,
Kentavious Caldwell-Pope,DEN,17,11,6,583,489,511,44,9,74,104,54,9.0,11.0,
Keon Ellis,SAC,9,7,2,93,138,135,8,0,16,23,9,5.8,6.5,
Kessler Edwards,SAC,13,8,5,74,70,55,4,0,5,8,3,5.7,4.3,
Kevin Durant,PHX,16,9,7,589,699,932,88,24,175,245,125,12.6,17.9,
Kevin Huerter,SAC,15,8,7,402,461,495,46,4,75,109,51,10.0,11.1,
Kevin Knox II,DET,6,0,6,124,105,84,3,0,4,6,3,2.9,2.9,
Kevin Love,MIA,13,7,6,229,356,244,30,3,35,66,33,8.4,9.3,
Kevon Looney,GSW,17,9,8,397,649,437,48,13,88,136,66,7.4,10.2,
Keyontae Johnson,OKC,1,0,1,6,2,1,0,0,0,0,0,0.0,0.0,
Keyonte George,UTA,19,6,13,485,885,990,93,11,173,242,111,10.5,12.5,
Khris Middleton,MIL,15,10,5,308,371,404,59,10,87,139,71,15.9,19.1,
Killian Hayes,DET,18,2,16,477,713,693,79,9,148,199,96,11.1,13.5,
Kira Lewis Jr.,NOP,11,6,5,121,181,193,18,1,36,45,22,9.9,12.2,
Klay Thompson,GSW,16,8,8,474,369,490,37,3,54,89,42,10.0,11.4,
Kobe Brown,LAC,9,5,4,74,83,56,2,0,6,4,2,2.4,2.4,
Kobe Bufkin,ATL,2,2,0,4,4,6,0,0,1,0,0,0.0,0.0,
Kris Dunn,UTA,13,4,9,134,181,182,25,3,35,58,28,13.8,15.5,
Kris Murray,POR,9,1,8,79,59,46,3,0,8,7,3,5.1,5.1,
Kristaps Porzingis,BOS,15,11,4,454,443,449,28,5,40,68,34,6.3,7.7,
Kyle Anderson,MIN,18,14,4,433,601,566,72,5,120,187,86,12.0,14.3,
Kyle Kuzma,WAS,18,3,15,557,637,784,87,10,127,217,101,13.7,15.9,
Kyle Lowry,MIA,18,10,8,529,900,816,80,12,169,207,104,8.9,11.6,
Kyrie Irving,DAL,13,8,5,428,596,700,72,7,132,186,86,12.1,14.4,
LaMelo Ball,CHA,15,5,10,501,850,1061,123,16,211,299,155,14.5,18.2,
Lamar Stevens,BOS,6,4,2,20,19,13,2,0,2,5,2,10.5,10.5,
Landry Shamet,WAS,14,2,12,236,231,280,20,5,31,47,26,8.7,11.3,
Larry Nance Jr.,NOP,14,6,8,211,245,189,10,1,22,27,13,4.1,5.3,
Lauri Markkanen,UTA,15,4,11,512,467,439,16,3,45,40,19,3.4,4.1,
LeBron James,LAL,19,10,9,636,840,1017,120,18,206,301,150,14.3,17.9,
Leaky Black,CHA,4,0,4,17,16,12,1,0,3,3,1,6.3,6.3,
Leonard Miller,MIN,3,3,0,6,11,5,1,0,1,2,1,9.1,9.1,
Lester Quinones,GSW,1,1,0,5,5,8,0,0,1,0,0,0.0,0.0,
Lindell Wigginton,MIL,1,1,0,2,3,5,0,0,0,0,0,0.0,0.0,
